galaxy,chi2_red_coherence,chi2_red_nfw,chi2_red_burkert,chi2_red_best_dm,best_dm_model,ratio_vs_nfw,ratio_vs_best_dm,winner,M_disk_co,R_disk_co,rho_c0,R_c,M_disk_nfw,R_disk_nfw,M200,c_nfw,rho_0_burkert,r_0_burkert,n_points,dof_coherence,dof_nfw,dof_burkert
DDO154,4.537523589859459,17.556830807134777,2.560056989363023,2.560056989363023,Burkert,0.25844775971842776,1.7724306953762217,DM (Burkert),97275353.08213133,1.0579426419823634,0.3693957636088848,1.4832946927367283,71154857.23625731,3.8520000000000003,9811743009.655624,1.0014871093855993,34765574.52196501,2.4492004480331997,12,8,8,8
DDO168,3.7431487258266785,15.267719768040353,3.7515819747568067,3.7515819747568067,Burkert,0.24516750259342232,0.9977520819252057,Coherence,3646670151.695899,1.7075887303383466,0.01,0.5,47606076.17787218,2.718,7406116653.156006,1.0,54346448.17365212,2.51072159386104,10,6,6,6
NGC2403,9.76902306156707,5.8394489638509866,8.857460524564724,5.8394489638509866,NFW,1.6729357722007758,1.6729357722007758,DM (NFW),9569973579.84977,3.190242368037432,3.0760345063713106,0.5107357560394785,21132265232.897625,2.82887004330761,179863881589.27783,1.0100799606171094,38527182.049453735,5.564845519046369,73,69,69,69
NGC6946,9.293584990223001,6.137125623346686,6.4406604078510306,6.137125623346686,NFW,1.5143221046133712,1.5143221046133712,DM (NFW),8075366509.563293,2.312377080455688,3.0844128718699295,0.5,109148606319.35364,6.22333191800209,38913098148.61426,30.0,2634464867.594635,0.5,58,54,54,54
ESO079-G014,0.9243960014956728,6.536392120050036,1.098745561487277,1.098745561487277,Burkert,0.14142297226326694,0.8413194409125965,Coherence,75012701281.32118,4.897256567919633,0.01,5.68871253886254,1408299828.398407,7.6080000000000005,342612463564.9749,1.0,48953457.05792212,7.5977669127881455,15,11,11,11
DDO064,0.48373342349181775,1.9060224643143304,0.45293074095118585,0.45293074095118585,Burkert,0.2537920893108861,1.0680074893480274,Tie,1655785581.0689216,1.2890600285800353,0.016476976531979395,1.7887619749359973,23003461.01735723,1.6620000000000001,3919287480.572137,1.0,61069057.250824034,2.341414189922994,14,10,10,10
CamB,0.026546846431852955,7.381949113400935,0.061079397333314536,0.061079397333314536,Burkert,0.0035961838836928214,0.43462849325419767,Coherence,9818347.961046202,1.08,1.047515321511684,3.0782003756884393,6067976.846919839,1.08,244328661.4804988,1.0,8316968.744666672,8.27836064349465,9,5,5,5
DDO161,0.24566086371184223,1.4156637122175848,0.3705605702105339,0.3705605702105339,Burkert,0.17353052253280093,0.6629438841058294,Coherence,9745675762.183989,4.155782480661061,0.33506025747401796,0.5,5282863226.537449,7.536,31019692124.90239,1.0440122783212986,6842266.579689314,6.362217950408018,31,27,27,27
DDO170,1.519801418683133,3.513793246394716,5.281448450042586,3.513793246394716,NFW,0.4325244293307543,0.4325244293307543,Coherence,209405904.9744835,1.6315323809524942,0.4030087941646937,2.168026006079267,19496211907.159992,7.798878111468355,4953255693.013397,1.0667130637085869,1961585.049987793,0.5,8,4,4,4
NGC3198,0.47278956529411004,2.2253488664327183,2.1962467357742077,2.1962467357742077,Burkert,0.21245638040205433,0.2152716075079083,Coherence,16878946337.820038,2.5886834791775652,0.04647767556866711,2.882292498996616,90797368622.53075,6.206641578593038,345095261818.82666,1.0,1000161.1045131395,37.07576734020196,43,39,39,39
NGC6503,2.5723159271082467,1.6212722280522471,1.0815397316285271,1.0815397316285271,Burkert,1.586603336935314,2.3783831993254516,DM (Burkert),2682226206.8280487,1.4544,1.0609933941913647,0.5,72649214414.44002,14.544,45464581626.29468,30.0,1311533962.0820007,0.8435451255182937,31,27,27,27
