a,D,f
1.000000000000000238e-03,1.000000000000000021e-03,1.000000000000000000e+00
1.001728430837339669e-03,1.001727505508490969e-03,9.989310218788406415e-01
1.003459849147839665e-03,1.003456147075727691e-03,9.978669168257742195e-01
1.005194260095138839e-03,1.005185928730337012e-03,9.968076644984864565e-01
1.006931668851804643e-03,1.006916854509955911e-03,9.957532446778034618e-01
1.008672080599341825e-03,1.008648928461254504e-03,9.947036372794429981e-01
1.010415500528213245e-03,1.010382154639961417e-03,9.936588223357173399e-01
1.012161933837852886e-03,1.012116537110878747e-03,9.926187800093424496e-01
1.013911385736679513e-03,1.013852079947909386e-03,9.915834905823038836e-01
1.015663861442117274e-03,1.015588787234076532e-03,9.905529344630384925e-01
1.017419366180605028e-03,1.017326663061551882e-03,9.895270921824312893e-01
1.019177905187618020e-03,1.019065711531675147e-03,9.885059443883376096e-01
1.020939483707680251e-03,1.020805936754972266e-03,9.874894718517561731e-01
1.022704106994378132e-03,1.022547342851185762e-03,9.864776554598345681e-01
1.024471780310381953e-03,1.024289933949291227e-03,9.854704762210351188e-01
1.026242508927454342e-03,1.026033714187527023e-03,9.844679152606882200e-01
1.028016298126474114e-03,1.027778687713414886e-03,9.834699538191035151e-01
1.029793153197443648e-03,1.029524858683777922e-03,9.824765732502019899e-01
1.031573079439511214e-03,1.031272231264769666e-03,9.814877550266662976e-01
1.033356082160984644e-03,1.033020809631896193e-03,9.805034807325397894e-01
1.035142166679343901e-03,1.034770597970040198e-03,9.795237320653864543e-01
1.036931338321263850e-03,1.036521600473484187e-03,9.785484908364403545e-01
1.038723602422622063e-03,1.038273821345933471e-03,9.775777389627601233e-01
1.040518964328521591e-03,1.040027264800537843e-03,9.766114584779099772e-01
1.042317429393304620e-03,1.041781935059922157e-03,9.756496315226140803e-01
1.044119002980564400e-03,1.043537836356201289e-03,9.746922403424682635e-01
1.045923690463169096e-03,1.045294972931008325e-03,9.737392672975977437e-01
1.047731497223269598e-03,1.047053349035525355e-03,9.727906948543505461e-01
1.049542428652322067e-03,1.048812968930497563e-03,9.718465055790558305e-01
1.051356490151101816e-03,1.050573836886261637e-03,9.709066821511591616e-01
1.053173687129716103e-03,1.052335957182771358e-03,9.699712073495082576e-01
1.054994025007626466e-03,1.054099334109620794e-03,9.690400640600302928e-01
1.056817509213658695e-03,1.055863971966068812e-03,9.681132352704928667e-01
1.058644145186023872e-03,1.057629875061062274e-03,9.671907040697541591e-01
1.060473938372333324e-03,1.059397047713264012e-03,9.662724536524447405e-01
1.062306894229610773e-03,1.061165494251077980e-03,9.653584673103046132e-01
1.064143018224316620e-03,1.062935219012672242e-03,9.644487284383663761e-01
1.065982315832355101e-03,1.064706226346004989e-03,9.635432205278033901e-01
1.067824792539099222e-03,1.066478520608847525e-03,9.626419271711262882e-01
1.069670453839399434e-03,1.068252106168812460e-03,9.617448320560391117e-01
1.071519305237606402e-03,1.070026987403378425e-03,9.608519189716160369e-01
1.073371352247584664e-03,1.071803168699914576e-03,9.599631718011966131e-01
1.075226600392726077e-03,1.073580654455709221e-03,9.590785745231619197e-01
1.077085055205973668e-03,1.075359449077991714e-03,9.581981112141684243e-01
1.078946722229829009e-03,1.077139556983962819e-03,9.573217660425658027e-01
1.080811607016377582e-03,1.078920982600816390e-03,9.564495232726224483e-01
1.082679715127300062e-03,1.080703730365767347e-03,9.555813672569972717e-01
1.084551052133887923e-03,1.082487804726075522e-03,9.547172824492738963e-01
1.086425623617066211e-03,1.084273210139076460e-03,9.538572533852061053e-01
1.088303435167401780e-03,1.086059951072201359e-03,9.530012646991667946e-01
1.090184492385127581e-03,1.087848032003009818e-03,9.521493011122543759e-01
1.092068800880156322e-03,1.089637457419213255e-03,9.513013474379914403e-01
1.093956366272093913e-03,1.091428231818702878e-03,9.504573885763237806e-01
