Galaxy,Hubble_Type,Winner,RMS_Sigma,RMS_MOND,Improvement_Pct,V_flat,R_d,R_d_source,Gas_Pct,Bulge_Pct,Deep_MOND_Pct,g_bar_min,g_bar_max,g_bar_mean,Accel_Regime,Mass_Type,Rise_Ratio,R_max,N_points,Inclination,Distance,Luminosity,M_HI,R_HI,Quality
UGCA281,BCD,Sigma,1.364,7.028,80.59,28.60,1.720,catalog,24.2,0.0,100.0,6.2346e-12,2.3329e-11,1.6011e-11,Deep MOND,Dwarf,1.865,1.08,7,67.0,5.68,0.1940,0.0620,1.83,3
UGC04278,Sd,Sigma,4.285,8.840,51.52,85.47,2.210,catalog,54.9,0.0,100.0,4.1018e-12,2.0962e-11,1.1733e-11,Deep MOND,Normal,3.394,6.69,25,90.0,9.51,1.3070,1.1160,8.90,1
ESO079-G014,Sbc,Sigma,12.057,23.517,48.73,172.60,5.080,catalog,8.4,0.0,100.0,3.3187e-11,7.5562e-11,5.5166e-11,Deep MOND,Massive,3.772,16.67,15,79.0,28.70,51.7330,3.1400,17.67,1
UGC07603,Sd,Sigma,2.837,5.409,47.56,62.50,0.530,catalog,23.8,0.0,100.0,5.7594e-12,3.9174e-11,1.9466e-11,Deep MOND,Dwarf,1.943,4.11,12,78.0,4.70,0.3760,0.2580,4.37,1
NGC0055,Sm,Sigma,14.807,26.945,45.05,86.26,6.110,catalog,41.5,0.0,100.0,8.2418e-12,2.4876e-11,1.5256e-11,Deep MOND,Normal,1.939,13.50,21,77.0,2.11,4.6280,1.5650,10.24,2
ESO116-G012,Sd,Sigma,5.285,9.583,44.85,110.20,1.510,catalog,22.3,0.0,100.0,1.0799e-11,6.7186e-11,3.4077e-11,Deep MOND,Normal,2.886,9.86,15,74.0,13.00,4.2920,1.0830,9.58,1
UGC06399,Sm,Sigma,5.272,9.351,43.63,85.77,2.050,catalog,25.4,0.0,100.0,9.5716e-12,2.0420e-11,1.5338e-11,Deep MOND,Normal,1.913,7.85,9,75.0,18.00,2.2960,0.6740,8.80,1
NGC2976,Sc,Sigma,10.313,18.176,43.26,79.30,1.010,catalog,12.4,0.0,55.6,4.2610e-11,1.3849e-10,9.1552e-11,Transition,Dwarf,4.491,2.27,27,61.0,3.58,3.3710,0.1720,3.04,2
UGC05986,Sm,Sigma,4.002,6.759,40.80,115.40,1.670,catalog,13.0,0.0,100.0,1.0776e-11,5.6524e-11,3.3979e-11,Deep MOND,Normal,2.165,9.41,15,90.0,8.63,4.6950,2.6670,16.53,2
UGCA442,Sm,Sigma,3.005,4.999,39.90,56.90,1.180,catalog,73.8,0.0,100.0,2.0136e-12,8.7704e-12,5.2757e-12,Deep MOND,Dwarf,1.967,6.33,8,64.0,4.35,0.1400,0.2630,4.37,1
UGC07232,Im,Sigma,4.539,7.506,39.53,35.13,0.290,catalog,19.9,0.0,100.0,2.9779e-11,5.3523e-11,4.0570e-11,Deep MOND,Dwarf,1.304,0.82,4,59.0,2.83,0.1130,0.0460,1.54,2
UGCA444,Im,Sigma,3.290,5.359,38.61,34.99,0.830,catalog,89.1,0.0,100.0,8.9342e-13,6.5452e-12,4.3540e-12,Deep MOND,Dwarf,2.497,2.62,36,78.0,0.98,0.0120,0.0670,2.08,2
KK98-251,Im,Sigma,7.858,12.787,38.55,33.00,1.340,catalog,66.1,0.0,100.0,1.5284e-12,6.8973e-12,5.0218e-12,Deep MOND,Dwarf,4.317,3.13,15,59.0,6.80,0.0850,0.1150,2.90,2
NGC3972,Sbc,Sigma,12.258,19.848,38.24,132.67,2.180,catalog,7.6,0.0,100.0,3.5094e-11,8.6497e-11,6.0953e-11,Deep MOND,Normal,1.941,8.72,10,77.0,18.00,14.3530,1.2140,10.05,1
UGC06917,Sm,Sigma,9.461,15.012,36.98,108.67,2.760,catalog,24.7,0.0,100.0,1.5418e-11,5.8925e-11,2.8352e-11,Deep MOND,Normal,1.496,10.47,11,56.0,18.00,6.8320,2.0230,12.67,1
UGC07323,Sdm,Sigma,15.058,23.412,35.69,82.63,2.260,catalog,17.8,0.0,100.0,2.5222e-11,3.4358e-11,3.0410e-11,Deep MOND,Normal,2.375,5.82,10,47.0,8.00,4.1090,0.7220,7.14,1
UGC05414,Im,Sigma,10.692,16.311,34.45,56.67,1.470,catalog,31.7,0.0,100.0,1.3582e-11,2.3025e-11,1.8066e-11,Deep MOND,Dwarf,1.633,4.11,6,55.0,9.40,1.1230,0.5740,6.65,1
DDO168,Im,Sigma,6.671,10.114,34.05,54.23,1.020,catalog,64.1,0.0,100.0,6.1748e-12,1.9251e-11,1.1587e-11,Deep MOND,Dwarf,2.292,4.12,10,63.0,4.25,0.1910,0.4130,4.30,2
F568-3,Sd,Sigma,9.410,14.093,33.23,106.28,4.990,catalog,36.0,0.0,100.0,7.0631e-12,1.6177e-11,1.2745e-11,Deep MOND,Normal,4.101,17.98,18,40.0,82.40,8.3460,3.1950,16.14,1
UGC06786,S0,Sigma,12.435,18.236,31.81,225.07,3.600,catalog,4.0,82.2,33.3,1.0018e-11,3.4589e-09,4.6026e-10,Transition,Massive,1.173,34.05,45,64.0,29.30,73.4070,5.0300,20.31,1
NGC2955,Sb,Sigma,53.092,75.771,29.93,272.12,18.760,catalog,8.7,83.6,16.7,4.1923e-11,1.2732e-09,4.4851e-10,Newtonian,Massive,1.119,35.43,24,56.0,97.90,319.4220,28.9490,40.34,1
NGC3953,Sbc,Sigma,42.976,60.762,29.27,223.67,4.890,catalog,2.2,0.0,0.0,1.0181e-10,3.8575e-10,2.1614e-10,Newtonian,Massive,1.098,15.68,8,62.0,18.00,141.3010,2.8320,17.38,1
NGC4010,Sd,Sigma,23.480,32.933,28.70,126.75,2.810,catalog,11.9,0.0,100.0,2.8713e-11,8.7994e-11,5.6329e-11,Deep MOND,Normal,2.297,10.47,12,89.0,18.00,17.1930,2.8320,17.59,2
UGC07524,Sm,Sigma,10.604,14.814,28.42,79.55,3.460,catalog,44.0,0.0,100.0,8.0717e-12,2.2066e-11,9.9152e-12,Deep MOND,Dwarf,2.424,10.69,31,46.0,4.74,2.4360,1.7790,12.11,1
UGC08837,Im,Sigma,15.207,21.201,28.27,45.87,1.720,catalog,40.5,0.0,100.0,6.9637e-12,1.1656e-11,9.5902e-12,Deep MOND,Dwarf,2.997,4.20,8,80.0,7.21,0.5010,0.3200,4.75,2
UGC02023,Im,Sigma,16.377,22.782,28.12,48.10,1.550,catalog,21.9,0.0,100.0,1.3147e-11,2.1961e-11,1.7392e-11,Deep MOND,Dwarf,1.724,3.78,5,19.0,10.40,1.3080,0.4770,6.50,2
NGC6195,Sb,Sigma,63.398,87.944,27.91,254.00,13.940,catalog,7.6,100.5,17.4,4.5504e-11,1.4351e-09,3.4829e-10,Newtonian,Massive,1.095,36.43,23,62.0,127.80,391.0760,20.9070,40.89,1
UGC06923,Im,Sigma,16.121,22.103,27.07,79.60,1.440,catalog,23.2,0.0,100.0,2.2868e-11,9.2341e-11,4.5145e-11,Deep MOND,Dwarf,1.401,5.16,6,65.0,18.00,2.8900,0.8090,6.75,2
NGC2915,BCD,Sigma,12.564,17.113,26.58,84.43,0.550,catalog,14.2,0.0,93.3,2.1772e-12,1.9270e-10,2.1140e-11,Deep MOND,Normal,1.733,10.04,30,56.0,4.06,0.6410,0.5080,7.16,2
NGC7793,Sd,Sigma,15.120,20.539,26.38,107.66,1.210,catalog,11.4,0.0,30.4,2.2388e-11,2.1855e-10,1.3083e-10,Transition,Normal,3.124,7.87,46,47.0,3.61,7.0500,0.8610,7.35,1
NGC3949,Sbc,Sigma,39.618,53.160,25.47,165.00,3.590,catalog,5.2,0.0,0.0,1.2039e-10,4.7952e-10,2.9068e-10,Newtonian,Massive,1.170,7.07,7,55.0,18.00,38.0670,3.3710,13.72,2
UGC07577,Im,Sigma,12.491,16.610,24.80,15.93,0.900,catalog,32.8,0.0,100.0,1.4478e-12,5.8705e-12,4.5831e-12,Deep MOND,Dwarf,2.458,1.69,9,63.0,2.59,0.0450,0.0440,2.07,2
NGC4051,Sbc,Sigma,51.218,67.135,23.71,158.33,4.650,catalog,3.8,0.0,14.3,8.0076e-11,5.3190e-10,1.9100e-10,Newtonian,Massive,1.232,12.19,7,49.0,18.00,95.2680,2.6970,15.13,2
ESO563-G021,Sbc,Sigma,24.146,31.601,23.59,317.80,5.450,catalog,4.8,0.0,36.7,2.9645e-11,3.4921e-10,1.4785e-10,Transition,Massive,2.631,42.41,30,83.0,60.80,311.1770,24.2980,55.71,1
UGC05918,Im,Sigma,5.949,7.773,23.47,42.77,1.660,catalog,43.5,0.0,100.0,3.5043e-12,4.9515e-12,4.1567e-12,Deep MOND,Dwarf,1.588,4.46,8,46.0,7.66,0.2330,0.2970,5.90,2
D512-2,Im,Sigma,10.236,13.286,22.96,35.53,1.240,catalog,12.7,0.0,100.0,3.9651e-12,8.2425e-12,6.3985e-12,Deep MOND,Dwarf,1.104,3.83,4,56.0,15.20,0.3250,0.0810,0.00,2
UGC11914,Sab,Sigma,23.748,30.807,22.91,292.10,2.440,catalog,1.5,69.3,0.0,2.1906e-10,5.3853e-09,1.2918e-09,Newtonian,Massive,1.130,9.83,65,31.0,16.90,150.0280,0.8880,9.26,1
DDO064,Im,Sigma,5.330,6.890,22.64,46.50,0.690,catalog,56.3,0.0,100.0,8.3108e-13,1.2265e-11,8.8897e-12,Deep MOND,Dwarf,3.599,2.98,14,60.0,6.80,0.1570,0.2110,3.49,1
