galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,0.8828761226653021,0.8579,sigma_power,constant,False,4.611600025912323
D564-8,ok,6,2.8271,0.8579,1.144383522770308,0.8579,sigma_power,constant,False,10.002019190535835
D631-7,ok,16,2.8271,0.8579,1.6953963756368788,0.8579,sigma_power,constant,False,24.578880637211913
DDO064,ok,14,2.8271,0.8579,1.5601868234490188,0.8579,sigma_power,constant,False,12.628793213843949
DDO154,ok,12,2.8271,0.8579,1.5574248159880004,0.8579,sigma_power,constant,False,22.663465129102075
DDO161,ok,31,2.8271,0.8579,1.8193957104268248,0.8579,sigma_power,constant,False,21.296236168710227
DDO168,ok,10,2.8271,0.8579,1.597444091269751,0.8579,sigma_power,constant,False,18.446786752826764
DDO170,ok,8,2.8271,0.8579,1.7123148205441632,0.8579,sigma_power,constant,False,24.461682157543244
ESO079-G014,ok,15,2.8271,0.8579,2.575970463079904,0.8579,sigma_power,constant,False,9.970997274644482
ESO116-G012,ok,15,2.8271,0.8579,2.2136097937747192,0.8579,sigma_power,constant,False,31.502708755746156
ESO444-G084,ok,7,2.8271,0.8579,1.6595209575607826,0.8579,sigma_power,constant,False,31.31845468326514
ESO563-G021,ok,30,2.8271,0.8579,3.3796301901955172,0.8579,sigma_power,constant,False,57.34265046902539
F561-1,ok,6,2.8271,0.8579,1.5887558608858157,0.8579,sigma_power,constant,False,4.151914409328485
F563-1,ok,17,2.8271,0.8579,2.1951325408417373,0.8579,sigma_power,constant,False,56.86800554788753
F563-V1,ok,6,2.8271,0.8579,1.2867136175853606,0.8579,sigma_power,constant,False,1.5994372045020187
F563-V2,ok,10,2.8271,0.8579,2.167181687239538,0.8579,sigma_power,constant,False,44.19451077272916
F565-V2,ok,7,2.8271,0.8579,1.8416428062345165,0.8579,sigma_power,constant,False,37.539889457287785
F568-1,ok,12,2.8271,0.8579,2.3084687035570495,0.8579,sigma_power,constant,False,51.465117610637435
F568-3,ok,18,2.8271,0.8579,2.1109106933567747,0.8579,sigma_power,constant,False,26.866926558271516
F568-V1,ok,15,2.8271,0.8579,2.2419007455429987,0.8579,sigma_power,constant,False,50.72107287284151
F571-8,ok,13,2.8271,0.8579,2.257829342934798,0.8579,sigma_power,constant,False,47.27181995229163
F571-V1,ok,7,2.8271,0.8579,1.9298584792122508,0.8579,sigma_power,constant,False,33.31137106001476
F574-1,ok,14,2.8271,0.8579,2.10344190129092,0.8579,sigma_power,constant,False,31.96886057770444
F579-V1,ok,14,2.8271,0.8579,2.233872407687535,0.8579,sigma_power,constant,False,20.65166160196669
F583-1,ok,25,2.8271,0.8579,1.9121932201847904,0.8579,sigma_power,constant,False,31.36045948347136
F583-4,ok,12,2.8271,0.8579,1.7558629057039865,0.8579,sigma_power,constant,False,17.286659896610182
IC2574,ok,34,2.8271,0.8579,1.7742017701194241,0.8579,sigma_power,constant,False,18.454695594807752
IC4202,ok,32,2.8271,0.8579,3.0611534664935025,0.8579,sigma_power,constant,False,32.83064756367402
KK98-251,ok,15,2.8271,0.8579,1.302225416183796,0.8579,sigma_power,constant,False,7.340703757646106
NGC0024,ok,29,2.8271,0.8579,2.197197091408351,0.8579,sigma_power,constant,False,20.814971498484237
NGC0055,ok,21,2.8271,0.8579,2.0147576980716044,0.8579,sigma_power,constant,False,20.93044246226753
NGC0100,ok,21,2.8271,0.8579,2.0109931094397813,0.8579,sigma_power,constant,False,25.65120678289059
NGC0247,ok,26,2.8271,0.8579,2.184765815880307,0.8579,sigma_power,constant,False,28.44635644852802
NGC0289,ok,28,2.8271,0.8579,2.649163366705494,0.8579,sigma_power,constant,False,55.62903662035582
NGC0300,ok,25,2.8271,0.8579,2.082582985975417,0.8579,sigma_power,constant,False,34.938216208812634
