galaxy,rms_base,rms_formula_radius,delta
NGC5985,40.79840930344115,77.92724004491541,37.12883074147426
F579-V1,17.735631005566106,37.94448731393614,20.208856308370038
ESO079-G014,8.839758472865633,28.367263764194245,19.527505291328612
UGC04325,20.31574323689352,34.86789703828849,14.552153801394969
F568-1,48.30185414759124,58.51014829353352,10.208294145942276
NGC0024,20.735134251347343,30.50154029255545,9.766406041208107
UGC12506,67.37621359432588,77.01770895266252,9.641495358336641
UGC07151,5.800920072579133,15.243084201693074,9.44216412911394
NGC3972,11.63300935029161,20.822116909455257,9.189107559163647
F568-3,24.16681638432141,32.765665711430714,8.598849327109303
