R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.1,6.29,4.62,-1.13,1.96,0.0,2.262410219213129
0.3,13.9,4.62,-2.45,6.31,0.0,6.768943787622999
0.49,15.6,4.62,-0.64,9.67,0.0,9.691155761827378
0.69,18.4,4.62,2.49,13.92,0.0,14.140951170271396
0.89,22.5,4.62,1.87,15.16,0.0,15.274897708331798
1.09,26.5,4.62,4.97,16.41,0.0,17.146107429967888
1.29,35.3,4.62,9.29,17.34,0.0,19.671799612643476
1.48,40.5,4.62,13.62,18.34,0.0,22.844255295369116
1.68,44.2,4.89,16.26,19.12,0.0,25.09904380648793
1.88,46.3,4.62,18.16,19.54,0.0,26.6757792763398
2.08,46.4,4.62,19.64,19.1,0.0,27.395977806970134
2.27,46.3,4.62,20.17,18.77,0.0,27.55252801468497
2.37,46.4,6.73,20.59,18.61,0.0,27.75392224533318
2.98,46.9,8.65,22.17,17.21,0.0,28.065868951450625
