R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.11,9.1,8.5,0.65,27.23,0.0,27.237756882680337
0.14,17.6,7.4,0.65,29.91,0.0,29.917062021528785
0.17,19.3,7.4,0.65,32.32,0.0,32.32653553970793
0.21,24.8,6.4,0.65,35.62,0.0,35.62593016329538
0.24,30.0,7.2,0.74,37.98,0.0,37.98720837334589
0.28,35.0,7.3,0.9,40.67,0.0,40.67995698129486
0.32,38.3,7.6,1.05,43.2,0.0,43.212758532637096
0.35,42.7,8.8,1.21,45.04,0.0,45.056250398807045
0.39,47.0,5.3,1.36,47.33,0.0,47.3495353725884
0.42,49.8,5.6,1.52,48.89,0.0,48.91362284681028
0.46,52.2,6.2,1.67,51.0,0.0,51.02733483144108
0.49,53.4,6.3,1.83,52.6,0.0,52.63182402311362
0.53,54.6,5.9,1.99,54.8,0.0,54.83612039522854
0.56,55.5,6.9,2.12,56.23,0.0,56.269950239892694
0.6,55.9,7.5,2.23,57.57,0.0,57.61317384071112
0.63,58.3,7.4,2.35,58.53,0.0,58.57715766405878
0.66,59.3,6.3,2.47,59.59,0.0,59.64116866728887
0.7,59.5,6.7,2.59,61.08,0.0,61.13488774832256
0.87,59.1,5.1,3.18,66.09,0.0,66.16646053704248
1.05,62.6,5.5,3.96,69.65,0.0,69.76248347070222
1.22,65.6,4.8,5.5,72.34,0.0,72.54878083055566
1.4,70.7,4.6,7.05,75.45,0.0,75.77865794536085
1.57,73.9,4.0,8.58,78.94,0.0,79.40491168687237
1.75,78.5,4.2,10.09,82.71,0.0,83.32317924803397
1.92,82.4,4.6,11.55,87.55,0.0,88.30857829225879
2.1,87.1,4.9,13.06,92.38,0.0,93.2985959165517
2.27,89.6,5.4,14.78,95.96,0.0,97.09155473057375
2.45,94.9,5.7,16.4,96.45,0.0,97.83436257266666
2.62,98.1,5.0,18.13,95.98,0.0,97.67731210470527
2.79,99.3,5.7,20.29,96.23,0.0,98.34580316414117
2.97,98.6,7.2,22.34,96.64,0.0,99.18853361150168
3.16,101.0,8.7,24.5,96.45,0.0,99.51307703010696
3.33,103.0,9.4,26.22,95.51,0.0,99.04366966141754
3.51,107.0,9.1,27.95,94.38,0.0,98.4316356665884
3.68,114.0,7.4,29.68,93.3,0.0,97.90706001101248
3.85,112.0,8.1,29.78,92.28,0.0,96.966214734824
4.03,114.0,7.6,30.0,91.15,0.0,95.96000468945383
4.2,116.0,7.2,30.11,89.82,0.0,94.73248914707139
4.38,114.0,7.8,30.65,88.18,0.0,93.35488685655402
4.73,114.0,11.4,31.83,85.52,0.0,91.25140711243854
5.25,109.0,9.9,33.35,82.4,0.0,88.89309590738755
5.78,107.0,12.6,34.64,77.56,0.0,84.94400037671878
6.3,105.0,12.5,34.75,74.17,0.0,81.90696795755535
6.82,101.0,5.2,33.99,71.94,0.0,79.56559369476231
7.35,94.5,4.6,32.7,69.09,0.0,76.43767461141135
7.87,90.8,6.1,30.97,66.92,0.0,73.73891306494828
