galaxy,Rdisk_catalog_kpc,Rdisk_production_heuristic_kpc,heuristic_to_catalog_ratio
CamB,0.47,0.73,1.5531914893617023
D564-8,0.61,1.53,2.5081967213114753
D631-7,0.7,2.69,3.842857142857143
DDO064,0.69,0.89,1.2898550724637683
DDO154,0.37,2.47,6.675675675675676
DDO161,1.22,3.9,3.19672131147541
DDO168,1.02,1.64,1.6078431372549018
DDO170,1.95,4.86,2.4923076923076923
ESO079-G014,5.08,4.39,0.8641732283464566
ESO116-G012,1.51,3.19,2.1125827814569536
ESO444-G084,0.46,1.29,2.8043478260869565
ESO563-G021,5.45,10.23,1.8770642201834862
F561-1,2.79,4.84,1.7347670250896057
F563-1,3.52,3.19,0.90625
F563-V1,3.79,3.93,1.036939313984169
F563-V2,2.43,2.05,0.8436213991769546
F565-V2,2.17,3.78,1.7419354838709677
F567-2,3.08,3.83,1.2435064935064934
F568-1,5.18,3.96,0.7644787644787645
F568-3,4.99,3.64,0.7294589178356713
F568-V1,2.85,4.3,1.5087719298245612
F571-8,3.56,3.44,0.9662921348314606
F571-V1,2.47,5.83,2.360323886639676
F574-1,4.46,4.22,0.9461883408071748
F574-2,3.76,4.32,1.148936170212766
F579-V1,3.37,3.9,1.1572700296735905
F583-1,2.36,2.31,0.978813559322034
F583-4,1.93,3.92,2.0310880829015545
IC2574,2.78,3.98,1.431654676258993
IC4202,4.78,8.66,1.8117154811715481
KK98-251,1.34,1.07,0.7985074626865671
NGC0024,1.34,1.17,0.8731343283582088
NGC0055,6.11,5.52,0.9034369885433714
NGC0100,1.66,3.42,2.0602409638554215
NGC0247,3.74,5.38,1.4385026737967914
NGC0289,6.74,16.64,2.4688427299703264
NGC0300,1.75,4.54,2.5942857142857143
NGC0801,8.72,3.52,0.40366972477064217
NGC0891,2.55,6.96,2.7294117647058824
NGC1003,1.61,11.21,6.962732919254658
NGC1090,3.53,10.37,2.9376770538243626
NGC1705,0.39,2.0,5.128205128205128
NGC2366,0.65,2.02,3.1076923076923078
NGC2403,1.39,2.57,1.8489208633093526
NGC2683,2.18,11.54,5.293577981651375
NGC2841,3.64,8.9,2.4450549450549453
NGC2903,2.33,3.84,1.648068669527897
NGC2915,0.55,3.68,6.6909090909090905
NGC2955,18.76,6.91,0.3683368869936034
NGC2976,1.01,0.73,0.7227722772277227
NGC2998,6.2,3.63,0.5854838709677419
NGC3109,1.56,2.32,1.487179487179487
NGC3198,3.14,4.82,1.535031847133758
NGC3521,2.4,2.75,1.1458333333333335
NGC3726,3.4,10.47,3.0794117647058825
NGC3741,0.2,1.87,9.35
NGC3769,3.38,8.72,2.579881656804734
NGC3877,2.53,4.37,1.7272727272727275
NGC3893,2.38,6.98,2.9327731092436977
NGC3917,2.63,5.24,1.9923954372623576
NGC3949,3.59,3.5,0.9749303621169917
NGC3953,4.89,6.98,1.4274028629856852
NGC3972,2.18,3.5,1.6055045871559632
NGC3992,4.96,22.94,4.625
NGC4010,2.81,4.37,1.5551601423487544
NGC4013,3.53,14.17,4.014164305949008
NGC4051,4.65,5.24,1.1268817204301076
NGC4068,0.59,1.06,1.7966101694915255
NGC4085,1.65,2.71,1.6424242424242426
NGC4088,2.58,8.72,3.3798449612403103
NGC4100,2.15,9.6,4.465116279069767
NGC4138,1.51,7.85,5.198675496688741
NGC4157,2.32,10.47,4.512931034482759
NGC4183,2.79,6.98,2.501792114695341
NGC4214,0.51,1.88,3.6862745098039214
NGC4217,2.94,6.11,2.078231292517007
NGC4389,2.79,2.71,0.9713261648745519
NGC4559,2.1,7.19,3.4238095238095236
NGC5005,9.45,3.44,0.364021164021164
NGC5033,5.16,12.56,2.434108527131783
NGC5055,3.2,7.18,2.24375
NGC5371,7.44,11.55,1.5524193548387097
NGC5585,1.53,1.46,0.9542483660130718
NGC5907,5.34,20.13,3.7696629213483144
NGC5985,7.01,11.82,1.6861626248216834
NGC6015,2.3,4.94,2.147826086956522
NGC6195,13.94,8.32,0.5968436154949786
NGC6503,2.16,8.35,3.8657407407407405
NGC6674,6.04,27.48,4.549668874172186
NGC6946,2.44,6.92,2.8360655737704916
NGC7331,5.02,11.74,2.3386454183266934
NGC7793,1.21,0.63,0.5206611570247934
NGC7814,2.54,7.26,2.858267716535433
PGC51017,0.53,1.65,3.113207547169811
UGC00128,5.95,18.71,3.1445378151260504
UGC00191,1.58,1.37,0.8670886075949368
UGC00731,2.3,4.55,1.9782608695652175
UGC00891,1.43,2.97,2.076923076923077
UGC01230,4.34,5.48,1.262672811059908
UGC01281,1.63,1.46,0.8957055214723927
UGC02023,1.55,1.51,0.9741935483870967
UGC02259,1.62,3.05,1.8827160493827158
UGC02455,0.99,1.51,1.5252525252525253
UGC02487,7.89,25.12,3.1837769328263628
UGC02885,11.4,27.24,2.389473684210526
UGC02916,6.15,5.18,0.8422764227642275
UGC02953,3.55,3.35,0.943661971830986
UGC03205,3.19,6.08,1.9059561128526645
UGC03546,3.79,2.38,0.6279683377308707
UGC03580,2.43,1.83,0.7530864197530864
UGC04278,2.21,2.35,1.0633484162895928
UGC04305,1.16,2.01,1.732758620689655
UGC04325,1.86,2.09,1.1236559139784945
UGC04483,0.18,0.4,2.2222222222222223
UGC04499,1.73,3.63,2.098265895953757
UGC05005,3.2,5.47,1.7093749999999999
UGC05253,8.07,3.17,0.392812887236679
UGC05414,1.47,2.05,1.3945578231292517
UGC05716,1.14,5.16,4.526315789473685
UGC05721,0.38,1.35,3.5526315789473686
UGC05750,3.46,3.35,0.9682080924855492
UGC05764,1.17,1.45,1.2393162393162394
UGC05829,1.99,2.52,1.2663316582914572
UGC05918,1.66,1.67,1.0060240963855422
UGC05986,1.67,3.77,2.2574850299401197
UGC05999,3.22,6.94,2.1552795031055902
UGC06399,2.05,3.5,1.707317073170732
UGC06446,1.49,3.49,2.342281879194631
UGC06614,5.1,12.52,2.454901960784314
UGC06628,2.82,3.3,1.1702127659574468
UGC06667,5.15,3.5,0.6796116504854368
UGC06786,3.6,4.86,1.35
UGC06787,5.37,4.37,0.813780260707635
UGC06818,1.39,2.61,1.8776978417266188
UGC06917,2.76,4.37,1.5833333333333335
UGC06923,1.44,2.87,1.9930555555555558
UGC06930,3.94,6.98,1.7715736040609138
UGC06973,1.07,4.37,4.08411214953271
UGC06983,3.21,6.11,1.9034267912772587
UGC07089,2.26,4.37,1.933628318584071
UGC07125,3.38,7.2,2.1301775147928996
UGC07151,1.25,2.0,1.6
UGC07261,1.2,2.86,2.3833333333333333
UGC07323,2.26,2.33,1.0309734513274338
UGC07399,1.64,2.45,1.4939024390243905
UGC07524,3.46,3.79,1.0953757225433527
UGC07559,0.58,1.08,1.8620689655172415
UGC07577,0.9,0.75,0.8333333333333333
UGC07603,0.53,1.71,3.2264150943396226
UGC07608,1.5,1.79,1.1933333333333334
UGC07690,0.57,1.77,3.105263157894737
UGC07866,0.61,1.0,1.639344262295082
UGC08286,1.05,2.84,2.7047619047619045
UGC08490,0.67,3.72,5.552238805970149
UGC08550,0.45,1.95,4.333333333333333
UGC08699,3.09,3.04,0.9838187702265373
UGC08837,1.72,1.57,0.9127906976744187
UGC09037,4.28,10.96,2.560747663551402
UGC09133,6.97,7.57,1.0860832137733143
UGC09992,1.04,1.55,1.4903846153846154
UGC10310,1.8,3.31,1.8388888888888888
UGC11455,5.93,8.0,1.349072512647555
UGC11557,2.75,3.19,1.16
UGC11820,2.08,0.79,0.3798076923076923
UGC11914,2.44,2.25,0.9221311475409836
UGC12506,7.38,17.21,2.331978319783198
UGC12632,2.42,4.26,1.7603305785123966
UGC12732,1.98,5.76,2.909090909090909
UGCA281,1.72,0.41,0.2383720930232558
UGCA442,1.18,2.11,1.7881355932203389
UGCA444,0.83,0.97,1.1686746987951808
