cluster,radius_kpc,log_gbar,log_gtot,err_log_gbar,err_log_gtot,gbar,gtot,dataset,group_id,normalized_cluster,overlaps_fox_calibration,B_model,log_gtot_pred,residual_dex,sigma_residual_dex,ratio_predicted_observed,held_out_cluster,model
A209,14.3,-10.015,-9.579,0.043,0.089,9.660508789898121e-11,2.636331385825376e-10,Tian2020_CLASH,A209,a209,False,5.308534396843413,-9.454216930826297,0.12478306917370396,0.08977516354146695,1.3328555022889146,A209,constant_B
A209,100.0,-10.682,-9.636,0.013,0.077,2.079696687103694e-11,2.3120647901755987e-10,Tian2020_CLASH,A209,a209,False,5.308534396843413,-9.666061015480635,-0.030061015480635334,0.07716442518589851,0.9331231939968246,A209,constant_B
A209,200.0,-10.744,-9.695,0.009,0.068,1.80301774085957e-11,2.0183663636815596e-10,Tian2020_CLASH,A209,a209,False,5.308534396843413,-9.690472685216761,0.004527314783238978,0.06809525081927034,1.0104790522182983,A209,constant_B
A209,400.0,-10.764,-9.803,0.005,0.056,1.7218685749860095e-11,1.5739828644662164e-10,Tian2020_CLASH,A209,a209,False,5.308534396843413,-9.698513174826296,0.104486825173705,0.05603641749486703,1.2719991619320323,A209,constant_B
A209,600.0,-10.845,-9.896,0.006,0.052,1.4288939585111008e-11,1.2705741052085393e-10,Tian2020_CLASH,A209,a209,False,5.308534396843413,-9.73185261694126,0.1641473830587401,0.052060719903751614,1.4593094104628006,A209,constant_B
A209,14.3,-10.015,-9.579,0.043,0.089,9.660508789898121e-11,2.636331385825376e-10,Tian2020_CLASH,A209,a209,False,8.598416930753054,-9.293042751138623,0.2859572488613775,0.0893679196859971,1.931778147020026,A209,radial_B_diagnostic
A209,100.0,-10.682,-9.636,0.013,0.077,2.079696687103694e-11,2.3120647901755987e-10,Tian2020_CLASH,A209,a209,False,6.1816452351924704,-9.605885234337148,0.03011476566285154,0.07715732954728385,1.0718024998860392,A209,radial_B_diagnostic
A209,200.0,-10.744,-9.695,0.009,0.068,1.80301774085957e-11,2.0183663636815596e-10,Tian2020_CLASH,A209,a209,False,5.495765775645237,-9.676729078401939,0.018270921598061207,0.0680943903246179,1.0429678507384132,A209,radial_B_diagnostic
A209,400.0,-10.764,-9.803,0.005,0.056,1.7218685749860095e-11,1.5739828644662164e-10,Tian2020_CLASH,A209,a209,False,4.885987518145416,-9.731317280211897,0.07168271978810381,0.05603721487446445,1.179458649983396,A209,radial_B_diagnostic
A209,600.0,-10.845,-9.896,0.006,0.052,1.4288939585111008e-11,1.2705741052085393e-10,Tian2020_CLASH,A209,a209,False,4.561155611620815,-9.792302632176392,0.10369736782360839,0.05206283712468833,1.2696890314134912,A209,radial_B_diagnostic
A2261,23.6,-9.793,-9.364,0.04,0.097,1.610645635178273e-10,4.325138310350079e-10,Tian2020_CLASH,A2261,a2261,False,5.12516930360677,-9.398991985797036,-0.034991985797034886,0.0978840785993575,0.9225884518769153,A2261,constant_B
A2261,100.0,-10.423,-9.426,0.007,0.083,3.77572190925416e-11,3.749730022454834e-10,Tian2020_CLASH,A2261,a2261,False,5.12516930360677,-9.586366514845219,-0.1603665148452187,0.08303246165692571,0.6912473591864366,A2261,constant_B
A2261,200.0,-10.538,-9.495,0.003,0.068,2.8973435877013214e-11,3.198895109691404e-10,Tian2020_CLASH,A2261,a2261,False,5.12516930360677,-9.626003849417005,-0.13100384941700582,0.06800846994525107,0.7395987195144201,A2261,constant_B
A2261,400.0,-10.687,-9.621,0.003,0.051,2.0558905959841447e-11,2.393315756405385e-10,Tian2020_CLASH,A2261,a2261,False,5.12516930360677,-9.68178178003861,-0.06078178003861012,0.051013448672751795,0.8693971655736114,A2261,constant_B
A2261,600.0,-10.785,-9.726,0.003,0.044,1.6405897731995387e-11,1.8793168168032648e-10,Tian2020_CLASH,A2261,a2261,False,5.12516930360677,-9.72100924592923,0.00499075407077143,0.04401717028639715,1.0115579184290897,A2261,constant_B
A2261,23.6,-9.793,-9.364,0.04,0.097,1.610645635178273e-10,4.325138310350079e-10,Tian2020_CLASH,A2261,a2261,False,7.5764500132590635,-9.290011213042707,0.07398878695729394,0.0974249240535742,1.1857381332168841,A2261,radial_B_diagnostic
A2261,100.0,-10.423,-9.426,0.007,0.083,3.77572190925416e-11,3.749730022454834e-10,Tian2020_CLASH,A2261,a2261,False,5.937438763062824,-9.531217682731084,-0.10521768273108378,0.08302985634190302,0.7848421472107991,A2261,radial_B_diagnostic
A2261,200.0,-10.538,-9.495,0.003,0.068,2.8973435877013214e-11,3.198895109691404e-10,Tian2020_CLASH,A2261,a2261,False,5.28175777680768,-9.614513228706107,-0.11951322870610781,0.06800835950799458,0.7594282899616445,A2261,radial_B_diagnostic
A2261,400.0,-10.687,-9.621,0.003,0.051,2.0558905959841447e-11,2.393315756405385e-10,Tian2020_CLASH,A2261,a2261,False,4.698484704619974,-9.715652694181172,-0.09465269418117117,0.051013824666303484,0.8041689599955061,A2261,radial_B_diagnostic
A2261,600.0,-10.785,-9.726,0.003,0.044,1.6405897731995387e-11,1.8793168168032648e-10,Tian2020_CLASH,A2261,a2261,False,4.387626342657216,-9.78223293173253,-0.05623293173252897,0.04401788468917133,0.8785511837903115,A2261,radial_B_diagnostic
A383,14.3,-9.91,-9.288,0.039,0.128,1.2302687708123812e-10,5.152286445817561e-10,Tian2020_CLASH,A383,a383,False,5.151110447523078,-9.433725914257554,-0.14572591425755377,0.1285086154568071,0.7149473911314114,A383,constant_B
A383,100.0,-10.489,-9.434,0.007,0.089,3.243396173493487e-11,3.6812897364253203e-10,Tian2020_CLASH,A383,a383,False,5.151110447523078,-9.606842414173778,-0.172842414173779,0.08903297974465946,0.6716725282975675,A383,constant_B
A383,200.0,-10.677,-9.567,0.004,0.068,2.1037784397664772e-11,2.7101916318908416e-10,Tian2020_CLASH,A383,a383,False,5.151110447523078,-9.675914428729985,-0.10891442872998525,0.06801771227221158,0.778189866677134,A383,constant_B
A383,400.0,-10.883,-9.772,0.004,0.059,1.3091819229994098e-11,1.6904409316432633e-10,Tian2020_CLASH,A383,a383,False,5.151110447523078,-9.759998899428227,0.012001100571772838,0.05902468155213833,1.028018903287719,A383,constant_B
A383,14.3,-9.91,-9.288,0.039,0.128,1.2302687708123812e-10,5.152286445817561e-10,Tian2020_CLASH,A383,a383,False,8.098345271583518,-9.293511973718518,-0.005511973718517638,0.12822579894373942,0.9873884125736665,A383,radial_B_diagnostic
A383,100.0,-10.489,-9.434,0.007,0.089,3.243396173493487e-11,3.6812897364253203e-10,Tian2020_CLASH,A383,a383,False,5.9518853393874664,-9.551821636774852,-0.11782163677485258,0.08903077987038498,0.7623920574894649,A383,radial_B_diagnostic
A383,200.0,-10.677,-9.567,0.004,0.068,2.1037784397664772e-11,2.7101916318908416e-10,Tian2020_CLASH,A383,a383,False,5.333229925607066,-9.662306837735166,-0.09530683773516557,0.06801752186306863,0.8029586154148675,A383,radial_B_diagnostic
A383,400.0,-10.883,-9.772,0.004,0.059,1.3091819229994098e-11,1.6904409316432633e-10,Tian2020_CLASH,A383,a383,False,4.778879265560242,-9.790032737073247,-0.018032737073246707,0.05902506990839142,0.9593283147209458,A383,radial_B_diagnostic
A611,22.2,-10.136,-9.381,0.036,0.124,7.311390834834187e-11,4.159106104940219e-10,Tian2020_CLASH,A611,a611,False,5.166642759629473,-9.496473978224262,-0.1154739782242622,0.12441330532847181,0.7665244669036684,A611,constant_B
A611,100.0,-10.504,-9.454,0.005,0.1,3.1332857243155885e-11,3.5156044052829763e-10,Tian2020_CLASH,A611,a611,False,5.166642759629473,-9.610920479148845,-0.15692047914884455,0.10001525405790393,0.6967540805606999,A611,constant_B
A611,200.0,-10.622,-9.538,0.005,0.08,2.387811282913178e-11,2.897343587701321e-10,Tian2020_CLASH,A611,a611,False,5.166642759629473,-9.65372832912253,-0.11572832912252906,0.08002208875886406,0.7660756721029728,A611,constant_B
A611,400.0,-10.767,-9.683,0.004,0.06,1.7100153150902897e-11,2.0749135174549106e-10,Tian2020_CLASH,A611,a611,False,5.166642759629473,-9.710471855725729,-0.027471855725728744,0.06002197021503834,0.9387028669521095,A611,constant_B
A611,600.0,-10.876,-9.801,0.004,0.056,1.3304544179780928e-11,1.5812480392703828e-10,Tian2020_CLASH,A611,a611,False,5.166642759629473,-9.755807792331769,0.04519220766823118,0.05602584746281953,1.109665816408858,A611,constant_B
A611,22.2,-10.136,-9.381,0.036,0.124,7.311390834834187e-11,4.159106104940219e-10,Tian2020_CLASH,A611,a611,False,7.606152257173965,-9.361697698217714,0.01930230178228598,0.12426290224498669,1.045447676603983,A611,radial_B_diagnostic
