variant_id,mode,coordinate,coordinate_value,equal_system_RMS_arcsec,improvement_fraction_vs_eta0,improvement_fraction_vs_local_vector,systems_improved_vs_eta0,minimum_system_improvement_fraction,maximum_system_improvement_fraction
eta_000,none,reference,0.0,31.996072440975713,0.0,0.009792283973464988,0,0.0,0.0
local_vector_s200,local_vector,reference,1.0,32.31248547463177,-0.009889121055084438,0.0,4,-0.013308853584027114,0.01752715323450238
network_target_050,network,target_weight_power,0.5,33.027067100901796,-0.032222537995186595,-0.02211472177932694,3,-0.038868849940992156,0.008180388056467036
network_hop_090,network,hop_fraction,0.9,33.10935741726678,-0.0347944260454085,-0.02466142517141323,3,-0.04186782750323981,0.008433299423131424
network_soft_100,network,softening_kpc,100.0,33.26850625473268,-0.039768437707605075,-0.0295867298989263,3,-0.047583032458614394,0.008471341379249986
network_hop_080,network,hop_fraction,0.8,33.317644260162254,-0.0413041888695711,-0.031107442549401565,3,-0.04964533694390827,0.00840901757754109
network_link_125,network,link_scale_kpc,125.0,33.322972593071576,-0.04147071971235361,-0.031272342674881104,3,-0.049591992439973476,0.008461998012578409
network_power_250,network,distance_power,2.5,33.382460541570524,-0.043329946297387956,-0.03311336318522384,3,-0.051779501032754416,0.008460749481843388
network_hop_110,network,hop_fraction,1.1,33.39005074585184,-0.04356716929703319,-0.033348263229891595,3,-0.05212801433949865,0.008331741539213344
network_parent,network,parent,1.0,33.4052833674011,-0.044043247152443676,-0.03381967919574835,3,-0.05261761134435483,0.008462749348542187
network_power_150,network,distance_power,1.5,33.43059288867436,-0.044834266778991605,-0.03460295293348459,3,-0.0535470100393447,0.008465325274494506
network_link_500,network,link_scale_kpc,500.0,33.45698892660143,-0.045659244218824835,-0.03541985195995534,3,-0.05451892981570694,0.008465381819137474
network_soft_300,network,softening_kpc,300.0,33.4613390372556,-0.0457952018636949,-0.0355544782689583,3,-0.05467692644838418,0.008463511738524332
network_top_010,network,top_k,10.0,34.04555406628505,-0.06405416255667284,-0.05363464203377033,3,-0.07612052327600516,0.00832138905248836
network_top_003,network,top_k,3.0,34.11587518141224,-0.06625196715462511,-0.055810925104981424,3,-0.0789503444955435,0.007962230924744795
network_hop_120,network,hop_fraction,1.2,34.19691149817626,-0.06878466290700258,-0.05831881998133315,3,-0.08184057795238364,0.008290339439466554
network_top_001,network,top_k,1.0,34.611629556230234,-0.08174619307040043,-0.07115342716064044,2,-0.09640006279473523,0.007773066766332826
network_target_150,network,target_weight_power,1.5,35.53528158490737,-0.1106138620751207,-0.0997384157528145,3,-0.13053010697826806,0.008565340342317151
network_target_200,network,target_weight_power,2.0,38.92942930023462,-0.21669399805395217,-0.20477978491619742,2,-0.2536008745769456,0.008521468065482929
