system_label,variant_id,mode,coordinate,coordinate_value,training_images,training_linearized_RMS_arcsec,heldout_images,heldout_linearized_RMS_arcsec,applied_angular_strength
RXJ2129,eta_000,none,reference,0.0,15,0.6612030559421145,7,2.476692117381866,0.0
RXJ2129,local_vector_s200,local_vector,reference,1.0,15,0.6610329832829154,7,2.45585923731402,0.0027794265351511276
RXJ2129,network_parent,network,parent,1.0,15,0.660987582379993,7,2.455732492778953,0.0027794265351511276
RXJ2129,network_hop_080,network,hop_fraction,0.8,15,0.6610098663737217,7,2.4558655698326444,0.0027794265351511276
RXJ2129,network_hop_090,network,hop_fraction,0.9,15,0.660999897122333,7,2.455805431177075,0.0027794265351511276
RXJ2129,network_hop_110,network,hop_fraction,1.1,15,0.6609831014630219,7,2.456056958787633,0.0027794265351511276
RXJ2129,network_hop_120,network,hop_fraction,1.2,15,0.6609708576394231,7,2.456159499041719,0.0027794265351511276
RXJ2129,network_soft_100,network,softening_kpc,100.0,15,0.6609979005343788,7,2.4557112129642267,0.0027794265351511276
RXJ2129,network_soft_300,network,softening_kpc,300.0,15,0.6609839064536713,7,2.4557306045736937,0.0027794265351511276
RXJ2129,network_power_150,network,distance_power,1.5,15,0.6609854214045944,7,2.4557261130034513,0.0027794265351511276
RXJ2129,network_power_250,network,distance_power,2.5,15,0.6609898954079283,7,2.4557374458330417,0.0027794265351511276
RXJ2129,network_target_050,network,target_weight_power,0.5,15,0.6610069269828153,7,2.4564318147652893,0.0027794265351511276
RXJ2129,network_target_150,network,target_weight_power,1.5,15,0.6609749418302231,7,2.4554784064733557,0.0027794265351511276
RXJ2129,network_target_200,network,target_weight_power,2.0,15,0.6609730201708844,7,2.455587064595563,0.0027794265351511276
RXJ2129,network_link_125,network,link_scale_kpc,125.0,15,0.6609967407748226,7,2.455734353606812,0.0027794265351511276
RXJ2129,network_link_500,network,link_scale_kpc,500.0,15,0.6609837041655076,7,2.4557259729597805,0.0027794265351511276
RXJ2129,network_top_001,network,top_k,1.0,15,0.6610309556338144,7,2.4574406241938065,0.0027794265351511276
RXJ2129,network_top_003,network,top_k,3.0,15,0.6610062534327951,7,2.4569721228137764,0.0027794265351511276
RXJ2129,network_top_010,network,top_k,10.0,15,0.6609848720928797,7,2.4560825987098998,0.0027794265351511276
MACS0329,eta_000,none,reference,0.0,20,6.013526200566734,3,19.489420233040843,0.0
MACS0329,local_vector_s200,local_vector,reference,1.0,20,6.027201586087474,3,19.147826178164724,0.102148081662042
MACS0329,network_parent,network,parent,1.0,20,6.008554297529493,3,19.396298274877473,0.102148081662042
MACS0329,network_hop_080,network,hop_fraction,0.8,20,6.011326456606591,3,19.336162969999634,0.102148081662042
MACS0329,network_hop_090,network,hop_fraction,0.9,20,6.009499437701344,3,19.354779199048668,0.102148081662042
MACS0329,network_hop_110,network,hop_fraction,1.1,20,6.006133900267483,3,19.379262919115956,0.102148081662042
MACS0329,network_hop_120,network,hop_fraction,1.2,20,6.005468985067327,3,19.38144662405692,0.102148081662042
MACS0329,network_soft_100,network,softening_kpc,100.0,20,6.008421914525993,3,19.393209244964115,0.102148081662042
MACS0329,network_soft_300,network,softening_kpc,300.0,20,6.008683067123679,3,19.398289789259884,0.102148081662042
MACS0329,network_power_150,network,distance_power,1.5,20,6.008592956336943,3,19.39727159940582,0.102148081662042
MACS0329,network_power_250,network,distance_power,2.5,20,6.008504948855258,3,19.395419845168625,0.102148081662042
MACS0329,network_target_050,network,target_weight_power,0.5,20,6.001935208784099,3,19.347088251585305,0.102148081662042
