system,activation_RMS,activation_maximum,median_coherence,median_tidal_balance
A2163,0.3898505040438297,0.9136422779109032,0.7222891363513468,0.6933605790713262
A3192,0.44211082297807586,0.9028744716261112,0.6201044395009783,0.6901945147729867
ACT-CL J0102-4915,0.5677611108945818,0.9741680675702619,0.32994970925084643,0.7025983179810227
CL J0152.7-1357,0.4419688350882132,0.8855722679260273,0.6528626009969716,0.7164763480749134
MACS J0035.4-2015,0.46690565482812957,0.9548226888250396,0.5084175429278263,0.6132849972747647
MACS J0257.1-2325,0.5464498973881947,0.9759185662609117,0.37231717954570537,0.7003819395335342
MACS J0553.4-3342,0.3970002986549079,0.9043567224133605,0.7155629856213181,0.7299626046609813
RXC J0032.1+1808,0.5136352710415936,0.9746077946893497,0.365681792123978,0.6335423382410145
RXC J0142.9+4438,0.45636028858878686,0.8841786760488405,0.6535487544650339,0.7410146111819556
RXC J0600.1-2007,0.4060892157469023,0.8254056887169343,0.6758422947832237,0.6896043017162015
