system,cohort,candidate_id,carrier,arrival_smoothing_kpc,route_fraction_f,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
A2163,development,local_control,local_control,0.0,0.0,0.09141538379654411,0.46189086722366,0.6523464821994867,54.230901058404406
A2163,development,activation_only__w20__f0.05,activation_only,20.0,0.05,0.09057807514169064,0.46189964178954124,0.6509781267955411,52.712589823825766
A2163,development,activation_only__w20__f0.1,activation_only,20.0,0.1,0.08995390734751231,0.46151770983328483,0.6500023262005714,51.21496191925842
A2163,development,activation_only__w20__f0.2,activation_only,20.0,0.2,0.08922709734440562,0.4593212537219468,0.6492347575270492,48.289427700962634
A2163,development,activation_only__w20__f0.4,activation_only,20.0,0.4,0.08945616475025497,0.4470373915740293,0.6524402104960589,42.78324742010258
A2163,development,activation_only__w20__f0.6,activation_only,20.0,0.6,0.09158514099150256,0.41968232986047727,0.6618710648690205,37.90254511211689
A2163,development,activation_only__w20__f0.8,activation_only,20.0,0.8,0.09549789856644034,0.3730828876399952,0.6772673069751222,33.91841426401809
A2163,development,activation_only__w20__f1,activation_only,20.0,1.0,0.10129627819181315,0.30818789709030164,0.6982344334330639,31.176496923774984
A2163,development,activation_only__w50__f0.05,activation_only,50.0,0.05,0.09008499954869659,0.46518099852843825,0.6495207693571379,52.52841812286935
A2163,development,activation_only__w50__f0.1,activation_only,50.0,0.1,0.08893438822866773,0.4684622029730938,0.6469475541799786,50.8404925736184
A2163,development,activation_only__w50__f0.2,activation_only,50.0,0.2,0.087071498127609,0.4749173405784233,0.6425704529937297,47.51450637079405
A2163,development,activation_only__w50__f0.4,activation_only,50.0,0.4,0.08471925722617268,0.48659476973171156,0.6369610804451772,41.11807755422872
A2163,development,activation_only__w50__f0.6,activation_only,50.0,0.6,0.08381791598574423,0.494261830266265,0.6356286853674922,35.21639657733903
A2163,development,activation_only__w50__f0.8,activation_only,50.0,0.8,0.08413768270274895,0.49349897881346105,0.6386000391801772,30.10187990924848
A2163,development,activation_only__w50__f1,activation_only,50.0,1.0,0.08557266359942292,0.47835512737517166,0.6458157408569719,26.23894167627093
A2163,development,activation_only__w100__f0.05,activation_only,100.0,0.05,0.08957506384527662,0.46888213208560636,0.6476711906705857,52.171800965746094
A2163,development,activation_only__w100__f0.1,activation_only,100.0,0.1,0.0879484582938059,0.4761592675893588,0.6432374128118712,50.119974350258744
A2163,development,activation_only__w100__f0.2,activation_only,100.0,0.2,0.08520620639294395,0.4916030487740009,0.6351143551852374,46.04202790893817
