system_label,variant,contrast_mode,nominal_cap,source,route_fraction_multiplier,return_length_over_R80,width_over_R80,gate_mode,ordinary_geometry,source_positions,field_policy,contrast_cap,parameter,level,R50_kpc,R80_kpc,concentration_R50_over_R80,extent_gate,effective_route_fraction,return_length_kpc,endpoint_width_kpc,route_map_normalization_error,route_centroid_x_arcsec,route_centroid_y_arcsec,maximum_carrier_weighted_annular_mean_error,minimum_light_weight,maximum_light_weight,empty_annuli,contrast_strength,minimum_light_weight_after_strength,maximum_light_weight_after_strength,grid_spacing_arcsec,carrier_convergence_minimum,carrier_convergence_maximum,maximum_annular_convergence_mean_fraction,delta_convergence_minimum,delta_convergence_maximum,raw_correction_RMS_arcsec,raw_correction_maximum_arcsec,maximum_independent_circular_mean_deflection_arcsec,normalized_curl_RMS,maximum_edge_correction_arcsec,maximum_edge_delta_convergence
MACS0329,hard_A3p0,hard,3.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,3.0,smooth_saturation,hard_A3p0,196.85047455638187,244.14229945401135,0.8062940137641419,0.6799536629353456,0.6799536629353456,87.89122780344408,56.152728874422614,0.0,-5.784383691089486,-0.9285945012749977,4.1368322483834954e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,9.208775171849121e-17,-0.23958475079286945,9.498793648695537,0.6907974189128407,8.112837553483756,0.00019112848433322505,3.0455389829928994e-17,0.23025508473201145,0.0
MACS0329,hard_A5p0,hard,5.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,5.0,smooth_saturation,hard_A5p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.1348543924752853e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,2.5925949541638326e-16,-0.2395847507928701,9.498793648695539,0.703836851422764,8.154298803364183,0.00019101918422514963,3.162610582424229e-17,0.2362912266197359,0.0
MACS0329,hard_A7p5,hard,7.5,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,7.5,smooth_saturation,hard_A7p5,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.1348543924752853e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,1.323161667614516e-16,-0.2395847507928701,9.498793648695537,0.710506045516194,8.168217923017739,0.00019101849101765822,3.2596550763364854e-17,0.23808380964309694,0.0
MACS0329,hard_A10p0,hard,10.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,10.0,smooth_saturation,hard_A10p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.1348543924752853e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,9.107490612680525e-17,-0.2395847507928701,9.498793648695539,0.7149382002235216,8.176923033650425,0.00019101798160126027,3.0857468211587145e-17,0.2397798790630317,0.0
MACS0329,hard_A15p0,hard,15.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,15.0,smooth_saturation,hard_A15p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.1348543924752853e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,9.208775171849121e-17,-0.2395847507928701,9.498793648695537,0.7208437177122928,8.189081441830574,0.00019101745939509307,3.0690295012916e-17,0.24318008135862948,0.0
MACS0329,hard_A20p0,hard,20.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,20.0,smooth_saturation,hard_A20p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.1348543924752853e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,8.931863257218972e-17,-0.2395847507928701,9.498793648695539,0.7247064198731668,8.197493762082198,0.00019101748151184594,2.9890773655594544e-17,0.24610950697412096,0.0
MACS0329,tanh_A3p0,tanh,3.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,3.0,smooth_saturation,tanh_A3p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.162323660087939e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,1.238922659209211e-16,-0.2250388431781117,9.498793648695537,0.6506704960863152,7.473685388587567,0.00019023982998223055,3.132459083950552e-17,0.21195760468209085,0.0
MACS0329,tanh_A5p0,tanh,5.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,5.0,smooth_saturation,tanh_A5p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.6672521147416766e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,8.918374406532665e-17,-0.23416346621711343,9.498793648695539,0.6845932459866109,7.896171922409328,0.00019101575179614194,3.068774328535723e-17,0.22678451456722276,0.0
MACS0329,tanh_A7p5,tanh,7.5,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,7.5,smooth_saturation,tanh_A7p5,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.156225933283057e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,2.1604957951365271e-16,-0.23714829365920997,9.498793648695537,0.7005073216506468,8.048516434830976,0.00019106081765563054,3.1379648688181334e-17,0.23370595761775642,0.0
MACS0329,tanh_A10p0,tanh,10.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,10.0,smooth_saturation,tanh_A10p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,2.933837183057982e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,9.208775171849121e-17,-0.23820883855999803,9.498793648695539,0.7084916837258811,8.107974933874633,0.00019105097857574638,2.978845645879695e-17,0.23739421103694444,0.0
