system,target_kind,fraction_max,length_over_R80,radius_exponent,width_over_R80,external_direction_mix,tensor_axis_ratio,tensor_orientation,shape_gate,candidate_id,changed_parameter,changed_level,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,H,T000_BASE,baseline,base,0.11574844990674354,0.5512833074567972,0.6855768223411118,78.3022370166332
A2163,lenstool_best,0.3,1.0,-0.5,0.25,0.0,1.5,tidal,H,T001_fraction_max_0.3,fraction_max,0.3,0.12236035479399705,0.5343703438187322,0.6987159589780024,78.02120278297022
A2163,lenstool_best,0.45,1.0,-0.5,0.25,0.0,1.5,tidal,H,T002_fraction_max_0.45,fraction_max,0.45,0.1183061183023429,0.5451604026108499,0.6896393600053344,78.01763527225387
A2163,lenstool_best,0.75,1.0,-0.5,0.25,0.0,1.5,tidal,H,T003_fraction_max_0.75,fraction_max,0.75,0.11463826267881018,0.5522604555748019,0.6870192982492898,78.89386561152054
A2163,lenstool_best,1.0,1.0,-0.5,0.25,0.0,1.5,tidal,H,T004_fraction_max_1.0,fraction_max,1.0,0.11620019892545819,0.5424797495158283,0.702672857355044,80.60604671067041
A2163,lenstool_best,0.6,0.5,-0.5,0.25,0.0,1.5,tidal,H,T005_length_over_R80_0.5,length_over_R80,0.5,0.13056124003090344,0.5273977143997912,0.7399564711914319,81.45602612714617
A2163,lenstool_best,0.6,0.75,-0.5,0.25,0.0,1.5,tidal,H,T006_length_over_R80_0.75,length_over_R80,0.75,0.11643946343208113,0.5416906892900561,0.7107117849467338,78.728193458331
A2163,lenstool_best,0.6,1.25,-0.5,0.25,0.0,1.5,tidal,H,T007_length_over_R80_1.25,length_over_R80,1.25,0.11943470060224116,0.5379922325999523,0.6838709205554832,72.72400023160483
A2163,lenstool_best,0.6,1.5,-0.5,0.25,0.0,1.5,tidal,H,T008_length_over_R80_1.5,length_over_R80,1.5,0.12501570727318842,0.5067585060649181,0.7026194382836002,64.43714868749048
A2163,lenstool_best,0.6,1.0,-1.0,0.25,0.0,1.5,tidal,H,T009_radius_exponent_-1.0,radius_exponent,-1.0,0.1207922515772798,0.529449704728108,0.6944755255786276,73.75357277486563
A2163,lenstool_best,0.6,1.0,-0.75,0.25,0.0,1.5,tidal,H,T010_radius_exponent_-0.75,radius_exponent,-0.75,0.11869928485871256,0.5355829875136832,0.6912325941971734,76.02007254318944
A2163,lenstool_best,0.6,1.0,-0.25,0.25,0.0,1.5,tidal,H,T011_radius_exponent_-0.25,radius_exponent,-0.25,0.11138418257103787,0.563302465229133,0.6818644692312974,78.1341603296604
A2163,lenstool_best,0.6,1.0,0.0,0.25,0.0,1.5,tidal,H,T012_radius_exponent_0.0,radius_exponent,0.0,0.12166544375774155,0.5673976845179882,0.7040023839497676,82.03939525829179
