fraction_max,length_over_R80,radius_exponent,width_over_R80,external_direction_mix,tensor_axis_ratio,tensor_orientation,shape_gate,candidate_id,changed_parameter,changed_level,outer_RMSE_km_s,outer_equal_galaxy_RMSE_km_s,outer_mean_residual_km_s,solar_activation,solar_effective_route_fraction,solar_maximum_absolute_interior_force_change
0.6,1.0,-0.5,0.25,0.0,1.5,tidal,H,T000_BASE,baseline,base,11.167727852335553,11.766291388381493,3.730308532223573,4.938730118393774e-50,2.748597209197974e-50,0.0
0.3,1.0,-0.5,0.25,0.0,1.5,tidal,H,T001_fraction_max_0.3,fraction_max,0.3,10.702122306673797,11.246788572243728,3.142651230712707,4.938730118393774e-50,1.374298604598987e-50,0.0
0.45,1.0,-0.5,0.25,0.0,1.5,tidal,H,T002_fraction_max_0.45,fraction_max,0.45,10.92003303244794,11.491342644397784,3.4432115250256823,4.938730118393774e-50,2.0614479068984807e-50,0.0
0.75,1.0,-0.5,0.25,0.0,1.5,tidal,H,T003_fraction_max_0.75,fraction_max,0.75,11.437226074189427,12.063391149414793,4.006355686575064,4.938730118393774e-50,3.435746511497468e-50,0.0
1.0,1.0,-0.5,0.25,0.0,1.5,tidal,H,T004_fraction_max_1.0,fraction_max,1.0,11.920566676133715,12.59287450471574,4.446203171061057,4.938730118393774e-50,4.58099534866329e-50,0.0
0.6,0.5,-0.5,0.25,0.0,1.5,tidal,H,T005_length_over_R80_0.5,length_over_R80,0.5,10.759859901440057,11.317531216981816,3.2544271026290383,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,0.75,-0.5,0.25,0.0,1.5,tidal,H,T006_length_over_R80_0.75,length_over_R80,0.75,11.004153613140762,11.590033480675592,3.566475225755748,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.25,-0.5,0.25,0.0,1.5,tidal,H,T007_length_over_R80_1.25,length_over_R80,1.25,11.242399732221314,11.847817711995443,3.8038939503813918,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.5,-0.5,0.25,0.0,1.5,tidal,H,T008_length_over_R80_1.5,length_over_R80,1.5,11.25739932317624,11.862914186583293,3.8305884382177062,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-1.0,0.25,0.0,1.5,tidal,H,T009_radius_exponent_-1.0,radius_exponent,-1.0,11.116917100527468,11.711406534984942,3.6615665439466896,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.75,0.25,0.0,1.5,tidal,H,T010_radius_exponent_-0.75,radius_exponent,-0.75,11.142772012971404,11.739547903657535,3.696241971339499,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.25,0.25,0.0,1.5,tidal,H,T011_radius_exponent_-0.25,radius_exponent,-0.25,11.191297086155538,11.790993198512025,3.7629389729273215,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,0.0,0.25,0.0,1.5,tidal,H,T012_radius_exponent_0.0,radius_exponent,0.0,11.213113116118407,11.813247240380175,3.7935089496373324,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.1,0.0,1.5,tidal,H,T013_width_over_R80_0.1,width_over_R80,0.1,11.325667192102514,11.932633714821543,3.8418183862542232,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.175,0.0,1.5,tidal,H,T014_width_over_R80_0.175,width_over_R80,0.175,11.264798044471148,11.866787868159228,3.805917206057023,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.35,0.0,1.5,tidal,H,T015_width_over_R80_0.35,width_over_R80,0.35,10.985700340764554,11.56617320413553,3.528215853263469,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.5,0.0,1.5,tidal,H,T016_width_over_R80_0.5,width_over_R80,0.5,10.63306526190361,11.152362551607284,2.999355813447316,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.25,1.5,tidal,H,T017_external_direction_mix_0.25,external_direction_mix,0.25,11.167727852335553,11.766291388381493,3.730308532223573,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.5,1.5,tidal,H,T018_external_direction_mix_0.5,external_direction_mix,0.5,11.167727852335553,11.766291388381493,3.730308532223573,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.75,1.5,tidal,H,T019_external_direction_mix_0.75,external_direction_mix,0.75,11.167727852335553,11.766291388381493,3.730308532223573,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,1.0,1.5,tidal,H,T020_external_direction_mix_1.0,external_direction_mix,1.0,11.167727852335553,11.766291388381493,3.730308532223573,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.0,1.0,tidal,H,T021_tensor_axis_ratio_1.0,tensor_axis_ratio,1.0,11.231034716319687,11.831941092174588,3.7825280555342133,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.0,1.25,tidal,H,T022_tensor_axis_ratio_1.25,tensor_axis_ratio,1.25,11.199393058351092,11.799303938574711,3.7577818066427597,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.0,2.0,tidal,H,T023_tensor_axis_ratio_2.0,tensor_axis_ratio,2.0,11.10437372819649,11.69849479508112,3.66780278129358,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.0,3.0,tidal,H,T024_tensor_axis_ratio_3.0,tensor_axis_ratio,3.0,10.978100813124819,11.557583422065308,3.5185450911095333,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.0,1.5,radial,H,T025_tensor_orientation_radial,tensor_orientation,radial,11.167727852335553,11.766291388381493,3.730308532223573,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.0,1.5,external,H,T026_tensor_orientation_external,tensor_orientation,external,11.167727852335553,11.766291388381493,3.730308532223573,4.938730118393774e-50,2.748597209197974e-50,0.0
0.6,1.0,-0.5,0.25,0.0,1.5,tidal,none,T027_shape_gate_none,shape_gate,none,11.690556141697822,12.130757354162894,4.628505680167403,4.938730118393774e-50,2.9632380710362643e-50,0.0
0.6,1.0,-0.5,0.25,0.0,1.5,tidal,sqrt_H,T028_shape_gate_sqrt_H,shape_gate,sqrt_H,11.34279687800167,11.911971431724812,4.041333688390332,4.938730118393774e-50,2.8539004699252325e-50,0.0
0.6,1.0,-0.5,0.25,0.0,1.5,tidal,H2,T029_shape_gate_H2,shape_gate,H2,10.963819808842054,11.556959030246697,3.4024695435274497,4.938730118393774e-50,2.5495037649030106e-50,0.0
