model,training_RMS_arcsec,heldout_RMS_arcsec,training_roots_converged,heldout_roots_converged,heldout_all_roots_converged,maximum_heldout_residual_arcsec,heldout_reduced_chi2,optimizer_success,optimizer_cost,any_geometry_near_bound,variant_id,changed_parameter,changed_level,fraction_max,length_over_R80,radius_exponent,width_over_R80,shape_gate,source_acceleration_gate_power,effective_route_fraction_RXJ2129
no_route,0.49524262462835045,1.8086634342220647,15,7,True,2.8511058027961993,42.45890850701368,True,48.1575417908872,False,no_route,fraction_max,0.0,0.0,0.25,-0.5,0.5,H,4.0,0.0
fraction_0.05,0.6512845675706775,1.5736617620795845,15,7,True,2.9454522635465916,32.14223653883192,True,84.74502550175433,False,fraction_0.05,fraction_max,0.05,0.05,0.25,-0.5,0.5,H,4.0,0.03698701278488775
width_over_R80_1,0.8396759576861138,1.8815594311384682,15,7,True,3.2597370182631527,45.95038870819131,True,140.32222447839405,False,width_over_R80_1,width_over_R80,1.0,0.2,0.25,-0.5,1.0,H,4.0,0.147948051139551
fraction_0.1,0.8745558174726196,inf,15,6,False,3.512978818950171,inf,True,152.5024536564061,False,fraction_0.1,fraction_max,0.1,0.1,0.25,-0.5,0.5,H,4.0,0.0739740255697755
width_over_R80_0.75,1.0384205052317532,2.412222884978,15,7,True,4.224315210611396,75.52455501985311,True,213.49672338467013,False,width_over_R80_0.75,width_over_R80,0.75,0.2,0.25,-0.5,0.75,H,4.0,0.147948051139551
length_over_R80_0.1,1.155495406940903,3.030206982577015,15,7,True,5.286743485199028,119.178495248077,True,263.43660530158115,False,length_over_R80_0.1,length_over_R80,0.1,0.2,0.1,-0.5,0.5,H,4.0,0.147948051139551
length_over_R80_0.15,1.2264874792721094,3.479322670537087,15,7,True,5.99874879001313,157.1240707328093,True,294.2634760722535,False,length_over_R80_0.15,length_over_R80,0.15,0.2,0.15,-0.5,0.5,H,4.0,0.147948051139551
width_over_R80_0.35,1.6007228774603854,4.55847877551329,15,7,True,8.119736573866161,269.7075988218139,True,477.21695884032147,False,width_over_R80_0.35,width_over_R80,0.35,0.2,0.25,-0.5,0.35,H,4.0,0.147948051139551
fraction_0.75,5.907206229528454,18.03605931056772,15,7,True,28.832710529974698,4222.178773530169,True,2214.4286158290897,True,fraction_0.75,fraction_max,0.75,0.75,0.25,-0.5,0.5,H,4.0,0.5548051917733162
fraction_0.5,inf,inf,14,6,False,31.691557575064063,inf,True,774.0273922531002,True,fraction_0.5,fraction_max,0.5,0.5,0.25,-0.5,0.5,H,4.0,0.3698701278488775
fraction_0.3,inf,inf,14,6,False,17.558034364065044,inf,True,516.8444614964357,True,fraction_0.3,fraction_max,0.3,0.3,0.25,-0.5,0.5,H,4.0,0.2219220767093265
fraction_0.2,inf,inf,14,6,False,7.0478526352933875,inf,True,348.48467958586974,False,fraction_0.2,fraction_max,0.2,0.2,0.25,-0.5,0.5,H,4.0,0.147948051139551
fraction_1,inf,9.485423499665997,14,7,True,17.988915396503824,1167.795399551005,True,2626.9086888099027,True,fraction_1,fraction_max,1.0,1.0,0.25,-0.5,0.5,H,4.0,0.739740255697755
length_over_R80_0.35,inf,inf,14,6,False,7.0479249397794455,inf,True,348.48759169522657,False,length_over_R80_0.35,length_over_R80,0.35,0.2,0.35,-0.5,0.5,H,4.0,0.147948051139551
length_over_R80_0.5,inf,inf,14,6,False,7.04803765171544,inf,True,348.49193645511656,False,length_over_R80_0.5,length_over_R80,0.5,0.2,0.5,-0.5,0.5,H,4.0,0.147948051139551
width_over_R80_0.25,inf,inf,14,6,False,11.598871861277814,inf,True,438.444784607856,False,width_over_R80_0.25,width_over_R80,0.25,0.2,0.25,-0.5,0.25,H,4.0,0.147948051139551
