domain,system,radius_kpc,gbar_m_s2,target_chi,conservative_delta_q_over_target_chi,passes_5_percent
SPARC,CamB,0.16,2.124908088041714e-12,4.460686565419308e-09,0.28031788285015946,False
SPARC,CamB,0.41,4.965352083982455e-12,4.1564010189022695e-09,7.0474074945456335,False
SPARC,CamB,0.57,5.720879452723729e-12,3.862890475754935e-09,18.119876364628055,False
SPARC,CamB,0.73,6.2130666738937905e-12,3.535109910877321e-09,36.74942412660873,False
SPARC,CamB,0.9,6.117615463818251e-12,3.1752651635372955e-09,60.76692645398074,False
SPARC,CamB,1.06,5.728303637175385e-12,2.849902369602951e-09,85.11425927176317,False
SPARC,CamB,1.22,5.0153888545088644e-12,2.554813590381708e-09,103.07354089224883,False
SPARC,CamB,1.47,4.226051150235345e-12,2.1582080280719663e-09,137.06861739929343,False
SPARC,CamB,1.79,2.8769094791518544e-12,1.768024861045405e-09,139.43005498453135,False
SPARC,D631-7,0.45,8.675209672120727e-12,1.676183900313528e-08,4.8534054904294415,False
SPARC,D631-7,0.9,1.0909014020748938e-11,1.5248981517394816e-08,30.067919941519012,False
SPARC,D631-7,1.35,1.1867945008743392e-11,1.3489489106025097e-08,86.7653914226996,False
SPARC,D631-7,1.8,1.0420489048276934e-11,1.1767734655228435e-08,145.59871415792563,False
SPARC,D631-7,2.25,8.561608835254895e-12,1.0301390656685628e-08,193.72005057921842,False
SPARC,D631-7,2.69,7.237429989004344e-12,9.10805535984959e-09,243.56082208092366,False
SPARC,D631-7,3.14,5.990463889767301e-12,8.086216629404218e-09,281.6442646293625,False
SPARC,D631-7,3.59,5.0366882766692035e-12,7.234382522369051e-09,317.3824144594244,False
SPARC,D631-7,4.04,4.279295435564272e-12,6.5147340993774394e-09,349.65640505616295,False
SPARC,D631-7,4.49,3.6160315774113514e-12,5.904829680327228e-09,370.22418840655945,False
SPARC,D631-7,4.94,3.094118281920297e-12,5.386478756423811e-09,388.93095529782454,False
SPARC,D631-7,5.39,2.6453320912270787e-12,4.943113188443028e-09,398.9199892082851,False
SPARC,D631-7,5.84,2.27833304451475e-12,4.562766038885174e-09,405.5709847037768,False
SPARC,D631-7,6.29,1.9716970752655836e-12,4.234456375854055e-09,408.1794809044368,False
SPARC,D631-7,6.74,1.7162609356663562e-12,3.9495661003224164e-09,408.1006354068952,False
SPARC,D631-7,7.19,1.4993409040832548e-12,3.701164765109054e-09,404.68729194537866,False
SPARC,DDO064,0.1,2.086737784473227e-13,1.3238947479587044e-08,0.0011364101001488224,True
SPARC,DDO064,0.3,1.5021606149444357e-12,1.3180209755919592e-08,0.19830184356998615,False
SPARC,DDO064,0.49,3.0651720418858303e-12,1.3031240932108283e-08,1.5585569666160994,False
SPARC,DDO064,0.69,4.841597445327253e-12,1.2759779449316006e-08,6.261020682261711,False
SPARC,DDO064,0.89,4.311682061003601e-12,1.2445521795640996e-08,8.977674317615298,False
SPARC,DDO064,1.09,4.73763131961053e-12,1.2134833589474592e-08,15.90479493325283,False
SPARC,DDO064,1.29,5.944993554533057e-12,1.1768069237340833e-08,32.27540517463376,False
SPARC,DDO064,1.48,7.744634789223781e-12,1.1321566215553334e-08,65.6138517325126,False
SPARC,DDO064,1.68,8.626159705960873e-12,1.0759511111336952e-08,104.54663262108026,False
SPARC,DDO064,1.88,8.975776092083998e-12,1.015518748719701e-08,147.22145954806138,False
SPARC,DDO064,2.08,8.851917525465187e-12,9.543112966495117e-09,187.83927953669155,False
SPARC,DDO064,2.27,8.323025763565968e-12,8.982932376853424e-09,216.75524011278117,False
SPARC,DDO064,2.37,8.165042914574582e-12,8.699891649601456e-09,237.07037999489881,False
SPARC,DDO064,2.98,6.95572319553336e-12,7.116520328694478e-09,360.5083234960314,False
SPARC,DDO154,0.49,5.936290849604431e-12,9.142908015322383e-09,5.979326367251085,False
SPARC,DDO154,0.99,5.2868191057195954e-12,8.179606228499052e-09,22.93954409657793,False
SPARC,DDO154,1.48,4.4234042487768284e-12,7.362827453794571e-09,43.60885606032267,False
SPARC,DDO154,1.97,4.014095030530957e-12,6.653104302088513e-09,73.93728407439482,False
SPARC,DDO154,2.47,3.5421468342912323e-12,6.004537076156676e-09,106.7831825853843,False
SPARC,DDO154,2.96,3.3326685205945295e-12,5.426259619821651e-09,154.89099970280458,False
SPARC,DDO154,3.46,3.2294314104035377e-12,4.863021567801588e-09,225.28848703858367,False
SPARC,DDO154,3.95,2.8794081953829544e-12,4.349174424855073e-09,276.4535027488658,False
SPARC,DDO154,4.44,2.424179183602526e-12,3.9030613497176195e-09,300.72387137195705,False
SPARC,DDO154,4.94,2.036055342130117e-12,3.520230574166751e-09,317.7546948878339,False
SPARC,DDO154,5.43,1.7098521627259026e-12,3.205142276990163e-09,324.5378851636311,False
SPARC,DDO154,5.92,1.4463258562851105e-12,2.939659278195566e-09,327.23479700851385,False
SPARC,DDO161,0.6,6.7930217744490035e-12,3.5134844634810874e-08,2.854813182791684,False
SPARC,DDO161,0.73,7.415551170106595e-12,3.481776163574484e-08,4.862702363632842,False
SPARC,DDO161,0.85,7.742658274516285e-12,3.4505507432383946e-08,7.096739968087729,False
SPARC,DDO161,0.98,8.384653305932656e-12,3.4145605256229045e-08,10.740394152636645,False
SPARC,DDO161,1.07,8.769892522142388e-12,3.388057169168771e-08,13.801548305500054,False
SPARC,DDO161,1.54,1.0173210234775976e-11,3.235220305607995e-08,37.392461317784864,False
SPARC,DDO161,2.02,1.0615811092355809e-11,3.0639214640958437e-08,72.41762189088573,False
SPARC,DDO161,2.49,1.037598157597054e-11,2.8945553474086848e-08,112.5883583461925,False
SPARC,DDO161,2.96,9.637140955901422e-12,2.7330853434141345e-08,150.90267013729837,False
SPARC,DDO161,3.43,8.751359765370244e-12,2.5847231235661848e-08,185.50181882766452,False
SPARC,DDO161,3.9,8.053207318582195e-12,2.4491404072833455e-08,223.51369076944246,False
SPARC,DDO161,4.37,7.371161393006305e-12,2.324693416389883e-08,258.99709395871247,False
SPARC,DDO161,4.86,6.762768866392586e-12,2.2058053762534557e-08,296.77397915321234,False
SPARC,DDO161,5.34,6.255882300723216e-12,2.0985333778324784e-08,335.157789417999,False
SPARC,DDO161,5.81,5.798953683387734e-12,2.0012724725735334e-08,371.38184661868064,False
SPARC,DDO161,6.28,5.456740567845898e-12,1.9104592077862048e-08,414.96776179570855,False
SPARC,DDO161,6.75,5.168879487352939e-12,1.8247295116818035e-08,462.81661014646323,False
SPARC,DDO161,7.22,4.963878296849268e-12,1.7429763301237876e-08,521.7735752445501,False
SPARC,DDO161,7.69,4.833933745303136e-12,1.663925559957128e-08,595.9257800321888,False
SPARC,DDO161,8.16,4.729811729893684e-12,1.5867632871721796e-08,681.095020639887,False
SPARC,DDO161,8.64,4.568486242133701e-12,1.510146516926996e-08,761.7145566901246,False
SPARC,DDO161,9.11,4.43860368704203e-12,1.4374754560004912e-08,852.0758106092426,False
SPARC,DDO161,9.58,4.226413258867808e-12,1.367564310518785e-08,920.3610361293191,False
SPARC,DDO161,10.05,4.004715131488247e-12,1.301153867473037e-08,982.0153891572425,False
SPARC,DDO161,10.52,3.685605666542481e-12,1.2391067717237441e-08,997.6489052167078,False
SPARC,DDO161,10.99,3.370704755629134e-12,1.1821750025687649e-08,998.1927576555379,False
SPARC,DDO161,11.46,3.0593987263778023e-12,1.130295600278016e-08,981.6868315476302,False
SPARC,DDO161,11.94,2.776051675049069e-12,1.0822122452351573e-08,962.0481063957711,False
SPARC,DDO161,12.41,2.5220867343505574e-12,1.0394657708273268e-08,937.0131195020444,False
SPARC,DDO161,12.9,2.30915799401821e-12,9.988275897528694e-09,923.1097249274108,False
SPARC,DDO161,13.37,2.0984837308604776e-12,9.632658264253682e-09,890.7700624701015,False
SPARC,DDO168,0.41,1.1275327208174567e-11,1.9527061517463806e-08,5.118210411059906,False
SPARC,DDO168,0.82,1.6086287776373918e-11,1.760129013839637e-08,38.629979919090886,False
SPARC,DDO168,1.24,1.3531930114006174e-11,1.5465850215138325e-08,77.67576090906161,False
SPARC,DDO168,1.64,1.058944492479519e-11,1.3809541846566012e-08,105.49370387782785,False
SPARC,DDO168,2.06,9.858199674073904e-12,1.2335289858326067e-08,167.45778553714163,False
SPARC,DDO168,2.47,8.621881402459346e-12,1.103462060908289e-08,220.26342694006806,False
SPARC,DDO168,2.89,7.524804119664498e-12,9.87046289304978e-09,275.0055642333794,False
SPARC,DDO168,3.3,6.529243699969914e-12,8.881307718313897e-09,322.2463076281313,False
SPARC,DDO168,3.71,5.8031822357444335e-12,8.013324124696368e-09,378.3788624155499,False
SPARC,DDO168,4.12,5.1215014424248374e-12,7.244420565287896e-09,428.06602781895464,False
SPARC,DDO170,1.87,4.172814415310666e-12,2.0832723892273092e-08,22.548610849477758,False
SPARC,DDO170,3.36,4.0715776554933934e-12,1.872397897386976e-08,78.09230042594231,False
SPARC,DDO170,4.86,4.1526645646575096e-12,1.6606269909944658e-08,189.79938481814918,False
SPARC,DDO170,6.35,4.028755890391864e-12,1.4513631827992811e-08,354.3815779812691,False
SPARC,DDO170,7.85,3.718827880944682e-12,1.251866038419487e-08,557.0236058340686,False
SPARC,DDO170,9.34,3.169003488221152e-12,1.075689562655023e-08,722.096241698807,False
SPARC,DDO170,10.83,2.5298850266934445e-12,9.299237852251629e-09,801.2155078385446,False
SPARC,DDO170,12.33,1.9257011486157932e-12,8.151942457007469e-09,786.8346682874833,False
SPARC,ESO079-G014,0.41,3.3509290301057276e-11,2.568091730524717e-07,1.9727541029722395,False
SPARC,ESO079-G014,0.98,3.8106541235967104e-11,2.49801674151958e-07,14.034963391379518,False
SPARC,ESO079-G014,1.78,3.592433974313821e-11,2.3963492640219397e-07,44.28951455752423,False
SPARC,ESO079-G014,2.69,3.519941342662835e-11,2.2852438551006282e-07,103.07131064692847,False
SPARC,ESO079-G014,3.36,3.340620803050979e-11,2.2063371972148223e-07,154.27324812698373,False
SPARC,ESO079-G014,4.39,2.8491562486555165e-11,2.0968933440010005e-07,218.9400517305282,False
SPARC,ESO079-G014,5.65,2.491348476491638e-11,1.9813800436130165e-07,314.6241157568518,False
SPARC,ESO079-G014,6.34,2.4181664806941443e-11,1.92322775357633e-07,390.67586223308064,False
SPARC,ESO079-G014,6.89,2.4430665707518858e-11,1.8773303333996596e-07,480.29875765944337,False
SPARC,ESO079-G014,8.34,2.6319600222282473e-11,1.7510064499707518e-07,845.0420675585269,False
SPARC,ESO079-G014,10.04,2.8636068406110648e-11,1.5906300127904834e-07,1533.4370072247607,False
