candidate_id,route_geometry,strength,route_fraction,gate_power,scalar_completion,outer_RMSE_km_s,outer_equal_galaxy_RMSE_km_s,outer_mean_residual_km_s
diffuse__s0.75__f0.25__n2__RAR,diffuse,0.75,0.25,2.0,RAR,10.100794488580359,10.493763140891172,0.9027540075698912
diffuse__s0.75__f0.25__n1__RAR,diffuse,0.75,0.25,1.0,RAR,10.10102373832779,10.510824242217428,1.023289738674309
diffuse__s0.75__f0.25__n4__RAR,diffuse,0.75,0.25,4.0,RAR,10.103703924591274,10.483192161039758,0.8482331471342033
diffuse__s0.75__f0.25__n0__RAR,diffuse,0.75,0.25,0.0,RAR,10.143477403948566,10.492357816833223,0.5650314292271654
diffuse__s0.6__f0.5__n1__RAR,diffuse,0.6,0.5,1.0,RAR,10.15156327251158,10.455472964622706,0.221347088721351
diffuse__s0.6__f0.25__n4__RAR,diffuse,0.6,0.25,4.0,RAR,10.15498264038649,10.55003450760471,1.238315646475238
diffuse__s0.6__f0.25__n2__RAR,diffuse,0.6,0.25,2.0,RAR,10.154984847350098,10.56015016602863,1.2790808413843822
diffuse__s0.6__f0.25__n1__RAR,diffuse,0.6,0.25,1.0,RAR,10.157914704778586,10.576791092376235,1.3719206046174264
diffuse__s0.5__f0.5__n1__RAR,diffuse,0.5,0.5,1.0,RAR,10.15833575522516,10.48654267375297,0.6859571809242986
diffuse__s0.6__f0.25__n0__RAR,diffuse,0.6,0.25,0.0,RAR,10.171851269518763,10.549316723397144,1.0384656630441107
diffuse__s0.4__f0.5__n1__RAR,diffuse,0.4,0.5,1.0,RAR,10.183857947152482,10.539664833822819,1.1199285356340456
diffuse__s0.75__f0.5__n1__RAR,diffuse,0.75,0.5,1.0,RAR,10.18660629500145,10.45535997242416,-0.4988304348665144
diffuse__s0.5__f0.25__n4__RAR,diffuse,0.5,0.25,4.0,RAR,10.196758280766634,10.602878928089698,1.4906736250190151
diffuse__s0.5__f0.25__n2__RAR,diffuse,0.5,0.25,2.0,RAR,10.197675050723777,10.611833326304007,1.5230667915401908
diffuse__s0.5__f0.25__n1__RAR,diffuse,0.5,0.25,1.0,RAR,10.201151268134538,10.626860090896047,1.5980431278888172
diffuse__s0.5__f0.5__n2__RAR,diffuse,0.5,0.5,2.0,RAR,10.202059839776055,10.49126997389515,0.5300768233858971
diffuse__s0.5__f0.25__n0__RAR,diffuse,0.5,0.25,0.0,RAR,10.20376803557973,10.59865540784737,1.342013840847396
diffuse__s0.4__f0.5__n2__RAR,diffuse,0.4,0.5,2.0,RAR,10.209748849265118,10.536166821820446,0.9999910641423099
diffuse__s0.25__f0.75__n1__RAR,diffuse,0.25,0.75,1.0,RAR,10.217423980345277,10.570959244080449,1.255451954140817
diffuse__s0.6__f0.5__n2__RAR,diffuse,0.6,0.5,2.0,RAR,10.217924103902092,10.473621431916705,0.027156167473120125
diffuse__s0.4__f0.5__n4__RAR,diffuse,0.4,0.5,4.0,RAR,10.225064962635246,10.533121172148528,0.9486973879853547
diffuse__s0.5__f0.5__n4__RAR,diffuse,0.5,0.5,4.0,RAR,10.228631462171222,10.49262455623095,0.46260823024527403
diffuse__s0.25__f0.5__n1__RAR,diffuse,0.25,0.5,1.0,RAR,10.235627223094628,10.642213109050488,1.6728338267144494
diffuse__s0.4__f0.25__n4__RAR,diffuse,0.4,0.25,4.0,RAR,10.240666600234904,10.659930802836675,1.7272739130839623
diffuse__s0.25__f0.5__n2__RAR,diffuse,0.25,0.5,2.0,RAR,10.241602841385575,10.633713188056587,1.6002094781284613
diffuse__s0.4__f0.25__n2__RAR,diffuse,0.4,0.25,2.0,RAR,10.241943668364764,10.667272492156295,1.752070095205795
diffuse__s0.4__f0.25__n0__RAR,diffuse,0.4,0.25,0.0,RAR,10.242393634817507,10.654725613437227,1.6240968336007118
diffuse__s0.4__f0.25__n1__RAR,diffuse,0.4,0.25,1.0,RAR,10.245411827016651,10.679912277537861,1.810122519758763
diffuse__s0.25__f0.5__n4__RAR,diffuse,0.25,0.5,4.0,RAR,10.24572782805507,10.628864327868241,1.5695736841592252
diffuse__s0.4__f0.75__n1__RAR,diffuse,0.4,0.75,1.0,RAR,10.247094860770016,10.50335432642013,0.4098501829721653
diffuse__s0.25__f0.75__n2__RAR,diffuse,0.25,0.75,2.0,RAR,10.247801308169985,10.572607350225907,1.1439539699833574
diffuse__s0.25__f0.5__n0__RAR,diffuse,0.25,0.5,0.0,RAR,10.252515946290018,10.627407541182487,1.4691318954653516
diffuse__s0.4__f0.5__n0__RAR,diffuse,0.4,0.5,0.0,RAR,10.253663363556413,10.542277254996941,0.7406486220525782
diffuse__s0.25__f1__n1__RAR,diffuse,0.25,1.0,1.0,RAR,10.253707577303102,10.547902272175719,0.8287321985803278
diffuse__s0.6__f0.5__n4__RAR,diffuse,0.6,0.5,4.0,RAR,10.25945040581923,10.482671953221315,-0.05828033773466659
diffuse__s0.25__f0.75__n4__RAR,diffuse,0.25,0.75,4.0,RAR,10.265026477883264,10.572337159603386,1.0969321058233972
diffuse__s0.25__f0.75__n0__RAR,diffuse,0.25,0.75,0.0,RAR,10.285342666208722,10.578984187900769,0.9455560655037692
diffuse__s0.5__f0.5__n0__RAR,diffuse,0.5,0.5,0.0,RAR,10.291925132019973,10.521471183270972,0.16199218422040523
diffuse__s0.75__f0.5__n2__RAR,diffuse,0.75,0.5,2.0,RAR,10.297021595498913,10.504123981699134,-0.7531872630231041
diffuse__s0.25__f0.25__n4__RAR,diffuse,0.25,0.25,4.0,RAR,10.299064408423408,10.74389390164503,2.0310217253220078
diffuse__s0.25__f0.25__n0__RAR,diffuse,0.25,0.25,0.0,RAR,10.299155320564012,10.740353782226341,1.9810309975052869
diffuse__s0.25__f0.25__n2__RAR,diffuse,0.25,0.25,2.0,RAR,10.300361619313524,10.74843632604523,2.0460133075672573
diffuse__s0.25__f0.25__n1__RAR,diffuse,0.25,0.25,1.0,RAR,10.303896160036187,10.757037139124384,2.081534622602992
diffuse__s0.5__f0.75__n1__RAR,diffuse,0.5,0.75,1.0,RAR,10.312952789639445,10.513064962308789,-0.25717478050679893
diffuse__s0.25__f1__n2__RAR,diffuse,0.25,1.0,2.0,RAR,10.32521865517686,10.571130837661865,0.6763484084583349
diffuse__s0.4__f0.75__n2__RAR,diffuse,0.4,0.75,2.0,RAR,10.341217440355333,10.535211954497022,0.22349741164227396
diffuse__s0.25__f1__n4__RAR,diffuse,0.25,1.0,4.0,RAR,10.364157179355354,10.580971723432194,0.6120826230118629
diffuse__s0.75__f0.5__n4__RAR,diffuse,0.75,0.5,4.0,RAR,10.368590508599741,10.531680598624316,-0.8684483933134426
diffuse__s0.6__f0.5__n0__RAR,diffuse,0.6,0.5,0.0,RAR,10.377169292076402,10.54411782747225,-0.46363330676126974
diffuse__s0.4__f0.75__n4__RAR,diffuse,0.4,0.75,4.0,RAR,10.394222451113349,10.550478734512307,0.14363893391023042
diffuse__s0.25__f1__n0__RAR,diffuse,0.25,1.0,0.0,RAR,10.40477222705484,10.601959250317812,0.40926242058653267
contract__s0.05__f0.25__n1__RAR,contract,0.05,0.25,1.0,RAR,10.425837227063196,10.91099286619587,2.5016401187178845
contract__s0.05__f0.25__n2__RAR,contract,0.05,0.25,2.0,RAR,10.427461013424745,10.911883320659953,2.5012010477936135
contract__s0.05__f0.25__n4__RAR,contract,0.05,0.25,4.0,RAR,10.428165893197635,10.912312659798959,2.5007847659397595
contract__s0.05__f0.25__n0__RAR,contract,0.05,0.25,0.0,RAR,10.43021201056869,10.912908354057162,2.509653795423468
diffuse__s0.6__f0.75__n1__RAR,diffuse,0.6,0.75,1.0,RAR,10.433830750481185,10.583300261269217,-0.9746364470733954
contract__s0.05__f0.5__n1__RAR,contract,0.05,0.5,1.0,RAR,10.436576361585535,10.91339210413847,2.520516098339202
contract__s0.05__f0.5__n2__RAR,contract,0.05,0.5,2.0,RAR,10.440218694445482,10.915502149568686,2.5195650378901813
contract__s0.05__f0.5__n4__RAR,contract,0.05,0.5,4.0,RAR,10.441785141706912,10.916468242197192,2.5187122221028404
contract__s0.05__f0.5__n0__RAR,contract,0.05,0.5,0.0,RAR,10.446232166187121,10.917820235991602,2.5364244171744432
diffuse__s0.4__f1__n1__RAR,diffuse,0.4,1.0,1.0,RAR,10.447695891965294,10.583622206871818,-0.32219385103444365
contract__s0.05__f0.75__n1__RAR,contract,0.05,0.75,1.0,RAR,10.449977727025205,10.918207896286004,2.538744767244592
contract__s0.05__f0.75__n2__RAR,contract,0.05,0.75,2.0,RAR,10.456023569909387,10.921863289469536,2.5372104426321735
contract__s0.05__f0.75__n4__RAR,contract,0.05,0.75,4.0,RAR,10.45860595451217,10.923472356958076,2.5359011612754303
diffuse__s0.5__f0.75__n2__RAR,diffuse,0.5,0.75,2.0,RAR,10.463874975057122,10.57976229208714,-0.5011469871277564
contract__s0.05__f0.75__n0__RAR,contract,0.05,0.75,0.0,RAR,10.465802056978097,10.925739251091537,2.5624309400123755
contract__s0.05__f1__n1__RAR,contract,0.05,1.0,1.0,RAR,10.465967006016797,10.925417163702765,2.556339562143543
contract__s0.05__f1__n2__RAR,contract,0.05,1.0,2.0,RAR,10.474793170431292,10.930942235907652,2.5541518648932313
diffuse__s0.4__f0.75__n0__RAR,diffuse,0.4,0.75,0.0,RAR,10.474936202976279,10.594966013205656,-0.17110319367582685
contract__s0.1__f0.25__n1__RAR,contract,0.1,0.25,1.0,RAR,10.476388121852123,10.970752837975008,2.671968670322724
contract__s0.05__f1__n4__RAR,contract,0.05,1.0,4.0,RAR,10.478543600760627,10.93329943131952,2.5523664487533915
contract__s0.1__f0.25__n2__RAR,contract,0.1,0.25,2.0,RAR,10.482307903469117,10.976253664908393,2.6830750911786674
contract__s0.1__f0.25__n4__RAR,contract,0.1,0.25,4.0,RAR,10.484305650303508,10.978337593920662,2.686643050905765
contract__s0.05__f1__n0__RAR,contract,0.05,1.0,0.0,RAR,10.488829866083519,10.936637626800572,2.587688499441786
contract__s0.1__f0.25__n0__RAR,contract,0.1,0.25,0.0,RAR,10.489428851278014,10.980847769838986,2.7152174909717552
contract__s0.1__f0.5__n1__RAR,contract,0.1,0.5,1.0,RAR,10.548320113571826,11.04174883431467,2.858245552607378
diffuse__s0.5__f0.75__n4__RAR,diffuse,0.5,0.75,4.0,RAR,10.551119005545168,10.61466211599776,-0.6070334570373035
contract__s0.2__f0.25__n1__RAR,contract,0.2,0.25,1.0,RAR,10.551968591107583,11.05764561665358,2.9751988817043236
contract__s0.1__f0.5__n2__RAR,contract,0.1,0.5,2.0,RAR,10.561819523704095,11.054179660761084,2.880068459413762
contract__s0.2__f0.25__n2__RAR,contract,0.2,0.25,2.0,RAR,10.566331851235576,11.071615207138176,3.006946531718884
contract__s0.1__f0.5__n4__RAR,contract,0.1,0.5,4.0,RAR,10.566516794867475,11.058873406770807,2.8870908434612925
contract__s0.2__f0.25__n4__RAR,contract,0.2,0.25,4.0,RAR,10.570909612610363,11.076498420175957,3.0178557676516573
contract__s0.1__f0.5__n0__RAR,contract,0.1,0.5,0.0,RAR,10.57912978660634,11.065186936441137,2.944062911111974
contract__s0.2__f0.25__n0__RAR,contract,0.2,0.25,0.0,RAR,10.582976729042377,11.083339235831252,3.083110784906897
diffuse__s0.75__f0.5__n0__RAR,diffuse,0.75,0.5,0.0,RAR,10.600791043470723,10.664594157077083,-1.4454480229446312
