candidate_id,q_R80,route_fraction,gate_power,fold,training_galaxies,test_galaxies,training_equal_galaxy_RMSE_km_s,test_equal_galaxy_RMSE_km_s
q0.5__f0.05__n0__RAR,0.5,0.05,0.0,0,109,22,11.291989111600714,8.177858588292082
q0.5__f0.05__n0__RAR,0.5,0.05,0.0,1,97,34,11.08533925653936,10.073209565829734
q0.5__f0.05__n0__RAR,0.5,0.05,0.0,2,108,23,11.316591859414535,8.179343002063918
q0.5__f0.05__n0__RAR,0.5,0.05,0.0,3,106,25,9.874054341198171,14.19169972682722
q0.5__f0.05__n0__RAR,0.5,0.05,0.0,4,104,27,10.513321869308898,11.979414004128106
q0.5__f0.05__n1__RAR,0.5,0.05,1.0,0,109,22,11.307289631118163,8.168619560126137
q0.5__f0.05__n1__RAR,0.5,0.05,1.0,1,97,34,11.092402815653733,10.101160167811683
q0.5__f0.05__n1__RAR,0.5,0.05,1.0,2,108,23,11.328778815654292,8.19145867400102
q0.5__f0.05__n1__RAR,0.5,0.05,1.0,3,106,25,9.88931589307472,14.195075730005348
q0.5__f0.05__n1__RAR,0.5,0.05,1.0,4,104,27,10.523746369114086,11.99727122694042
q0.5__f0.05__n2__RAR,0.5,0.05,2.0,0,109,22,11.302488682100416,8.158865370126541
q0.5__f0.05__n2__RAR,0.5,0.05,2.0,1,97,34,11.086451915570228,10.09747170742763
q0.5__f0.05__n2__RAR,0.5,0.05,2.0,2,108,23,11.323118858078884,8.187506156872455
q0.5__f0.05__n2__RAR,0.5,0.05,2.0,3,106,25,9.883358510411982,14.191060493408207
q0.5__f0.05__n2__RAR,0.5,0.05,2.0,4,104,27,10.519005463364868,11.989612244388555
q0.5__f0.05__n4__RAR,0.5,0.05,4.0,0,109,22,11.299302403296611,8.156090559209783
q0.5__f0.05__n4__RAR,0.5,0.05,4.0,1,97,34,11.084559721521673,10.090513096333316
q0.5__f0.05__n4__RAR,0.5,0.05,4.0,2,108,23,11.319937185464353,8.184677817878093
q0.5__f0.05__n4__RAR,0.5,0.05,4.0,3,106,25,9.878958190319617,14.191584973892999
q0.5__f0.05__n4__RAR,0.5,0.05,4.0,4,104,27,10.516050150386128,11.98593491206671
q0.5__f0.05__n6__RAR,0.5,0.05,6.0,0,109,22,11.29748429760719,8.155918189841602
q0.5__f0.05__n6__RAR,0.5,0.05,6.0,1,97,34,11.083857845029824,10.086095238277247
q0.5__f0.05__n6__RAR,0.5,0.05,6.0,2,108,23,11.318196477767442,8.18392331495713
q0.5__f0.05__n6__RAR,0.5,0.05,6.0,3,106,25,9.876659443475573,14.191970906358144
q0.5__f0.05__n6__RAR,0.5,0.05,6.0,4,104,27,10.514631559653461,11.983714182048304
q0.5__f0.05__n8__RAR,0.5,0.05,8.0,0,109,22,11.296306741069197,8.156093762858273
q0.5__f0.05__n8__RAR,0.5,0.05,8.0,1,97,34,11.083400749875668,10.083391486160375
q0.5__f0.05__n8__RAR,0.5,0.05,8.0,2,108,23,11.317067575941005,8.183718069239706
q0.5__f0.05__n8__RAR,0.5,0.05,8.0,3,106,25,9.875276026002433,14.192054727238018
q0.5__f0.05__n8__RAR,0.5,0.05,8.0,4,104,27,10.513804423427638,11.982125381568947
q0.5__f0.1__n0__RAR,0.5,0.1,0.0,0,109,22,11.221023708363434,8.10149095715202
q0.5__f0.1__n0__RAR,0.5,0.1,0.0,1,97,34,11.011143264196757,10.011022336375193
q0.5__f0.1__n0__RAR,0.5,0.1,0.0,2,108,23,11.240226123094804,8.138158358476018
q0.5__f0.1__n0__RAR,0.5,0.1,0.0,3,106,25,9.797780001469183,14.131755498182356
q0.5__f0.1__n0__RAR,0.5,0.1,0.0,4,104,27,10.454753646326575,11.864819166752431
q0.5__f0.1__n1__RAR,0.5,0.1,1.0,0,109,22,11.248832261391415,8.077656616924289
q0.5__f0.1__n1__RAR,0.5,0.1,1.0,1,97,34,11.02250792551655,10.062796239050002
q0.5__f0.1__n1__RAR,0.5,0.1,1.0,2,108,23,11.261575836867037,8.158811761765415
q0.5__f0.1__n1__RAR,0.5,0.1,1.0,3,106,25,9.82484082225252,14.13648028273156
q0.5__f0.1__n1__RAR,0.5,0.1,1.0,4,104,27,10.472182934623145,11.898628255315101
q0.5__f0.1__n2__RAR,0.5,0.1,2.0,0,109,22,11.240414689698564,8.058894026515768
q0.5__f0.1__n2__RAR,0.5,0.1,2.0,1,97,34,11.011495667511777,10.057301960477927
q0.5__f0.1__n2__RAR,0.5,0.1,2.0,2,108,23,11.251410185858479,8.151939164535433
q0.5__f0.1__n2__RAR,0.5,0.1,2.0,3,106,25,9.814102802627298,14.129487578398843
q0.5__f0.1__n2__RAR,0.5,0.1,2.0,4,104,27,10.463944063137602,11.88405796233379
