system,cohort,realization,local_jsd,simple_shape_jsd,cluster_locked_jsd,simple_improves_local,simple_beats_cluster_locked
A2163,development,0,0.2540990367512247,0.17231181810871832,0.0808536198537406,True,False
A2163,development,1,0.2449535919223621,0.1620848235952325,0.0703910113915198,True,False
A2163,development,2,0.2567477408661177,0.17553820121327432,0.08514098851756118,True,False
A2163,development,3,0.25406946147094994,0.17193225900475356,0.07997219476121396,True,False
A2163,development,4,0.25423523734872955,0.1717880164834468,0.0804324313440402,True,False
A2163,development,5,0.2561242980884426,0.17361193079730464,0.08123092577042113,True,False
A2163,development,6,0.2562191090174364,0.17452135113197634,0.08390706785068633,True,False
A2163,development,7,0.2526833093982608,0.17106693978843085,0.0793059967229611,True,False
A2163,development,8,0.2593978593994677,0.17745248169924477,0.08568523523785945,True,False
A2163,development,9,0.2559054390464428,0.1765408315563214,0.08631421465362404,True,False
A2163,development,10,0.24963454279088315,0.16878223423814925,0.07774060461692714,True,False
A2163,development,11,0.25155424261871845,0.16919423305538017,0.07814022036014104,True,False
A2163,development,12,0.26179840040323726,0.1818143385591231,0.08992894800670898,True,False
A2163,development,13,0.2578627163892101,0.17710742499311358,0.08611802067652777,True,False
A2163,development,14,0.25742236079102043,0.1756083509682451,0.08429231287441716,True,False
A2163,development,15,0.2514790657999692,0.16682917694961075,0.07377379981974189,True,False
A2163,development,16,0.25339807115071994,0.17258449781474522,0.08077872792349802,True,False
A2163,development,17,0.254097936069975,0.1737323006001505,0.08278391981516828,True,False
A2163,development,18,0.2577133407545529,0.18172186252843459,0.09328693612894215,True,False
A2163,development,19,0.2527502786242479,0.17018532730996017,0.07873715500206402,True,False
A2163,development,20,0.2520313621793271,0.17139959255573545,0.08076565174412545,True,False
A2163,development,21,0.25479162362250524,0.17438935099461272,0.08419306502274743,True,False
A2163,development,22,0.2546352043235835,0.1731954756673043,0.08190186861982554,True,False
A2163,development,23,0.25456848921043695,0.1726079760895518,0.0820677471917903,True,False
A2163,development,24,0.256973062040785,0.17416673266784322,0.08185178878386028,True,False
A2163,development,25,0.25191510099871,0.16996302582098038,0.07898247984718132,True,False
A2163,development,26,0.25190440212922655,0.1694841338505038,0.07750060913191492,True,False
A2163,development,27,0.2526515042969464,0.1734207996339716,0.0828341282754799,True,False
A2163,development,28,0.2545745034484909,0.1735361451580979,0.08229437693994544,True,False
A2163,development,29,0.2581390301584829,0.17866785427996945,0.08832695838921906,True,False
A2163,development,30,0.260702871864235,0.180044529816536,0.08879415497025915,True,False
A2163,development,31,0.2472146574791318,0.16395738711158536,0.07245843635388238,True,False
A2163,development,32,0.24288493658504923,0.15651760562414435,0.0633841661357901,True,False
A2163,development,33,0.25561583825487455,0.17443045535156015,0.08388916435513709,True,False
A2163,development,34,0.2512581889357532,0.16975370927729372,0.07839551298387931,True,False
A2163,development,35,0.25046795285619206,0.1681804990135508,0.07684472059584724,True,False
A2163,development,36,0.2515410796746517,0.16963142679708038,0.07825884213649878,True,False
A2163,development,37,0.2561301598255951,0.17486890529061166,0.08359232487466847,True,False
A2163,development,38,0.24905367355232355,0.16604446293281466,0.07428901547325888,True,False
A2163,development,39,0.2525952744427684,0.17240513814788289,0.08186160194000805,True,False
A2163,development,40,0.2559284910754747,0.1738701060886576,0.0825763015680489,True,False
A2163,development,41,0.25620405915398625,0.1743585590506977,0.08311909736882306,True,False
A2163,development,42,0.26349223178739756,0.1816663111587294,0.08857337868343977,True,False
A2163,development,43,0.2616573132495297,0.18602373993052718,0.09704244487893286,True,False
