candidate_id,spatial_mode,carrier,amplitude_A,potential_threshold_chi,potential_power,fold,training_galaxies,test_galaxies,training_clusters,test_clusters,training_galaxy_equal_RMSE_km_s,test_galaxy_equal_RMSE_km_s,training_galaxy_RMSE_ratio_to_fixed_RAR,test_galaxy_RMSE_ratio_to_fixed_RAR,training_cluster_equal_RMSE_dex,test_cluster_equal_RMSE_dex
local__potential__A1__ct5e-07__p1,local,potential,1.0,5e-07,1.0,0,104,27,16,4,20.258137504980205,21.825667783345676,1.8770713163634263,2.0948763661913206,0.23995394607618165,0.2802386471909358
local__potential__A1__ct5e-07__p1,local,potential,1.0,5e-07,1.0,1,105,26,16,4,21.826168314729177,14.57398302831554,1.958245494490929,1.6615535289308865,0.24994100762091623,0.24282350620830453
local__potential__A1__ct5e-07__p1,local,potential,1.0,5e-07,1.0,2,105,26,16,4,20.064047767541204,22.594302051406675,2.0148903563312617,1.6926810419210958,0.2560951691603915,0.21565329040005857
local__potential__A1__ct5e-07__p1,local,potential,1.0,5e-07,1.0,3,105,26,16,4,21.87485741877865,14.276137050504655,2.058392165576863,1.2896628229187155,0.2560185088397615,0.21601707537921605
local__potential__A1__ct5e-07__p1,local,potential,1.0,5e-07,1.0,4,105,26,16,4,18.760702177005765,26.736809553462464,1.7025304046806322,2.8460076493832456,0.2401388520535891,0.2796043834904381
local__potential__A1__ct5e-07__p2,local,potential,1.0,5e-07,2.0,0,104,27,16,4,16.708158397301275,15.809842147157811,1.5481386119094558,1.517463978470738,0.22442167275789512,0.262226270125863
local__potential__A1__ct5e-07__p2,local,potential,1.0,5e-07,2.0,1,105,26,16,4,17.500149279407267,11.807408466841519,1.570114734989534,1.3461413511661318,0.23354917240452813,0.22812738072087962
local__potential__A1__ct5e-07__p2,local,potential,1.0,5e-07,2.0,2,105,26,16,4,15.586451580795439,19.877655810932108,1.565237052035661,1.4891600135487577,0.23984477120490075,0.20030204307646107
local__potential__A1__ct5e-07__p2,local,potential,1.0,5e-07,2.0,3,105,26,16,4,17.2946719979591,12.972588729778543,1.6274034004107438,1.1719042302986509,0.24005095505595714,0.1993116189910176
local__potential__A1__ct5e-07__p2,local,potential,1.0,5e-07,2.0,4,105,26,16,4,15.437156143476413,20.342715515007704,1.4009191899162532,2.165386406675496,0.22397028179209194,0.2637654584167778
local__potential__A1__ct5e-07__p4,local,potential,1.0,5e-07,4.0,0,104,27,16,4,14.220024268406577,11.68123948309831,1.3175939627054025,1.1211914688647582,0.22168903132494147,0.25935142501591724
local__potential__A1__ct5e-07__p4,local,potential,1.0,5e-07,4.0,1,105,26,16,4,14.3691921908841,10.802768778801688,1.289205024973811,1.2316041916454006,0.23080538714016494,0.22530592794079962
local__potential__A1__ct5e-07__p4,local,potential,1.0,5e-07,4.0,2,105,26,16,4,12.439640883262452,18.04454118549186,1.2492251185953593,1.3518298863737153,0.23693327850844947,0.19823661174944585
local__potential__A1__ct5e-07__p4,local,potential,1.0,5e-07,4.0,3,105,26,16,4,14.062183844218989,12.32680860382616,1.3232309816562924,1.1135664168359316,0.23739507746278649,0.1960142262252944
local__potential__A1__ct5e-07__p4,local,potential,1.0,5e-07,4.0,4,105,26,16,4,13.499498881162067,14.64857913033755,1.2250771360413315,1.5592723647215236,0.2212155362670382,0.2609636261115662
local__potential__A1__ct1e-06__p1,local,potential,1.0,1e-06,1.0,0,104,27,16,4,15.60311092550202,16.78574088294496,1.4457475153920996,1.6111329199065862,0.2557808920320091,0.2980384143000622
local__potential__A1__ct1e-06__p1,local,potential,1.0,1e-06,1.0,1,105,26,16,4,16.766697221966528,11.451000467382098,1.5043093601661768,1.3055079177327016,0.2664560739174302,0.2579282807357357
local__potential__A1__ct1e-06__p1,local,potential,1.0,1e-06,1.0,2,105,26,16,4,15.22422870140666,18.17699867673218,1.5288615711267841,1.3617531087761068,0.2725063662704511,0.23126494909855155
local__potential__A1__ct1e-06__p1,local,potential,1.0,1e-06,1.0,3,105,26,16,4,16.621313256567607,12.277150833215087,1.5640413253412584,1.109080484794262,0.2721118247998802,0.23311579639649882
local__potential__A1__ct1e-06__p1,local,potential,1.0,1e-06,1.0,4,105,26,16,4,14.96861315374463,19.01502450786377,1.358398996461232,2.0240599423195555,0.2565055289915393,0.2955368161504402
local__potential__A1__ct1e-06__p2,local,potential,1.0,1e-06,2.0,0,104,27,16,4,11.962786625313447,11.811489022023284,1.1084436381494411,1.1336931106706256,0.23240810319163646,0.2705804741775262
local__potential__A1__ct1e-06__p2,local,potential,1.0,1e-06,2.0,1,105,26,16,4,12.528142463623558,9.13542698591397,1.1240259023007417,1.041513559968115,0.2415587096801574,0.23635874816325705
local__potential__A1__ct1e-06__p2,local,potential,1.0,1e-06,2.0,2,105,26,16,4,11.120973693577337,14.759713802244061,1.1168007028199283,1.10574284084532,0.2483059342413051,0.2065055708809885
local__potential__A1__ct1e-06__p2,local,potential,1.0,1e-06,2.0,3,105,26,16,4,12.061105104618,11.394477225377253,1.1349323920270356,1.02934243431374,0.24780983103635548,0.20887567902846915
local__potential__A1__ct1e-06__p2,local,potential,1.0,1e-06,2.0,4,105,26,16,4,11.942890246907782,11.886705447362326,1.083815177773345,1.2652838986459278,0.232030628869296,0.2718732200654349
local__potential__A1__ct1e-06__p4,local,potential,1.0,1e-06,4.0,0,104,27,16,4,10.87750062720006,10.494833092416163,1.0078835932485375,1.0073175323048482,0.22320395391036338,0.26044658647340324
local__potential__A1__ct1e-06__p4,local,potential,1.0,1e-06,4.0,1,105,26,16,4,11.24652725604417,8.76672850254508,1.0090392876222625,0.9994789106232645,0.2321559483688343,0.2269953900818142
local__potential__A1__ct1e-06__p4,local,potential,1.0,1e-06,4.0,2,105,26,16,4,10.021374226453355,13.493829512431045,1.0063757084317386,1.010907499892673,0.2385309577440426,0.19880737753253908
local__potential__A1__ct1e-06__p4,local,potential,1.0,1e-06,4.0,3,105,26,16,4,10.719664591607945,11.11725307250251,1.0087047970440888,1.004298847080522,0.23869740477194867,0.19800666754196034
local__potential__A1__ct1e-06__p4,local,potential,1.0,1e-06,4.0,4,105,26,16,4,11.092537323758357,9.526163978905313,1.0066458003848269,1.0140153595750419,0.22253670780147758,0.2627205726509548
local__potential__A1__ct2e-06__p1,local,potential,1.0,2e-06,1.0,0,104,27,16,4,12.866267523798527,13.701515187562034,1.192158050642282,1.3151020455528641,0.2815820981267565,0.3267394160259516
local__potential__A1__ct2e-06__p1,local,potential,1.0,2e-06,1.0,1,105,26,16,4,13.732897897984268,9.77199189616685,1.2321166522336209,1.1140871776928842,0.29333253962330924,0.2823767743979735
local__potential__A1__ct2e-06__p1,local,potential,1.0,2e-06,1.0,2,105,26,16,4,12.358485649379888,15.502010744011173,1.2410752726614636,1.1613529658204782,0.2989932713709754,0.2575357307760889
local__potential__A1__ct2e-06__p1,local,potential,1.0,2e-06,1.0,3,105,26,16,4,13.417583974415198,11.40459520664827,1.2625750744412376,1.0302564619839745,0.29834570907576696,0.26052237798537864
local__potential__A1__ct2e-06__p1,local,potential,1.0,2e-06,1.0,4,105,26,16,4,12.791866395018669,14.01051053395691,1.1608596130706021,1.491352963100347,0.28314830511673317,0.3212797957620906
local__potential__A1__ct2e-06__p2,local,potential,1.0,2e-06,2.0,0,104,27,16,4,10.965614445648532,10.759548689942925,1.0160480121712654,1.032725526897535,0.2579914366306348,0.2980615764379442
local__potential__A1__ct2e-06__p2,local,potential,1.0,2e-06,2.0,1,105,26,16,4,11.396538858698689,8.756682082571146,1.0224983401129983,0.998333536395205,0.26756252473991876,0.2621453990952904
local__potential__A1__ct2e-06__p2,local,potential,1.0,2e-06,2.0,2,105,26,16,4,10.163136841388868,13.567211600716897,1.0206119248239243,1.016405012910576,0.2750629998133907,0.22899871917166292
local__potential__A1__ct2e-06__p2,local,potential,1.0,2e-06,2.0,3,105,26,16,4,10.874898412149559,11.117420787660734,1.023312073055914,1.0043139979580764,0.27302812424316064,0.23854056748627203
local__potential__A1__ct2e-06__p2,local,potential,1.0,2e-06,2.0,4,105,26,16,4,11.177665933237709,9.83021078099052,1.0143712066398454,1.0463797119026723,0.258313244595799,0.29694460680940377
local__potential__A1__ct2e-06__p4,local,potential,1.0,2e-06,4.0,0,104,27,16,4,10.795461108563572,10.423340025791278,1.0002820046423315,1.0004554680094642,0.24179535507898964,0.27557957113869946
local__potential__A1__ct2e-06__p4,local,potential,1.0,2e-06,4.0,1,105,26,16,4,11.15030475820552,8.768896831468979,1.0004061977393242,0.999726117894495,0.24905540147422683,0.24837411895391792
local__potential__A1__ct2e-06__p4,local,potential,1.0,2e-06,4.0,2,105,26,16,4,9.960484631438243,13.354092953642532,1.0002609972220025,1.0004389568331682,0.2581679879442006,0.2078490677955054
local__potential__A1__ct2e-06__p4,local,potential,1.0,2e-06,4.0,3,105,26,16,4,10.630750709545367,11.07224193068579,1.0003381304759436,1.000232677358784,0.2551580706283853,0.22221951073856697
local__potential__A1__ct2e-06__p4,local,potential,1.0,2e-06,4.0,4,105,26,16,4,11.022383999853124,9.399363306039723,1.0002793986472385,1.0005180242179263,0.23990443354150062,0.28211261235296636
local__potential__A1__ct4e-06__p1,local,potential,1.0,4e-06,1.0,0,104,27,16,4,11.608453790230378,12.049601582954354,1.0756119920508473,1.1565476863628485,0.3181417890728829,0.36689838962774957
local__potential__A1__ct4e-06__p1,local,potential,1.0,4e-06,1.0,1,105,26,16,4,12.261668669994272,9.089847552605521,1.100117853107228,1.0363171309539476,0.3313409627016265,0.31673946055591523
local__potential__A1__ct4e-06__p1,local,potential,1.0,4e-06,1.0,2,105,26,16,4,10.984928140037054,14.229769899916278,1.1031386104532266,1.066041415472188,0.33614276259083903,0.2958097239115206
local__potential__A1__ct4e-06__p1,local,potential,1.0,4e-06,1.0,3,105,26,16,4,11.838874331053352,11.125445059594705,1.1140208004907697,1.0050388862914976,0.3355534221560117,0.2984741590941708
local__potential__A1__ct4e-06__p1,local,potential,1.0,4e-06,1.0,4,105,26,16,4,11.77215263509946,11.407786371221363,1.0683207696971637,1.2143052150671227,0.32075244761040816,0.35769077362596907
local__potential__A1__ct4e-06__p2,local,potential,1.0,4e-06,2.0,0,104,27,16,4,10.823899452004902,10.503040227920417,1.00291703457761,1.008105271510478,0.31362606108208635,0.36088027733002637
local__potential__A1__ct4e-06__p2,local,potential,1.0,4e-06,2.0,1,105,26,16,4,11.198894965686396,8.757809928596817,1.004765714879655,0.9984621200871444,0.3258007730833305,0.31479393951992113
local__potential__A1__ct4e-06__p2,local,potential,1.0,4e-06,2.0,2,105,26,16,4,10.000956826277886,13.388818181283778,1.0043253333931852,1.0030404416841274,0.3319931997577508,0.2877531243682605
local__potential__A1__ct4e-06__p2,local,potential,1.0,4e-06,2.0,3,105,26,16,4,10.677811969593794,11.07862807877105,1.0047665263795758,1.0008095825634675,0.32954914021998327,0.29877961116236523
local__potential__A1__ct4e-06__p2,local,potential,1.0,4e-06,2.0,4,105,26,16,4,11.051637208836263,9.48322256639639,1.0029341221889465,1.0094444481418232,0.3167810425018747,0.3496839770006009
local__potential__A1__ct4e-06__p4,local,potential,1.0,4e-06,4.0,0,104,27,16,4,10.792597746010571,10.418891193474652,1.000016692210956,1.000028459142209,0.3156705280389358,0.35859610318345236
local__potential__A1__ct4e-06__p4,local,potential,1.0,4e-06,4.0,1,105,26,16,4,11.1460524895089,8.77113966085177,1.000024683865865,0.9999818188287231,0.32576081215578867,0.3204719447350787
local__potential__A1__ct4e-06__p4,local,potential,1.0,4e-06,4.0,2,105,26,16,4,9.95804208935216,13.348585301720572,1.000015710002235,1.000026344043776,0.3343641542721569,0.2828164487071793
local__potential__A1__ct4e-06__p4,local,potential,1.0,4e-06,4.0,3,105,26,16,4,10.627372219962766,11.06982553787846,1.0000202195357635,1.000014387778195,0.3291192825350968,0.3064387145290425
local__potential__A1__ct4e-06__p4,local,potential,1.0,4e-06,4.0,4,105,26,16,4,11.019490972838666,9.394786132862537,1.0000168569573162,1.0000308056569842,0.31827003550530525,0.3492841712784683
local__potential__A2__ct5e-07__p1,local,potential,2.0,5e-07,1.0,0,104,27,16,4,32.97171271708756,33.792464937639366,3.055081256971691,3.2434762984538543,0.13253793205842368,0.13493256124329106
local__potential__A2__ct5e-07__p1,local,potential,2.0,5e-07,1.0,1,105,26,16,4,35.149062348916466,23.346146547564253,3.153576568631922,2.661652076009482,0.12743103128032682,0.15335363995776988
local__potential__A2__ct5e-07__p1,local,potential,2.0,5e-07,1.0,2,105,26,16,4,32.620033003017575,35.17377725587052,3.275799115037799,2.635088519145505,0.13818078977567066,0.10998312219997869
local__potential__A2__ct5e-07__p1,local,potential,2.0,5e-07,1.0,3,105,26,16,4,35.48521784081376,21.193228143696487,3.339107222459674,1.9145318049180398,0.13591707767895808,0.12074022445654196
local__potential__A2__ct5e-07__p1,local,potential,2.0,5e-07,1.0,4,105,26,16,4,29.089070231306444,46.01244694401619,2.639827979007647,4.8978086075551355,0.13076565292790324,0.1416805769268478
local__potential__A2__ct5e-07__p2,local,potential,2.0,5e-07,2.0,0,104,27,16,4,25.608783997633058,21.841376858663697,2.3728496204098946,2.096384158344354,0.12684238130473047,0.11586362993116381
local__potential__A2__ct5e-07__p2,local,potential,2.0,5e-07,2.0,1,105,26,16,4,26.3281725382136,17.868457223346653,2.362165658566091,2.0371505921421207,0.1179676238547445,0.1487107878040672
local__potential__A2__ct5e-07__p2,local,potential,2.0,5e-07,2.0,2,105,26,16,4,23.5460332113934,29.658835574909,2.364561518052354,2.221929608132237,0.1281511069283421,0.10995232918500059
local__potential__A2__ct5e-07__p2,local,potential,2.0,5e-07,2.0,3,105,26,16,4,26.48783002644529,16.88868131411826,2.4924661571856204,1.5256721297846028,0.12623524649959786,0.11848624260135568
local__potential__A2__ct5e-07__p2,local,potential,2.0,5e-07,2.0,4,105,26,16,4,22.139877210535765,33.750309978099516,2.009189941356926,3.592561789194021,0.1241649945930072,0.12693524330113448
local__potential__A2__ct5e-07__p4,local,potential,2.0,5e-07,4.0,0,104,27,16,4,20.039408340701726,13.118961765118192,1.856804387075463,1.2591872662739136,0.12601687323981034,0.11282000041212249
local__potential__A2__ct5e-07__p4,local,potential,2.0,5e-07,4.0,1,105,26,16,4,19.575966404988822,15.408607858052129,1.756357206638302,1.7567076009843414,0.11661905931501285,0.14781522883475529
local__potential__A2__ct5e-07__p4,local,potential,2.0,5e-07,4.0,2,105,26,16,4,16.6985805734919,25.669887468504744,1.6769202980258147,1.9230924578827928,0.126430332410157,0.11095425203287082
local__potential__A2__ct5e-07__p4,local,potential,2.0,5e-07,4.0,3,105,26,16,4,19.74368607952777,14.51870646236285,1.8578520521382222,1.3115758061959188,0.12483156813533625,0.11797321833804751
local__potential__A2__ct5e-07__p4,local,potential,2.0,5e-07,4.0,4,105,26,16,4,17.844055517919887,22.34167385117696,1.6193448824801138,2.3781661216284107,0.12329458692261477,0.12427043574347109
local__potential__A2__ct1e-06__p1,local,potential,2.0,1e-06,1.0,0,104,27,16,4,23.14730218896593,23.86037003372311,2.1447745124359474,2.2901716349942527,0.14305147543727945,0.15597995783525914
local__potential__A2__ct1e-06__p1,local,potential,2.0,1e-06,1.0,1,105,26,16,4,24.70239549810652,16.434766357628085,2.2163008178882144,1.8736980814110173,0.14128812220547204,0.1622815819494801
local__potential__A2__ct1e-06__p1,local,potential,2.0,1e-06,1.0,2,105,26,16,4,22.65387267247127,25.726917799359754,2.2749681475121584,1.9273649580747938,0.15225146667533015,0.1160284849778828
