galaxy_RMSE_ratio_budget,fold,selected_candidate_id,training_equal_JS,eligible_candidates,selected_galaxy_RMSE_ratio,candidate_id,fraction_max,length_over_R80,width_over_R80,shape_gate
0.95,0,F1_L0.25_W0.75_H,0.08761341343699654,18,0.9426847726264739,F1_L0.25_W0.75_H,1.0,0.25,0.75,H
0.95,1,F0.75_L0.25_W0.75_sqrt_H,0.07498071728414529,18,0.9499351216394244,F0.75_L0.25_W0.75_sqrt_H,0.75,0.25,0.75,sqrt_H
0.95,2,F1_L0.25_W0.75_H,0.08822856772514508,18,0.9426847726264739,F1_L0.25_W0.75_H,1.0,0.25,0.75,H
0.95,3,F1_L0.25_W0.75_H,0.08811121039980116,18,0.9426847726264739,F1_L0.25_W0.75_H,1.0,0.25,0.75,H
0.95,4,F0.75_L0.25_W0.75_sqrt_H,0.07417895265222402,18,0.9499351216394244,F0.75_L0.25_W0.75_sqrt_H,0.75,0.25,0.75,sqrt_H
0.98,0,F1_L0.25_W0.5_H,0.07972849466211168,93,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
0.98,1,F1_L0.25_W0.5_H,0.06715852753066123,93,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
0.98,2,F1_L0.25_W0.5_H,0.07868919442067601,93,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
0.98,3,F1_L0.25_W0.5_H,0.07881031779306519,93,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
0.98,4,F1_L0.25_W0.5_H,0.06893054384443602,93,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
1.0,0,F1_L0.25_W0.5_H,0.07972849466211168,161,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
1.0,1,F1_L0.25_W0.5_H,0.06715852753066123,161,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
1.0,2,F1_L0.25_W0.5_H,0.07868919442067601,161,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
1.0,3,F1_L0.25_W0.5_H,0.07881031779306519,161,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
1.0,4,F1_L0.25_W0.5_H,0.06893054384443602,161,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
