variant_id,component_id,angular_strength,training_RMS_arcsec,training_roots_converged,heldout_RMS_arcsec,heldout_roots_converged
no_route,none,0.0,0.4952426246284921,15,1.8086634342148817,7
members__sm0.0200,members,-0.02,0.4975102592260539,15,1.8472644400970595,7
members__sm0.0100,members,-0.01,0.4956679542531566,15,1.8276649449000648,7
members__sm0.0050,members,-0.005,0.49527703562473663,15,1.8181047444170217,7
members__sp0.0025,members,0.0025,0.4953587205965879,15,1.8040032113188171,7
members__sp0.0050,members,0.005,0.49556368438251136,15,1.799388070158186,7
members__sp0.0100,members,0.01,0.49624028397711334,15,1.7900624413881154,7
members__sp0.0200,members,0.02,0.4986620695610654,15,1.7719967191979724,7
members__sp0.0500,members,0.05,0.5142461361646972,15,1.7219155804910167,7
stars__sm0.0200,stars,-0.02,0.4968401876370883,15,1.8490449267184443,7
stars__sm0.0100,stars,-0.01,0.49534290907769857,15,1.8287010127908683,7
stars__sm0.0050,stars,-0.005,0.49511667156994016,15,1.8186563836290839,7
stars__sp0.0025,stars,0.0025,0.4954373125726312,15,1.803702739023957,7
stars__sp0.0050,stars,0.005,0.49572000695020224,15,1.7987689150163118,7
stars__sp0.0100,stars,0.01,0.4965496216712548,15,1.7888921470972352,7
stars__sp0.0200,stars,0.02,0.49926473521783543,15,1.7693083883525969,7
stars__sp0.0500,stars,0.05,0.5156722159470768,15,1.7133087693889646,7
gas__sm0.0200,gas,-0.02,0.49642358359000077,15,1.8450948724957104,7
gas__sm0.0100,gas,-0.01,0.4955599453477588,15,1.8266230529689,7
gas__sm0.0050,gas,-0.005,0.4953332503678134,15,1.8175950722227796,7
gas__sp0.0025,gas,0.0025,0.49524801648779715,15,1.8042487751159004,7
gas__sp0.0050,gas,0.005,0.4952871127994887,15,1.79986910806748,7
gas__sp0.0100,gas,0.01,0.49546637752188694,15,1.790950764299582,7
gas__sp0.0200,gas,0.02,0.4962289533309621,15,1.7736550221681704,7
gas__sp0.0500,gas,0.05,0.5017187115912064,15,1.7249674000611754,7
stars_gas_050__sm0.0200,stars_gas_050,-0.02,0.49691215401348277,15,1.843875314836014,7
stars_gas_050__sm0.0100,stars_gas_050,-0.01,0.4955857250619433,15,1.8259816755967373,7
stars_gas_050__sm0.0050,stars_gas_050,-0.005,0.49529090503080353,15,1.817267873370009,7
stars_gas_050__sp0.0025,stars_gas_050,0.0025,0.4953104232591178,15,1.8044199145309032,7
stars_gas_050__sp0.0050,stars_gas_050,0.005,0.49543944163882025,15,1.8002186118404748,7
stars_gas_050__sp0.0100,stars_gas_050,0.01,0.49588109583479467,15,1.7916955427383847,7
stars_gas_050__sp0.0200,stars_gas_050,0.02,0.4975007084425574,15,1.7752220995897907,7
stars_gas_050__sp0.0500,stars_gas_050,0.05,0.5081248280561546,15,1.7295816072663108,7
members_all_050__sm0.0200,members_all_050,-0.02,0.49717652271732066,15,1.844956086560794,7
members_all_050__sm0.0100,members_all_050,-0.01,0.4956319438840905,15,1.8265160137327885,7
members_all_050__sm0.0050,members_all_050,-0.005,0.49529226504724955,15,1.817532672296921,7
members_all_050__sp0.0025,members_all_050,0.0025,0.4953260417390022,15,1.8042885994731537,7
members_all_050__sp0.0050,members_all_050,0.005,0.49548157223263833,15,1.799957362487767,7
members_all_050__sp0.0100,members_all_050,0.01,0.4960089523755858,15,1.7911871866054516,7
members_all_050__sp0.0200,members_all_050,0.02,0.49793132923485783,15,1.774224717447272,7
members_all_050__sp0.0500,members_all_050,0.05,0.5104735474557162,15,1.7272769830059416,7
