variant,width_over_R80,route_fraction_multiplier,contrast_cap,complete_systems,heldout_converged_roots,all_four_complete,cluster_equal_complete_RMS_arcsec,cluster_median_complete_RMS_arcsec,complete_labels,SPARC_outer_RMSE_km_s,SPARC_equal_galaxy_RMSE_km_s,SPARC_galaxies_improved_vs_Newtonian
eta0p23_q1p0_A20p0,0.23,1.0,20.0,4,11,True,19.159352387520663,18.881566986397146,MACS0329+MACS0429+MACS1115+MACS1931,70.92603164566839,65.2005479813258,110
eta0p23_q1p0_A10p0,0.23,1.0,10.0,3,10,False,21.056920047750328,22.152796401746656,MACS0329+MACS0429+MACS1115,70.92603164566839,65.2005479813258,110
eta0p18_q1p0_A5p0,0.18,1.0,5.0,2,9,False,14.72871064910105,14.71231435407729,MACS0429+MACS1931,70.83233636964687,65.09902079840283,113
eta0p18_q1p0_A20p0,0.18,1.0,20.0,2,9,False,14.730257940599403,14.725020514042129,MACS0429+MACS1931,70.83233636964687,65.09902079840283,113
eta0p18_q1p0_A10p0,0.18,1.0,10.0,2,9,False,14.848668162249828,14.836798211312136,MACS0429+MACS1931,70.83233636964687,65.09902079840283,113
eta0p23_q0p75_A5p0,0.23,0.75,5.0,2,9,False,18.54789522207141,18.274543815570105,MACS0329+MACS0429,71.07641013201898,65.36618837213237,111
eta0p23_q0p75_A10p0,0.23,0.75,10.0,2,9,False,18.59933670530924,18.322160124438938,MACS0329+MACS0429,71.07641013201898,65.36618837213237,111
eta0p28_q0p5_A5p0,0.28,0.5,5.0,2,9,False,18.619684223547846,18.298936470459836,MACS0329+MACS0429,71.29153666548633,65.60338570775463,106
eta0p23_q0p75_A20p0,0.23,0.75,20.0,2,9,False,18.63981977900825,18.35894241738722,MACS0329+MACS0429,71.07641013201898,65.36618837213237,111
eta0p23_q1p0_A5p0,0.23,1.0,5.0,3,9,False,20.849341966454308,21.294219395265962,MACS0329+MACS0429+MACS1115,70.92603164566839,65.2005479813258,110
eta0p28_q0p75_A10p0,0.28,0.75,10.0,3,9,False,21.172927355186278,21.689820077166026,MACS0329+MACS0429+MACS1115,71.1615456313717,65.45998240951212,108
eta0p28_q0p75_A5p0,0.28,0.75,5.0,3,9,False,21.238590582423807,21.679071534419833,MACS0329+MACS0429+MACS1115,71.1615456313717,65.45998240951212,108
eta0p18_q0p5_A5p0,0.18,0.5,5.0,2,8,False,18.10442209550471,17.92102058630764,MACS0329+MACS0429,71.1841114388864,65.48564022145447,113
eta0p23_q0p5_A5p0,0.23,0.5,5.0,2,8,False,18.37002495400106,18.03848606984308,MACS0329+MACS0429,71.23351492375535,65.53938692396707,110
eta0p23_q0p5_A10p0,0.23,0.5,10.0,2,8,False,18.581006993430897,18.299651804260513,MACS0329+MACS0429,71.23351492375535,65.53938692396707,110
eta0p23_q0p5_A20p0,0.23,0.5,20.0,2,8,False,18.60243752385267,18.320148285887175,MACS0329+MACS0429,71.23351492375535,65.53938692396707,110
eta0p28_q0p5_A10p0,0.28,0.5,10.0,2,8,False,18.623068502740267,18.305037169727758,MACS0329+MACS0429,71.29153666548633,65.60338570775463,106
eta0p28_q0p5_A20p0,0.28,0.5,20.0,2,8,False,18.635783169952298,18.317573430019237,MACS0329+MACS0429,71.29153666548633,65.60338570775463,106
eta0p28_q1p0_A10p0,0.28,1.0,10.0,3,8,False,20.541877098624585,21.772439952702758,MACS0329+MACS0429+MACS1115,71.03724809351087,65.32292793434605,108
eta0p28_q1p0_A20p0,0.28,1.0,20.0,3,8,False,20.553611706739627,21.817519951509496,MACS0329+MACS0429+MACS1115,71.03724809351087,65.32292793434605,108
eta0p28_q1p0_A5p0,0.28,1.0,5.0,3,8,False,20.557565421205357,21.72146246259499,MACS0329+MACS0429+MACS1115,71.03724809351087,65.32292793434605,108
eta0p28_q0p75_A20p0,0.28,0.75,20.0,3,8,False,21.17418863376245,21.71244353339736,MACS0329+MACS0429+MACS1115,71.1615456313717,65.45998240951212,108
eta0p18_q0p75_A10p0,0.18,0.75,10.0,2,8,False,25.50527432035051,25.25034419903966,MACS0329+MACS0429,71.0043207352012,65.28791724579169,113
eta0p18_q0p75_A20p0,0.18,0.75,20.0,2,8,False,25.793679941873286,25.583579122211024,MACS0329+MACS0429,71.0043207352012,65.28791724579169,113
eta0p18_q0p5_A10p0,0.18,0.5,10.0,2,7,False,18.022999226377433,17.796959767636928,MACS0329+MACS0429,71.1841114388864,65.48564022145447,113
eta0p18_q0p5_A20p0,0.18,0.5,20.0,2,7,False,18.26344358153341,18.067988263263004,MACS0329+MACS0429,71.1841114388864,65.48564022145447,113
eta0p18_q0p75_A5p0,0.18,0.75,5.0,2,7,False,18.29146263176408,18.03492088703247,MACS0329+MACS0429,71.0043207352012,65.28791724579169,113
