left_dimension,left_bin,right_dimension,right_bin,galaxies,P0554_equal_galaxy_RMSE_km_s,RAR_equal_galaxy_RMSE_km_s,P0554_to_RAR_ratio,ratio_bootstrap_2p5,ratio_bootstrap_97p5,P0554_mean_residual_km_s,P0554_better_fraction,descriptive_outcome
baryonic_mass_family,intermediate_mass,stellar_structure,mixed_disk_bulge,7,11.122356290798274,12.282661312315017,0.9055330931942753,0.5753098061790345,1.776266520310422,1.3720052175116701,0.42857142857142855,P0554_better
gas_fraction_family,gas_rich,outer_rotation_shape,approximately_flat,16,9.402121963766762,9.919857318276485,0.9478081853500211,0.6000708945597776,1.5564554727856437,-2.940081902535045,0.625,P0554_better
gas_fraction_family,mixed_gas,outer_rotation_shape,declining,6,17.479459735793732,18.094203950008204,0.9660253517693884,0.771350994094276,1.0591266340851224,3.8402784935178165,0.5,P0554_better
surface_brightness_family,low_surface_brightness,outer_rotation_shape,approximately_flat,8,11.160832928718834,11.321199911172897,0.9858348069363393,0.5213531000536193,1.9885240896855054,-2.709780836439521,0.625,P0554_better
baryonic_mass_family,giant_mass,gas_fraction_family,mixed_gas,5,19.21150833260463,19.0409878584654,1.008955442617092,0.9589943305020928,1.099721969674658,8.85101584357998,0.6,fixed_RAR_better
gas_fraction_family,gas_poor,outer_rotation_shape,declining,12,11.328494643624284,11.059003658099794,1.0243684687930372,0.7236597642515119,1.327322819589114,5.596929689350474,0.6666666666666666,fixed_RAR_better
surface_brightness_family,high_surface_brightness,outer_rotation_shape,declining,18,13.3019433727117,12.983160810784156,1.0245535402798642,0.8444897168594669,1.2201705811544112,4.530843392967448,0.5,fixed_RAR_better
stellar_structure,disk_dominated,surface_brightness_family,low_surface_brightness,26,13.99017353012331,12.974614756739882,1.078272749705796,0.7125521125701931,1.2574006509270743,-4.469319721426413,0.5384615384615384,fixed_RAR_better
baryonic_mass_family,intermediate_mass,gas_fraction_family,gas_poor,24,11.531466700419546,10.52046581721894,1.0960984903867939,0.8365947351159708,1.3566015936510838,1.3430468188223477,0.5,fixed_RAR_better
baryonic_mass_family,intermediate_mass,gas_fraction_family,gas_rich,32,10.761960044472659,9.777371377382373,1.1007007537187241,0.8268589483360013,1.4423656332000234,-4.744747545449269,0.5,fixed_RAR_better
baryonic_mass_family,giant_mass,stellar_structure,disk_dominated,10,14.60217871499119,13.237828107054291,1.1030645357307405,1.0099241034647088,1.2919187414490598,8.63855849521686,0.4,fixed_RAR_better
