mass_regime,grouping,synthetic_systems,mean_acceleration_boost,median_acceleration_boost,p05_acceleration_boost,p95_acceleration_boost,surface_regime,gas_regime,bulge_regime
dwarf_logM_lt9,mass_regime,381301,4.831134514360858,5.1177238081775585,3.208594087606149,5.468001350948846,,,
giant_logM_ge10p5,mass_regime,381301,2.537457026244843,2.0380874073098565,1.0057459764743066,5.2716517151077555,,,
intermediate_logM_9_10p5,mass_regime,285974,3.7580167249834386,4.061790370705325,1.4114673946968193,5.31268978326689,,,
,surface_regime,454672,2.246801436833818,1.987762155479238,1.0077304247956351,4.243199515531595,dense_Sigma_ge100,,
,surface_regime,142817,5.368067157661994,5.400853606848047,5.135398920887305,5.484820705042921,diffuse_Sigma_lt10,,
,surface_regime,451087,4.646858472514149,4.798264769461085,3.3020897102893607,5.360870386987195,middle_Sigma_10_100,,
,gas_regime,613098,3.596385680238809,4.022472306647861,1.0260798846650898,5.428101208023713,,gas_poor,
,gas_regime,435478,3.856473875033538,4.387738525044034,1.0675756192576566,5.46141729814133,,gas_rich,
,bulge_regime,521667,3.681772705931359,4.149162054955169,1.0351848490835032,5.441772452783266,,,bulge_rich
,bulge_regime,526909,3.7268049620519195,4.215052042248657,1.0413114537922292,5.446884065314726,,,disk_dominated
dwarf_logM_lt9,mass_regime+surface_regime,28324,3.243784070657976,3.3367803569088865,1.8604502124588724,4.363782313969134,dense_Sigma_ge100,,
dwarf_logM_lt9,mass_regime+surface_regime,133953,5.372833657329218,5.404656595071741,5.146824941899527,5.485532156735798,diffuse_Sigma_lt10,,
dwarf_logM_lt9,mass_regime+surface_regime,219024,4.705111287086222,4.871529613305373,3.4670390673397056,5.337754083022274,middle_Sigma_10_100,,
giant_logM_ge10p5,mass_regime+surface_regime,306986,2.0355182862494026,1.5769087155134542,1.0040191784509322,4.314278033137368,dense_Sigma_ge100,,
giant_logM_ge10p5,mass_regime+surface_regime,74315,4.610903383457253,4.644513970888749,3.0678603089593794,6.0869663822806155,middle_Sigma_10_100,,
intermediate_logM_9_10p5,mass_regime+surface_regime,119362,2.553619629766843,2.497224984683262,1.1942636565134572,4.090795943095604,dense_Sigma_ge100,,
intermediate_logM_9_10p5,mass_regime+surface_regime,8864,5.296035689935959,5.335292797564003,5.029759116950317,5.4367318477774855,diffuse_Sigma_lt10,,
intermediate_logM_9_10p5,mass_regime+surface_regime,157748,4.582916222751424,4.742558715905827,3.258784103746062,5.324412404626542,middle_Sigma_10_100,,
