system,model,gravity_parameters_per_object,geometry_parameters_per_object,training_images,heldout_images,training_exact_RMS_arcsec,training_all_roots_converged,heldout_exact_RMS_arcsec,heldout_all_roots_converged,heldout_maximum_residual_arcsec,geometry_at_boundary
MACS1115,baryons,0,6,4,2,7.177731188569504,True,30.167263388378018,True,30.712937933447023,True
MACS1115,rar,0,6,4,2,7.252523016453406,True,29.50202957693542,True,30.57650985175004,True
MACS1115,simple_mond,0,6,4,2,7.259140108089312,True,29.435529805698074,True,30.55511494926255,True
MACS1115,transport,0,6,4,2,0.08699410904779872,True,24.6304970665734,True,27.317209830540268,False
MACS1115,GR_plus_cluster_halo,2,8,4,2,0.09058928176525326,True,14.039738652840226,True,15.837232135784244,False
MACS1931,baryons,0,6,15,4,11.492025542017894,True,19.34832456314376,True,31.156208347683044,True
MACS1931,rar,0,6,15,4,8.763853912860565,True,21.290232058955706,True,29.943279499767634,True
MACS1931,simple_mond,0,6,15,4,8.630112268319872,True,21.14931291882494,True,29.901075080500593,True
MACS1931,transport,0,6,15,4,inf,False,6.475946749420572,True,10.118692788037656,True
MACS1931,GR_plus_cluster_halo,2,8,15,4,0.4762883742730732,True,1.4012143659101128,True,1.7182499463917638,False
