galaxy,split,law,radius_kpc,observed_velocity_km_s,predicted_velocity_km_s,gbar_m_s2,gobs_m_s2,predicted_acceleration_m_s2,log_residual_dex
CamB,train,baryons,1.47,16.8,13.845266339077773,4.226051150235345e-12,6.222296235733182e-12,4.226051150235345e-12,0.16801593422689579
CamB,train,baryons,1.79,20.1,12.60563961090432,2.8769094791518544e-12,7.314565590661553e-12,2.8769094791518544e-12,0.40526234144216206
CamB,train,li2018_rar_mond,1.47,16.8,33.47106699319919,4.226051150235345e-12,6.222296235733182e-12,2.4698537297405714e-11,-0.5987205506497011
CamB,train,li2018_rar_mond,1.79,20.1,33.28303362201238,2.8769094791518544e-12,7.314565590661553e-12,2.005590349542997e-11,-0.438053692587287
CamB,train,simple_mond,1.47,16.8,33.4933293959152,4.226051150235345e-12,6.222296235733182e-12,2.4731403392930838e-11,-0.5992980777853743
CamB,train,simple_mond,1.79,20.1,33.298373981865645,2.8769094791518544e-12,7.314565590661553e-12,2.0074395540512995e-11,-0.4384539384812883
CamB,train,standard_mond,1.47,16.8,32.101451037977064,4.226051150235345e-12,6.222296235733182e-12,2.2718593840567237e-11,-0.5624307638841072
CamB,train,standard_mond,1.79,20.1,32.131433620714326,2.8769094791518544e-12,7.314565590661553e-12,1.8692036910474338e-11,-0.40746809129943595
D512-2,outside_P0630_split,baryons,1.92,33.5,16.23753675900381,4.45029213325316e-12,1.894252373739031e-11,4.45029213325316e-12,0.6290493195725602
D512-2,outside_P0630_split,li2018_rar_mond,1.92,33.5,38.79641820577138,4.45029213325316e-12,1.894252373739031e-11,2.5405719007522988e-11,-0.12749365024497544
D512-2,outside_P0630_split,simple_mond,1.92,33.5,38.82351904682419,4.45029213325316e-12,1.894252373739031e-11,2.5441225214669707e-11,-0.1281001823612862
D512-2,outside_P0630_split,standard_mond,1.92,33.5,37.17333121630428,4.45029213325316e-12,1.894252373739031e-11,2.332443802223552e-11,-0.09037334852852963
D564-8,outside_P0630_split,baryons,1.02,15.1,8.11829415579406,2.0940104744668915e-12,7.244412605747154e-12,2.0940104744668915e-12,0.5390243278660524
D564-8,outside_P0630_split,baryons,1.53,19.8,9.028269490882513,1.7265018667311038e-12,8.30402034401156e-12,1.7265018667311038e-12,0.6821213522290254
D564-8,outside_P0630_split,baryons,2.04,21.9,9.238011149592753,1.3557395059979322e-12,7.619167426521626e-12,1.3557395059979322e-12,0.7497312655362351
D564-8,outside_P0630_split,baryons,2.56,24.0,9.114655780664458,1.0516955429304885e-12,7.291753401249822e-12,1.0516955429304885e-12,0.8409419394995399
D564-8,outside_P0630_split,baryons,3.07,25.0,8.878223358307674,8.320764163354391e-13,6.597677706523545e-12,8.320764163354391e-13,0.8992278837328281
D564-8,outside_P0630_split,li2018_rar_mond,1.02,15.1,23.078095336461995,2.0940104744668915e-12,7.244412605747154e-12,1.6921903310779913e-11,-0.36844603162560763
D564-8,outside_P0630_split,li2018_rar_mond,1.53,19.8,26.85351174294921,1.7265018667311038e-12,8.30402034401156e-12,1.5274260753934367e-11,-0.26467179588749773
D564-8,outside_P0630_split,li2018_rar_mond,2.04,21.9,29.09162262826889,1.3557395059979322e-12,7.619167426521626e-12,1.3444825751706435e-11,-0.24664766099883836
D564-8,outside_P0630_split,li2018_rar_mond,2.56,24.0,30.489346351483388,1.0516955429304885e-12,7.291753401249822e-12,1.1768082844934202e-11,-0.20787374418673613
D564-8,outside_P0630_split,li2018_rar_mond,3.07,25.0,31.409340472363485,8.320764163354391e-13,6.597677706523545e-12,1.0414267142247984e-11,-0.19823761717083468
D564-8,outside_P0630_split,simple_mond,1.02,15.1,23.085932276178138,2.0940104744668915e-12,7.244412605747154e-12,1.6933398059482972e-11,-0.36874094001055047
D564-8,outside_P0630_split,simple_mond,1.53,19.8,26.861078958179796,1.7265018667311038e-12,8.30402034401156e-12,1.528287042146887e-11,-0.26491652640089164
D564-8,outside_P0630_split,simple_mond,2.04,21.9,29.098106599102593,1.3557395059979322e-12,7.619167426521626e-12,1.3450819612830984e-11,-0.24684123143148642
D564-8,outside_P0630_split,simple_mond,2.56,24.0,30.494653012679834,1.0516955429304885e-12,7.291753401249822e-12,1.1772179663705202e-11,-0.2080249086695377
D564-8,outside_P0630_split,simple_mond,3.07,25.0,31.41368906743097,8.320764163354391e-13,6.597677706523545e-12,1.041715103379408e-11,-0.19835786421136686
D564-8,outside_P0630_split,standard_mond,1.02,15.1,22.385287679655217,2.0940104744668915e-12,7.244412605747154e-12,1.5921157660630295e-11,-0.3419714654064427
D564-8,outside_P0630_split,standard_mond,1.53,19.8,26.11494455910878,1.7265018667311038e-12,8.30402034401156e-12,1.4445621796593829e-11,-0.24044783584833612
D564-8,outside_P0630_split,standard_mond,2.04,21.9,28.375469138665466,1.3557395059979322e-12,7.619167426521626e-12,1.2791026198909234e-11,-0.22499787143749597
D564-8,outside_P0630_split,standard_mond,2.56,24.0,29.82214312908181,1.0516955429304885e-12,7.291753401249822e-12,1.125867259555229e-11,-0.18865521705687643
D564-8,outside_P0630_split,standard_mond,3.07,25.0,30.79335419802542,8.320764163354391e-13,6.597677706523545e-12,1.0009792486987225e-11,-0.18103397756878184
D631-7,holdout,baryons,1.35,26.0,22.234630646808597,1.1867945008743392e-11,1.6227902219736228e-11,1.1867945008743392e-11,0.1358868569199828
D631-7,holdout,baryons,1.8,30.9,24.057781485415482,1.0420489048276934e-11,1.7190713740857636e-11,1.0420489048276934e-11,0.21740580702865833
D631-7,holdout,baryons,2.25,34.7,24.380590640917625,8.561608835254895e-12,1.7343066376120295e-11,8.561608835254895e-12,0.3065705044424379
D631-7,holdout,baryons,2.69,38.8,24.510016319864008,7.237429989004344e-12,1.8136798414502323e-11,7.237429989004344e-12,0.3989762503387242
D631-7,holdout,baryons,3.14,42.5,24.091859621042122,5.990463889767301e-12,1.864222162916842e-11,5.990463889767301e-12,0.4930372122013622
D631-7,holdout,baryons,3.59,45.6,23.62082344034602,5.0366882766692035e-12,1.8770882516153305e-11,5.0366882766692035e-12,0.5713396185566891
D631-7,holdout,baryons,4.04,48.8,23.09681471545373,4.279295435564272e-12,1.9103270868946504e-11,4.279295435564272e-12,0.6497354631723394
D631-7,holdout,baryons,4.49,51.8,22.382807017887636,3.6160315774113514e-12,1.936701251805946e-11,3.6160315774113514e-12,0.7288304189186413
D631-7,holdout,baryons,4.94,54.8,21.71736862513504,3.094118281920297e-12,1.9700789144479764e-11,3.094118281920297e-12,0.8039467109374933
D631-7,holdout,baryons,5.39,56.6,20.97537603953741,2.6453320912270787e-12,1.9261652876609262e-11,2.6453320912270787e-12,0.8622133514625843
D631-7,holdout,baryons,5.84,58.4,20.26237276332661,2.27833304451475e-12,1.8926151050355092e-11,2.27833304451475e-12,0.9194450927605047
D631-7,holdout,baryons,6.29,58.5,19.56233498332957,1.9716970752655836e-12,1.7632363948014276e-11,1.9716970752655836e-12,0.9514703492721729
D631-7,holdout,baryons,6.74,57.7,18.892824034537558,1.7162609356663562e-12,1.6008151454828236e-11,1.7162609356663562e-12,0.9697578670640812
D631-7,holdout,baryons,7.19,57.3,18.238533384019668,1.4993409040832548e-12,1.4798912702697897e-11,1.4993409040832548e-12,0.9943294190240985
D631-7,holdout,li2018_rar_mond,1.35,26.0,42.80374989492295,1.1867945008743392e-11,1.6227902219736228e-11,4.398244029740061e-11,-0.4330169396236965
D631-7,holdout,li2018_rar_mond,1.8,30.9,47.61989357413716,1.0420489048276934e-11,1.7190713740857636e-11,4.082759430239322e-11,-0.37565988207777934
D631-7,holdout,li2018_rar_mond,2.25,34.7,50.356604109006284,8.561608835254895e-12,1.7343066376120295e-11,3.652412383662073e-11,-0.32345392035713444
D631-7,holdout,li2018_rar_mond,2.69,38.8,52.52444082825568,7.237429989004344e-12,1.8136798414502323e-11,3.323686476608441e-11,-0.26305942407577537
D631-7,holdout,li2018_rar_mond,3.14,42.5,53.84030821882598,5.990463889767301e-12,1.864222162916842e-11,2.991816007767515e-11,-0.2054372147440036
D631-7,holdout,li2018_rar_mond,3.59,45.6,54.88050647280173,5.0366882766692035e-12,1.8770882516153305e-11,2.71888743409358e-11,-0.160906536006132
D631-7,holdout,li2018_rar_mond,4.04,48.8,55.67816229743886,4.279295435564272e-12,1.9103270868946504e-11,2.4867829144513427e-11,-0.11453014119482831
D631-7,holdout,li2018_rar_mond,4.49,51.8,56.06948440617609,3.6160315774113514e-12,1.936701251805946e-11,2.269113600086667e-11,-0.06879360552684881
D631-7,holdout,li2018_rar_mond,4.94,54.8,56.38573558599285,3.094118281920297e-12,1.9700789144479764e-11,2.0857440182491403e-11,-0.024777383912055286
D631-7,holdout,li2018_rar_mond,5.39,56.6,56.46845753817825,2.6453320912270787e-12,1.9261652876609262e-11,1.9172225987616194e-11,0.002021012484747535
D631-7,holdout,li2018_rar_mond,5.84,58.4,56.47677945556999,2.27833304451475e-12,1.8926151050355092e-11,1.7700129937697666e-11,0.029085847335349718
D631-7,holdout,li2018_rar_mond,6.29,58.5,56.39941174269564,1.9716970752655836e-12,1.7632363948014276e-11,1.6388830280427328e-11,0.03176258370950458
D631-7,holdout,li2018_rar_mond,6.74,57.7,56.27318256970201,1.7162609356663562e-12,1.6008151454828236e-11,1.522623448260872e-11,0.021748670950189872
D631-7,holdout,li2018_rar_mond,7.19,57.3,56.0832694121208,1.4993409040832548e-12,1.4798912702697897e-11,1.417709373387513e-11,0.018642597560525807
D631-7,holdout,simple_mond,1.35,26.0,42.87821961869351,1.1867945008743392e-11,1.6227902219736228e-11,4.4135614232599114e-11,-0.4345267927902256
D631-7,holdout,simple_mond,1.8,30.9,47.69346688851916,1.0420489048276934e-11,1.7190713740857636e-11,4.095385001931126e-11,-0.37700082696284387
D631-7,holdout,simple_mond,2.25,34.7,50.42153398656915,8.561608835254895e-12,1.7343066376120295e-11,3.6618373075344525e-11,-0.3245731587939969
D631-7,holdout,simple_mond,2.69,38.8,52.58238708088645,7.237429989004344e-12,1.8136798414502323e-11,3.331024066921206e-11,-0.26401714455178094
D631-7,holdout,simple_mond,3.14,42.5,53.8900819254746,5.990463889767301e-12,1.864222162916842e-11,2.9973502482034985e-11,-0.20623982754993583
D631-7,holdout,simple_mond,3.59,45.6,54.923602786617074,5.0366882766692035e-12,1.8770882516153305e-11,2.7231592617629844e-11,-0.1615883499151985
D631-7,holdout,simple_mond,4.04,48.8,55.715637649772326,4.279295435564272e-12,1.9103270868946504e-11,2.4901316035898074e-11,-0.1151145665164362
D631-7,holdout,simple_mond,4.49,51.8,56.10163943788817,3.6160315774113514e-12,1.936701251805946e-11,2.2717169534889933e-11,-0.06929158585340443
D631-7,holdout,simple_mond,4.94,54.8,56.4136000822139,3.094118281920297e-12,1.9700789144479764e-11,2.0878059782832362e-11,-0.02520651399954318
D631-7,holdout,simple_mond,5.39,56.6,56.49247105677457,2.6453320912270787e-12,1.9261652876609262e-11,1.9188535641450972e-11,0.001651718821733961
D631-7,holdout,simple_mond,5.84,58.4,56.4975830285918,2.27833304451475e-12,1.8926151050355092e-11,1.7713172245292525e-11,0.028765956100889074
D631-7,holdout,simple_mond,6.29,58.5,56.41748292752466,1.9716970752655836e-12,1.7632363948014276e-11,1.6399334398106493e-11,0.03148431985752532
D631-7,holdout,simple_mond,6.74,57.7,56.2889490449959,1.7162609356663562e-12,1.6008151454828236e-11,1.523476777214695e-11,0.021505346017878957
D631-7,holdout,simple_mond,7.19,57.3,56.09705342416049,1.4993409040832548e-12,1.4798912702697897e-11,1.4184063414756947e-11,0.018429144069000803
D631-7,holdout,standard_mond,1.35,26.0,40.14191663363236,1.1867945008743392e-11,1.6227902219736228e-11,3.8682264981085376e-11,-0.3772495133826416
D631-7,holdout,standard_mond,1.8,30.9,44.80139201331032,1.0420489048276934e-11,1.7190713740857636e-11,3.6137654864414e-11,-0.32266605728534603
D631-7,holdout,standard_mond,2.25,34.7,47.596284802711914,8.561608835254895e-12,1.7343066376120295e-11,3.262969736349088e-11,-0.27448715952934793
D631-7,holdout,standard_mond,2.69,38.8,49.83293466572401,7.237429989004344e-12,1.8136798414502323e-11,2.991783081378038e-11,-0.21736947593722167
D631-7,holdout,standard_mond,3.14,42.5,51.28735084614938,5.990463889767301e-12,1.864222162916842e-11,2.7148156283700978e-11,-0.16324267382295496
D631-7,holdout,standard_mond,3.59,45.6,52.46050383497662,5.0366882766692035e-12,1.8770882516153305e-11,2.4843908481462404e-11,-0.12173522921942527
D631-7,holdout,standard_mond,4.04,48.8,53.387568610784726,4.279295435564272e-12,1.9103270868946504e-11,2.2863798015648962e-11,-0.07804064112811154
D631-7,holdout,standard_mond,4.49,51.8,53.92468329891571,3.6160315774113514e-12,1.936701251805946e-11,2.0988351075143783e-11,-0.034915686827833796
D631-7,holdout,standard_mond,4.94,54.8,54.37108457227475,3.094118281920297e-12,1.9700789144479764e-11,1.939360287597218e-11,0.006825124533232009
D631-7,holdout,standard_mond,5.39,56.6,54.586055775321206,2.6453320912270787e-12,1.9261652876609262e-11,1.7915301394777673e-11,0.03146943313074581
D631-7,holdout,standard_mond,5.84,58.4,54.71570378768193,2.27833304451475e-12,1.8926151050355092e-11,1.6613479013596277e-11,0.05660171470096982
D631-7,holdout,standard_mond,6.29,58.5,54.75173943874747,1.9716970752655836e-12,1.7632363948014276e-11,1.544523965839345e-11,0.05751589001129337
D631-7,holdout,standard_mond,6.74,57.7,54.72966307701676,1.7162609356663562e-12,1.6008151454828236e-11,1.4402407923204958e-11,0.04590607715756327
D631-7,holdout,standard_mond,7.19,57.3,54.63719676586666,1.4993409040832548e-12,1.4798912702697897e-11,1.345542385143741e-11,0.04133242555803145
DDO064,holdout,baryons,1.88,46.3,22.818663413968835,8.975776092083998e-12,3.6953330611643565e-11,8.975776092083998e-12,0.6145815773261986
DDO064,holdout,baryons,2.08,46.4,23.835574253623513,8.851917525465187e-12,3.3544558552894904e-11,8.851917525465187e-12,0.5785847220322972
DDO064,holdout,baryons,2.27,46.3,24.145089562890423,8.323025763565968e-12,3.0604520506559424e-11,8.323025763565968e-12,0.5655043406458469
DDO064,holdout,li2018_rar_mond,1.88,46.3,46.648237784387575,8.975776092083998e-12,3.6953330611643565e-11,3.751129779509683e-11,-0.006508502340413048
DDO064,holdout,li2018_rar_mond,2.08,46.4,48.874582486213114,8.851917525465187e-12,3.3544558552894904e-11,3.7217932225027717e-11,-0.04513015976117437
DDO064,holdout,li2018_rar_mond,2.27,46.3,50.17883835320681,8.323025763565968e-12,3.0604520506559424e-11,3.5947178136940334e-11,-0.06987922420379047
DDO064,holdout,simple_mond,1.88,46.3,46.71106890581348,8.975776092083998e-12,3.6953330611643565e-11,3.76124147621158e-11,-0.007677628993736429
DDO064,holdout,simple_mond,2.08,46.4,48.93957339747446,8.851917525465187e-12,3.3544558552894904e-11,3.7316979027011894e-11,-0.04628439753108421
DDO064,holdout,simple_mond,2.27,46.3,50.2418689747955,8.323025763565968e-12,3.0604520506559424e-11,3.603754276464577e-11,-0.07096959113985525
DDO064,holdout,standard_mond,1.88,46.3,44.04302272229418,8.975776092083998e-12,3.6953330611643565e-11,3.343842708441354e-11,0.043407747151107845
DDO064,holdout,standard_mond,2.08,46.4,46.15993660302177,8.851917525465187e-12,3.3544558552894904e-11,3.319835213416078e-11,0.004505553751011437
DDO064,holdout,standard_mond,2.27,46.3,47.45897152798641,8.323025763565968e-12,3.0604520506559424e-11,3.215586839648326e-11,-0.02147466294713075
DDO154,train,baryons,0.99,21.6,12.70837715839438,5.2868191057195954e-12,1.5272908942254174e-11,5.2868191057195954e-12,0.46072731168209413
DDO154,train,baryons,1.48,28.9,14.21295711665943,4.4234042487768284e-12,1.828872479957316e-11,4.4234042487768284e-12,0.6164267941425802
DDO154,train,baryons,1.97,34.3,15.620761825211984,4.014095030530957e-12,1.9354032620499495e-11,4.014095030530957e-12,0.6831838188496275
DDO154,train,baryons,2.47,38.2,16.43073644119459,3.5421468342912323e-12,1.9146051701736015e-11,3.5421468342912323e-12,0.7328126670994468
DDO154,train,baryons,2.96,42.0,17.446856450375236,3.3326685205945295e-12,1.9313292792499527e-11,3.3326685205945295e-12,0.7630642052243714
DDO154,train,baryons,3.46,44.6,18.56848001318363,3.2294314104035377e-12,1.8631296333500446e-11,3.2294314104035377e-12,0.7611170083727737
