galaxy,split,law,points,velocity_RMSE_km_s,log_acceleration_RMSE_dex,mean_log_residual_dex
CamB,train,baryons,2,5.696309711060015,0.3102151830144038,0.28663913783452893
CamB,train,li2018_rar_mond,2,15.028586929096898,0.5245747493730701,-0.5183871216184941
CamB,train,simple_mond,2,15.047662976118822,0.5250714438088391,-0.5188760081333312
CamB,train,standard_mond,2,13.763898409194693,0.49110009651315784,-0.48494942759177156
D512-2,outside_P0630_split,baryons,1,17.26246324099619,0.6290493195725602,0.6290493195725602
D512-2,outside_P0630_split,li2018_rar_mond,1,5.296418205771381,0.12749365024497544,-0.12749365024497544
D512-2,outside_P0630_split,simple_mond,1,5.323519046824188,0.1281001823612862,-0.1281001823612862
D512-2,outside_P0630_split,standard_mond,1,3.673331216304277,0.09037334852852963,-0.09037334852852963
D564-8,outside_P0630_split,baryons,5,12.701066970271683,0.7528250617789816,0.7422093537727361
D564-8,outside_P0630_split,li2018_rar_mond,5,7.047165820288543,0.26425304267650446,-0.2571753699739029
D564-8,outside_P0630_split,simple_mond,5,7.053546826869335,0.2644622639456359,-0.2573762941447666
D564-8,outside_P0630_split,standard_mond,5,6.361539835685316,0.24238307656473607,-0.23542127346358663
D631-7,holdout,baryons,14,28.13950755311539,0.7026125352271753,0.6430674944356978
D631-7,holdout,li2018_rar_mond,14,9.598503361277174,0.20558022326089803,-0.13331245253413831
D631-7,holdout,simple_mond,14,9.640016352869212,0.2063203553092923,-0.1339801630047384
D631-7,holdout,standard_mond,14,7.923307776845462,0.17508463865705357,-0.09643255514578908
DDO064,holdout,baryons,3,22.740320531357,0.58659070200815,0.5862235466681142
DDO064,holdout,li2018_rar_mond,3,2.6639704081099183,0.04817398294414355,-0.04050596210179263
DDO064,holdout,simple_mond,3,2.71764246489134,0.04911847686407196,-0.041643872554891964
DDO064,holdout,standard_mond,3,1.4713703215406866,0.028081391679845184,0.00881287931832951
DDO154,train,baryons,11,24.732189681533274,0.7644519218187622,0.7542055001888417
DDO154,train,li2018_rar_mond,11,4.054153556292089,0.10709564964958404,-0.0875369967515872
DDO154,train,simple_mond,11,4.0736891440999035,0.1075109146289506,-0.08796777157264005
DDO154,train,standard_mond,11,2.7603742528587283,0.08117088170496209,-0.05640802614721148
DDO161,train,baryons,26,25.398143430333285,0.48350411281102723,0.45840672753135875
DDO161,train,li2018_rar_mond,26,19.560272539205098,0.28216010276352,-0.27437705430677684
DDO161,train,simple_mond,26,19.620954341935583,0.2829601070295418,-0.27512556824198914
DDO161,train,standard_mond,26,16.30480996432624,0.24170246392507996,-0.234533293533367
DDO168,train,baryons,9,22.13240101209535,0.5231325556619458,0.4879342771301787
DDO168,train,li2018_rar_mond,9,7.774980654972551,0.190224274874823,-0.13989561322031704
DDO168,train,simple_mond,9,7.833800310243875,0.19134986167961263,-0.14109365796474557
DDO168,train,standard_mond,9,5.82330457556842,0.15240619988656193,-0.09025828032956995
DDO170,train,baryons,7,28.85621113149969,0.6277387839406969,0.6260417537842179
DDO170,train,li2018_rar_mond,7,14.860516241345668,0.19704140052530855,-0.19255403870373472
DDO170,train,simple_mond,7,14.895244593494263,0.19748137592313836,-0.19301885102062627
DDO170,train,standard_mond,7,12.398671343727315,0.16598606099484936,-0.1600073343720597
ESO079-G014,holdout,baryons,12,61.978222553579286,0.47294148847992945,0.46056959652271784
ESO079-G014,holdout,li2018_rar_mond,12,12.252290920995705,0.09209594496828556,0.03110714314901493
ESO079-G014,holdout,simple_mond,12,11.989651754661498,0.09140262131078379,0.02805314685330042
ESO079-G014,holdout,standard_mond,12,20.751093746216007,0.13445868685428672,0.10478240109545332
ESO116-G012,train,baryons,14,48.37336522440036,0.5877614843519069,0.5722993918677449
ESO116-G012,train,li2018_rar_mond,14,9.56653596165569,0.08636059411026925,0.06077701362365267
ESO116-G012,train,simple_mond,14,9.427750849206582,0.08528693230904942,0.05858435949732834
ESO116-G012,train,standard_mond,14,14.67600556654125,0.13574333726383078,0.12412807562259719
ESO444-G084,outside_P0630_split,baryons,6,30.47552635869636,0.8338315484104468,0.8267074488797072
ESO444-G084,outside_P0630_split,li2018_rar_mond,6,9.17813326170827,0.16496110795776556,0.15892817667463285
ESO444-G084,outside_P0630_split,simple_mond,6,9.140680174868157,0.16407046224775332,0.15794679107121623
ESO444-G084,outside_P0630_split,standard_mond,6,11.02272687929143,0.20828262189713714,0.20450397919824068
ESO563-G021,train,baryons,28,121.90818977292722,0.462772694166049,0.4286115997738982
ESO563-G021,train,li2018_rar_mond,28,46.13777440639067,0.1682146365540646,0.11674566727327232
ESO563-G021,train,simple_mond,28,44.69894950660786,0.16444282446036526,0.11050930570298935
ESO563-G021,train,standard_mond,28,67.37563826125968,0.23568773724906514,0.20272251681630665
F565-V2,outside_P0630_split,baryons,3,50.17606500030048,0.8873242085260754,0.8872205021591489
F565-V2,outside_P0630_split,li2018_rar_mond,3,6.871190003059199,0.08112179275208395,0.07990818689950903
F565-V2,outside_P0630_split,simple_mond,3,6.83256795076155,0.08065302876565814,0.07943267984122578
F565-V2,outside_P0630_split,standard_mond,3,9.5248325683034,0.11393372660571954,0.11306263346441403
F568-3,train,baryons,6,44.00434354126652,0.6951291314107924,0.6836215164631438
F568-3,train,li2018_rar_mond,6,9.556197302767696,0.136471177579987,0.02874915602304069
F568-3,train,simple_mond,6,9.515166545259516,0.1362301686925911,0.027756307768809666
F568-3,train,standard_mond,6,11.859151016025027,0.1537911032628127,0.07516484347287167
F568-V1,development,baryons,4,69.23175476641515,1.019117019864537,1.0190482374933911
F568-V1,development,li2018_rar_mond,4,33.84063622367844,0.36077019059393634,0.3605040329961386
F568-V1,development,simple_mond,4,33.76718772273728,0.359790450835402,0.3595260733519643
F568-V1,development,standard_mond,4,37.24082140746696,0.40686010302033376,0.40657312366956805
F571-8,train,baryons,11,59.899422096782025,0.6215427091468887,0.45623015994337474
F571-8,train,li2018_rar_mond,11,27.532744810311037,0.2422492420178593,-0.005992499147427429
F571-8,train,simple_mond,11,27.815271801921345,0.2453444677254805,-0.00975806634900907
F571-8,train,standard_mond,11,27.53919748879196,0.23171411461347535,0.06320315354321937
F571-V1,outside_P0630_split,baryons,5,44.95909118300512,0.7179011833802488,0.7172879462738626
F571-V1,outside_P0630_split,li2018_rar_mond,5,5.5078900350173035,0.05541790584111449,-0.04977156948042789
F571-V1,outside_P0630_split,simple_mond,5,5.555972812486248,0.05590299835650647,-0.05036216042970008
F571-V1,outside_P0630_split,standard_mond,5,2.901266741555055,0.03056728564576124,-0.01333136288085551
F574-1,development,baryons,12,52.13291205437775,0.7522046160510674,0.7498238498917321
F574-1,development,li2018_rar_mond,12,9.356410625357288,0.10373031146787912,0.07458606735333242
