stage,closure,lambda,fold,fit_images,validation_images,fit_RMS_arcsec,fit_roots,validation_RMS_arcsec,validation_roots,optimizer_cost
stage1,multipole_m3,-12.5,0,12,3,0.40111488001135914,12,3.010597390017286,3,24.383703701686322
stage1,multipole_m3,-12.5,1,11,4,0.4062554794825585,11,1.8622870351302596,4,23.163406302965157
stage1,multipole_m3,-12.5,2,12,3,0.4118922625812732,12,1.404053458748081,3,26.88709342399083
stage1,multipole_m3,-12.5,3,13,2,0.3201918800363496,13,1.1699011833168274,2,17.62060639447661
stage1,multipole_m3,-12.5,4,12,3,0.21978346851842898,12,1.9790628447490155,3,8.842907412119231
stage1,multipole_m3,-8.0,0,12,3,0.40270595891015165,12,3.8031294056619966,3,24.9893898183441
stage1,multipole_m3,-8.0,1,11,4,0.4064549279326813,11,2.056455495879588,4,23.08322362717919
stage1,multipole_m3,-8.0,2,12,3,0.40347600233413433,12,1.6276197832878172,3,26.588418486121437
stage1,multipole_m3,-8.0,3,13,2,0.34798327769291465,13,1.1469548199530781,2,20.711612238658066
stage1,multipole_m3,-8.0,4,12,3,0.23521548727263902,12,2.346883211659455,3,10.069762886641843
stage1,multipole_m3,-5.0,0,12,3,0.40501905696592627,12,4.008887323346235,3,25.189704713577605
stage1,multipole_m3,-5.0,1,11,4,0.4066280686066848,11,2.747695702335451,4,22.954905279330823
stage1,multipole_m3,-5.0,2,12,3,0.40064326489688445,12,1.3057568151173855,3,25.476126525710505
stage1,multipole_m3,-5.0,3,13,2,0.36987363555429825,13,1.1332329567430084,2,23.43437909687076
stage1,multipole_m3,-5.0,4,12,3,0.24660732997657825,12,2.5630383651942084,3,11.004705907244754
stage1,multipole_m3,-2.0,0,12,3,0.4025327606609007,12,4.5548019791182535,3,24.538022345568972
stage1,multipole_m3,-2.0,1,11,4,0.40750110971497366,11,2.6419168213793176,4,22.994249061456276
stage1,multipole_m3,-2.0,2,12,3,0.4019920059692064,12,1.277543998950497,3,25.576081448941068
stage1,multipole_m3,-2.0,3,13,2,0.3941182541921923,13,1.1245675793172856,2,26.59925277749923
stage1,multipole_m3,-2.0,4,12,3,0.25839723324202485,12,2.770945545286537,3,11.98075523662498
stage1,multipole_m3,-0.5,0,12,3,0.4047819170747053,12,4.263275820674816,3,24.93556472589042
stage1,multipole_m3,-0.5,1,11,4,0.40794106138170505,11,2.5595172328386435,4,23.029483156980945
stage1,multipole_m3,-0.5,2,12,3,0.40465458008256483,12,1.2061990245970249,3,25.674310800605387
stage1,multipole_m3,-0.5,3,13,2,0.4068543714873118,13,1.1166444123390515,2,28.330124191677353
stage1,multipole_m3,-0.5,4,12,3,0.26413619669254207,12,2.880226520112404,3,12.495529584482975
stage1,multipole_m3,0.5,0,12,3,0.4069459531795261,12,4.397758774565639,3,25.415998061252786
stage1,multipole_m3,0.5,1,11,4,0.4078456827319498,11,2.40627065185799,4,23.03735526314023
stage1,multipole_m3,0.5,2,12,3,0.4066650482308311,12,inf,2,25.871348320078532
stage1,multipole_m3,0.5,3,13,2,0.4156047004829408,13,1.11672733747361,2,29.519685047501003
stage1,multipole_m3,0.5,4,12,3,0.2676615723339045,12,2.9728991175955946,3,12.863997537312207
stage1,multipole_m3,2.0,0,12,3,0.407345388162363,12,4.326741616825041,3,25.133037380439006
