case,domain,cells,cell_kpc,sigma_weighted_mean,tensor_effect_relative_RMS,scalar_newtonian_enhancement_RMS,scalar_normalized_residual_RMS,tensor_normalized_residual_RMS,scalar_converged,tensor_converged,scalar_iterations,tensor_iterations,minimum_constitutive_eigenvalue,tensor_normalized_curl_RMS
CVnIdwA,registered_galaxy_baryons_only,65,0.11410718438405265,0.0007241194440409194,0.00031092604156659863,5.347089123899016,4.476061589895657e-06,4.475631402576898e-06,True,True,12,12,0.0005279753886060192,2.229209975509782e-16
DDO101,registered_galaxy_baryons_only,65,0.14813792082686206,0.0011881618481321115,0.0004506466949933002,6.647128283110045,5.313119802568346e-06,5.319525920589401e-06,True,True,12,12,8.176071762631672e-05,2.500549803039301e-16
DDO126,registered_galaxy_baryons_only,65,0.22690453540566047,0.0016899237835161967,0.0009099301184421403,7.140573532911663,8.369884479535145e-06,8.369340878620294e-06,True,True,11,11,0.0010100240154165357,2.0287819434704468e-16
DDO133,registered_galaxy_baryons_only,65,0.2851490045969207,0.004373634339978163,0.0008564573580323811,6.57472743240729,4.133401876920656e-06,4.130736701248509e-06,True,True,12,12,0.001045470237940426,2.0993384132721951e-16
DDO210,registered_galaxy_baryons_only,65,0.04344171314303513,0.00014376892479410865,7.202123676157163e-05,9.539702043743,7.066639073371466e-06,7.066511918937419e-06,True,True,11,11,0.00039951367489949696,1.3316770350178013e-16
DDO216,registered_galaxy_baryons_only,69,0.08272547059992252,0.0002785020332204378,0.00011826417993836894,9.749380121621108,6.7777415456731495e-06,6.778170131289723e-06,True,True,12,12,0.0007561785314719895,1.4016404215724968e-16
DDO47,registered_galaxy_baryons_only,91,0.391351365955547,0.0061274199376718155,0.003459607627184551,9.548961764022959,7.601529664004569e-06,7.57467203566818e-06,True,True,11,11,0.0006058610810923057,1.527709859167457e-16
DDO50,registered_galaxy_baryons_only,129,0.21575836120636716,0.002048292900537375,0.0011150041281255778,5.531988604026537,4.444298196259927e-06,4.4462620304925156e-06,True,True,11,11,0.0020700903452365235,1.7467293211063014e-16
DDO52,registered_galaxy_baryons_only,65,0.17166397654677024,0.0011126367472740649,0.0003658828001170693,7.453427198037259,4.9608004294805775e-06,4.958222536244366e-06,True,True,11,11,0.0006125068178871066,1.7920169048940176e-16
DDO53,registered_galaxy_baryons_only,81,0.18130162716179044,0.001136375401709067,0.0005091776674098072,7.900545721120263,5.139631087948461e-06,5.126572331159888e-06,True,True,11,11,0.0007075275978574139,1.5798726043958836e-16
DDO87,registered_galaxy_baryons_only,65,0.3510743089274264,0.004256753352703703,0.0020671074418464126,9.550998616823875,4.283440857015498e-06,4.290294549730889e-06,True,True,12,12,0.00014434482922555416,1.309495435684023e-16
NGC1569,registered_galaxy_baryons_only,513,0.08961319349813479,0.00036227086489907666,0.00032467447161171935,2.6161552423837207,8.451356618299433e-06,8.450502896816692e-06,True,True,9,9,0.00019229787523511276,1.964479738978616e-16
UGC8508,registered_galaxy_baryons_only,71,0.09435841563882619,0.0001864004130861342,0.0001011868086593156,5.529013810354791,6.023479881940133e-06,6.026304381002364e-06,True,True,11,11,0.00015315629619569592,1.872432508092169e-16
AS295,registered_cluster_baryons_only,129,28.125,0.097023720053975,0.03286792878049146,2.2464011160651762,9.653411425494658e-06,5.326079434935212e-06,True,True,8,9,0.004454147803660165,2.1424664564448123e-16
MACS0025,registered_cluster_baryons_only,129,28.125,0.16719718139282028,0.048030515415398184,2.057209176686265,8.802258476818076e-06,6.564803767713433e-06,True,True,8,8,0.000617506647713375,1.6589832524369294e-16
MACS0159,registered_cluster_baryons_only,129,28.125,0.03755356419318819,0.015444827726994794,1.588000529147702,4.406920020121889e-06,4.595728850328166e-06,True,True,8,8,0.013683007775665982,1.8763897783673165e-16
PLCKG287,registered_cluster_baryons_only,129,28.125,0.06623096222252374,0.02846988426097262,2.0860295442346737,9.32280105346608e-06,3.784704072901502e-06,True,True,8,9,0.02024503238730614,2.816024735841681e-16
