case,domain,scenario,cells,cell_kpc,stellar_scale_height_kpc,gas_scale_height_kpc,multipole_gate,dipole_squared,quadrupole_squared,local_sigma_mass_weighted_mean,final_sigma_mass_weighted_mean,transverse_mismatch_mass_weighted_mean,survival_mass_weighted_mean,trace_length_mass_weighted_kpc,minimum_constitutive_eigenvalue_proxy,sigma_global_minimum,sigma_global_maximum,component_mass_relative_error,all_coefficients_finite,intensity_gate,amplitude_gate,minimum_constitutive_eigenvalue_conservative_bound
CVnIdwA,registered_galaxy_baryons_only,low,33,0.2282143687681054,0.8636030170271234,1.204972012087867,0.0449028196950887,0.0159068084091256,0.0300353757878436,0.0001852830256334,3.926200200018498e-05,0.0426135473334791,0.0077943187356349,0.8376591083041098,0.0020982958826892,5.4125127587364536e-14,0.00037424595590982465,7.183140095735167e-16,True,0.0449028196950887,0.21190285438164513,9.996257540440901e-07
CVnIdwA,registered_galaxy_baryons_only,nominal,33,0.2282143687681054,0.8636030170271234,1.204972012087867,0.0449028196950887,0.0159068084091256,0.0300353757878436,0.0002465658382251,5.2248004912901634e-05,0.0586885574187056,0.0076676093883747,0.8306401773360419,0.0021667943457613,7.419922383256457e-14,0.0004632139890778877,7.183140095735167e-16,True,0.0449028196950887,0.21190285438164513,9.99536786010922e-07
CVnIdwA,registered_galaxy_baryons_only,high,33,0.2282143687681054,0.8636030170271234,1.204972012087867,0.0449028196950887,0.0159068084091256,0.0300353757878436,0.0003104340511185,6.578186152926768e-05,0.078888641148048,0.0074277370363721,0.8165649094439016,0.0023037730026322,9.886481977710438e-14,0.0005410688887541066,7.183140095735167e-16,True,0.0449028196950887,0.21190285438164513,9.994589311112458e-07
DDO101,registered_galaxy_baryons_only,low,33,0.296275841653724,2.0171528081785106,1.980475920425084,0.0063700316954859,0.0028600291065783,0.0035303778141171,0.0004690999136984,3.74400266916895e-05,0.0373182758493616,0.0231904056544363,1.4577543266391702,0.000863784109615,7.394048603594449e-13,0.0002506430630828896,3.6569527706976213e-16,True,0.0063700316954859,0.07981247831940755,9.997493569369172e-07
DDO101,registered_galaxy_baryons_only,nominal,33,0.296275841653724,2.0171528081785106,1.980475920425084,0.0063700316954859,0.0028600291065783,0.0035303778141171,0.0004407897031431,3.518051862552676e-05,0.035692331641702,0.0228763098507168,1.444379778577784,0.0016074488418756,7.700745976641575e-13,0.00024327012690615504,3.6569527706976213e-16,True,0.0063700316954859,0.07981247831940755,9.997567298730938e-07
DDO101,registered_galaxy_baryons_only,high,33,0.296275841653724,2.0171528081785106,1.980475920425084,0.0063700316954859,0.0028600291065783,0.0035303778141171,0.0003690482876125,2.945465845388714e-05,0.0306829106251629,0.0225083440076645,1.42804021137785,0.0030919890346364,7.07269625445934e-13,0.00020685181690912913,3.6569527706976213e-16,True,0.0063700316954859,0.07981247831940755,9.997931481830907e-07
DDO126,registered_galaxy_baryons_only,low,33,0.4538090708113212,2.211031329975282,2.7768165675022485,0.0183627975076412,0.0040490913227828,0.0144843951312424,0.0005734376035462,7.770618563477973e-05,0.0231422905624672,0.0410399085875504,1.9455571250497348,0.0012901363616258,1.3582966831866138e-10,0.0005559634498843793,2.503686313572835e-16,True,0.0183627975076412,0.1355094000711434,9.994440365501155e-07
DDO126,registered_galaxy_baryons_only,nominal,33,0.4538090708113212,2.211031329975282,2.7768165675022485,0.0183627975076412,0.0040490913227828,0.0144843951312424,0.0007007956778036,9.496440187161614e-05,0.0284756259142852,0.0396550416982413,1.91098142530182,0.0015098047960776,1.6793605265932394e-10,0.0006834377316784583,2.503686313572835e-16,True,0.0183627975076412,0.1355094000711434,9.993165622683215e-07
DDO126,registered_galaxy_baryons_only,high,33,0.4538090708113212,2.211031329975282,2.7768165675022485,0.0183627975076412,0.0040490913227828,0.0144843951312424,0.0007676395192435,0.00010402237072358761,0.0321307723095964,0.0372445101643537,1.846631516680745,0.0017717457730335,1.895078720151084e-10,0.0007597109620495079,2.503686313572835e-16,True,0.0183627975076412,0.1355094000711434,9.992402890379505e-07
DDO133,registered_galaxy_baryons_only,low,33,0.5702980091938404,2.9930945550628967,3.897639714026244,0.0138917836460074,0.0033398281172265,0.0106493493901675,0.0015285995222156,0.00018016595369884267,0.0394552978938768,0.0789773696380821,2.724523862947022,0.0014323461910116,5.857762631227625e-11,0.0010138799857732051,1.4504325529718034e-15,True,0.0138917836460074,0.11786341097222411,9.989861200142267e-07
DDO133,registered_galaxy_baryons_only,nominal,33,0.5702980091938404,2.9930945550628967,3.897639714026244,0.0138917836460074,0.0033398281172265,0.0106493493901675,0.0018664905018817,0.00021999093709903564,0.0478361488140344,0.076244682211153,2.677192476503626,0.0016116687502162,7.221572136994464e-11,0.001211716105146121,1.4504325529718034e-15,True,0.0138917836460074,0.11786341097222411,9.98788283894854e-07
DDO133,registered_galaxy_baryons_only,high,33,0.5702980091938404,2.9930945550628967,3.897639714026244,0.0138917836460074,0.0033398281172265,0.0106493493901675,0.0020511450550401,0.00024175495258583655,0.0530066908358795,0.0717360901643013,2.594071071912058,0.0024788352417622,8.10957029855154e-11,0.0012905198851240216,1.4504325529718034e-15,True,0.0138917836460074,0.11786341097222411,9.987094801148758e-07
DDO210,registered_galaxy_baryons_only,low,33,0.0868834262860703,0.7656283344775086,0.4635841483751274,0.021845251177701,0.0122622635982303,0.009825127986465,3.829742336317561e-05,5.660412444296547e-06,0.0571405031752288,0.0011707038081473,0.317096999813836,0.0005537798459629,3.071461859025331e-11,0.000379558996818315,1.7178187557734773e-15,True,0.021845251177701,0.1478013909870303,9.996204410031817e-07
DDO210,registered_galaxy_baryons_only,nominal,33,0.0868834262860703,0.7656283344775086,0.4635841483751274,0.021845251177701,0.0122622635982303,0.009825127986465,5.2139530819344274e-05,7.70629518051022e-06,0.0728232093748536,0.0013112122619277,0.3348801489035088,0.0006455404228633,3.464761268762614e-11,0.00040581848642556607,1.7178187557734773e-15,True,0.021845251177701,0.1478013909870303,9.995941815135744e-07
DDO210,registered_galaxy_baryons_only,high,33,0.0868834262860703,0.7656283344775086,0.4635841483751274,0.021845251177701,0.0122622635982303,0.009825127986465,6.206530574733341e-05,9.173338521491204e-06,0.0858960963125396,0.0015053361534036,0.3570074874755013,0.000828915284656,3.398494852448789e-11,0.0004099658930898642,1.7178187557734773e-15,True,0.021845251177701,0.1478013909870303,9.995900341069102e-07
DDO216,registered_galaxy_baryons_only,low,33,0.1757916250248351,1.3351180436972176,0.8247617746376312,0.0065258182410585,0.0001603330652473,0.0063868714202729,8.326451294422642e-05,6.726318575492942e-06,0.0460149171846265,0.0054472825809315,0.6846906922037831,0.0004455408038238,7.838295611687043e-12,0.0001493927889404106,4.549292902148281e-16,True,0.0065258182410585,0.08078253673324762,9.998506072110595e-07
DDO216,registered_galaxy_baryons_only,nominal,33,0.1757916250248351,1.3351180436972176,0.8247617746376312,0.0065258182410585,0.0001603330652473,0.0063868714202729,8.98930596429237e-05,7.261789392668502e-06,0.0447217325044148,0.0063648272776864,0.7413817431222214,0.0006557540434553,7.100516103187033e-12,0.00014979803971839145,4.549292902148281e-16,True,0.0065258182410585,0.08078253673324762,9.998502019602815e-07
DDO216,registered_galaxy_baryons_only,high,33,0.1757916250248351,1.3351180436972176,0.8247617746376312,0.0065258182410585,0.0001603330652473,0.0063868714202729,8.589675328391476e-05,6.938957627424552e-06,0.0391252258653151,0.0071861926063087,0.7895670237732906,0.0010759175665127,5.823261928253426e-12,0.00011262665835857126,4.549292902148281e-16,True,0.0065258182410585,0.08078253673324762,9.998873733416414e-07
DDO47,registered_galaxy_baryons_only,low,33,1.100675716749972,6.4442531811900325,6.4473328295877534,0.001304085481992,0.0004973835964997,0.0008075529449477,0.0021365260774686,7.715449411224141e-05,0.0248096724692039,0.1776361885694103,4.245131841274584,0.0006023360020528,1.4362271066837665e-11,0.0006606657938297517,1.6200905006564158e-16,True,0.001304085481992,0.036112123753554014,9.993393342061702e-07
DDO47,registered_galaxy_baryons_only,nominal,33,1.100675716749972,6.4442531811900325,6.4473328295877534,0.001304085481992,0.0004973835964997,0.0008075529449477,0.0028407126279804,0.00010258416596991185,0.0324378063018296,0.1780815291881446,4.253797563635302,0.0006594574946472,1.9118292423581828e-11,0.000901226613099347,1.6200905006564158e-16,True,0.001304085481992,0.036112123753554014,9.990987733869007e-07
DDO47,registered_galaxy_baryons_only,high,33,1.100675716749972,6.4442531811900325,6.4473328295877534,0.001304085481992,0.0004973835964997,0.0008075529449477,0.0035749711563476,0.00012909980081341063,0.0400089068222886,0.1781759395538504,4.2578089445669445,0.000737172319758,2.4194235592776818e-11,0.0011706231587375686,1.6200905006564158e-16,True,0.001304085481992,0.036112123753554014,9.988293768412622e-07
DDO50,registered_galaxy_baryons_only,low,33,0.8630334448254717,3.2235079890737,4.738072357190486,0.0011313966595272,4.1409439041556565e-05,0.0010906277328475,0.0012677481979983,4.264228299022089e-05,0.0273857512275567,0.1178238853791945,3.3858956459962326,0.0018935629626078,1.1505997427961374e-12,0.0005127343090740728,3.9765851344666633e-16,True,0.0011313966595272,0.03363624027038694,9.994872656909258e-07
DDO50,registered_galaxy_baryons_only,nominal,33,0.8630334448254717,3.2235079890737,4.738072357190486,0.0011313966595272,4.1409439041556565e-05,0.0010906277328475,0.0015545419486047,5.2288946493663195e-05,0.0330623362488124,0.112152331995043,3.295522450189601,0.0020797898903671,1.404758861383871e-12,0.0005341173797052924,3.9765851344666633e-16,True,0.0011313966595272,0.03363624027038694,9.994658826202945e-07
DDO50,registered_galaxy_baryons_only,high,33,0.8630334448254717,3.2235079890737,4.738072357190486,0.0011313966595272,4.1409439041556565e-05,0.0010906277328475,0.0016829369977704,5.660767321692883e-05,0.0367591330390421,0.1021809137110767,3.1265341876898005,0.0024520357854169,1.5557275231186161e-12,0.0005313149104050071,3.9765851344666633e-16,True,0.0011313966595272,0.03363624027038694,9.994686850895948e-07
DDO52,registered_galaxy_baryons_only,low,33,0.3433279530935404,1.4464004795284853,2.4044735405665465,0.0058955446363898,0.001895657817387,0.0040173341504266,0.0003515469061298,2.6992632761766603e-05,0.0263145793591378,0.0322719598713084,1.7219466427214591,0.0015861484466628,3.007374796297689e-12,0.0002354911390922672,1.3162282551744147e-16,True,0.0058955446363898,0.0767824500546173,9.997645088609077e-07
DDO52,registered_galaxy_baryons_only,nominal,33,0.3433279530935404,1.4464004795284853,2.4044735405665465,0.0058955446363898,0.001895657817387,0.0040173341504266,0.0004169730355025,3.201621127259287e-05,0.032644132452438,0.0303037435838914,1.6630015185661244,0.0017196198804771,3.922935952374383e-12,0.0002702776153880727,1.3162282551744147e-16,True,0.0058955446363898,0.0767824500546173,9.997297223846118e-07
DDO52,registered_galaxy_baryons_only,high,33,0.3433279530935404,1.4464004795284853,2.4044735405665465,0.0058955446363898,0.001895657817387,0.0040173341504266,0.0004311210701177,3.310253203380546e-05,0.0376119698550352,0.0267770269143717,1.550405846547562,0.0019860470666387,4.801637839540378e-12,0.00032255261162989277,1.3162282551744147e-16,True,0.0058955446363898,0.0767824500546173,9.9967744738837e-07
DDO53,registered_galaxy_baryons_only,low,33,0.4532540679044771,2.1726098628132737,1.821127389776359,0.0097697779001133,0.0025877467343279,0.0072300685785266,0.0003535794663439,3.494856767658183e-05,0.0316341681813147,0.0161863400019887,1.1867904404958831,0.0005022139219005,4.296509898827795e-12,0.0006593437014764601,4.596606845916879e-16,True,0.0097697779001133,0.098842186844046,9.993406562985234e-07
DDO53,registered_galaxy_baryons_only,nominal,33,0.4532540679044771,2.1726098628132737,1.821127389776359,0.0097697779001133,0.0025877467343279,0.0072300685785266,0.000491317898862,4.85629355591419e-05,0.0411895733671901,0.0168597032498185,1.212563924097195,0.000553772866607,5.587870264163407e-12,0.000870118993951195,4.596606845916879e-16,True,0.0097697779001133,0.098842186844046,9.991298810060488e-07
DDO53,registered_galaxy_baryons_only,high,33,0.4532540679044771,2.1726098628132737,1.821127389776359,0.0097697779001133,0.0025877467343279,0.0072300685785266,0.000649408632511,6.418896939278867e-05,0.0503270915058456,0.0178662446345353,1.2499447428189574,0.0006568813625995,6.805209569152837e-12,0.0010830585951766458,4.596606845916879e-16,True,0.0097697779001133,0.098842186844046,9.989169414048233e-07
DDO87,registered_galaxy_baryons_only,low,33,0.7021486178548519,3.106950026811304,4.530356981991219,0.0243916769433062,0.0112616959423824,0.0134323855159567,0.003252460838894,0.0005079639665769237,0.0656541753556065,0.0987980911722985,3.0579478554111024,0.0006908282688583,5.7367477398820666e-12,0.003919465479531873,1.0383722972383145e-15,True,0.0243916769433062,0.1561783497905718,9.96080534520468e-07
DDO87,registered_galaxy_baryons_only,nominal,33,0.7021486178548519,3.106950026811304,4.530356981991219,0.0243916769433062,0.0112616959423824,0.0134323855159567,0.0040873424778314,0.0006383544032166149,0.0828808063823778,0.0958210223842117,3.005549229183602,0.000739280308164,7.879014201106702e-12,0.004578581491154722,1.0383722972383145e-15,True,0.0243916769433062,0.1561783497905718,9.95421418508845e-07
DDO87,registered_galaxy_baryons_only,high,33,0.7021486178548519,3.106950026811304,4.530356981991219,0.0243916769433062,0.0112616959423824,0.0134323855159567,0.0046566213383425,0.0007272634362218956,0.0976587297645003,0.089873188696074,2.89448808986819,0.0008361690422917,1.027697049984325e-11,0.005348001743685488,1.0383722972383145e-15,True,0.0243916769433062,0.1561783497905718,9.946519982563144e-07
NGC1569,registered_galaxy_baryons_only,low,33,1.4338110959701524,1.449871436326227,3.7760423266710648,0.0187174795713916,0.0066192197476128,0.0122756488490124,0.0009974078617353,0.00013645720482073913,0.0354502013896022,0.0359936392284493,1.7242486604749043,0.0002945599661684,1.757649423466769e-10,0.0008699893846686695,1.6331714371881702e-16,True,0.0187174795713916,0.13681184002633542,9.991300106153312e-07
NGC1569,registered_galaxy_baryons_only,nominal,33,1.4338110959701524,1.449871436326227,3.7760423266710648,0.0187174795713916,0.0066192197476128,0.0122756488490124,0.0006991713782986,9.565492275878051e-05,0.0283918507365695,0.0306482839118022,1.5893453253392795,0.0004596440777594,1.564985496565716e-10,0.0007761256052009855,1.6331714371881702e-16,True,0.0187174795713916,0.13681184002633542,9.99223874394799e-07
