predictor,target,samples,spearman_rho,p_value
stellar_surface_density,required_deflection_magnitude,92,-0.7920872955936069,5.3442561012736965e-21
stellar_surface_density,required_positive_convergence,92,0.8213707750874651,1.155086677351709e-23
stellar_surface_density,required_deflection_to_scalar_ratio,92,0.056640414284173046,0.5917660434112337
stellar_surface_density,required_angular_residual_magnitude,92,-0.14351987423516174,0.17230023968864117
gas_surface_density,required_deflection_magnitude,92,-0.8879983971148067,4.065434007652275e-32
gas_surface_density,required_positive_convergence,92,0.9526994744386049,2.464559698271813e-48
gas_surface_density,required_deflection_to_scalar_ratio,92,0.08475255459827688,0.4218303302040908
gas_surface_density,required_angular_residual_magnitude,92,-0.0790037452029037,0.4541057761388191
total_surface_density,required_deflection_magnitude,92,-0.8799377340751815,7.718713731986971e-31
total_surface_density,required_positive_convergence,92,0.9279934651603656,2.326997355387245e-40
total_surface_density,required_deflection_to_scalar_ratio,92,0.07547431530601235,0.4745799761725211
total_surface_density,required_angular_residual_magnitude,92,-0.08812786091888476,0.4035137149511281
gas_fraction,required_deflection_magnitude,92,0.7093845845599,2.484941064456451e-15
gas_fraction,required_positive_convergence,92,-0.728418846230908,1.8916323611981821e-16
gas_fraction,required_deflection_to_scalar_ratio,92,-0.057842578179184076,0.5839118427400145
gas_fraction,required_angular_residual_magnitude,92,0.16653052417428296,0.11261110006022645
compound_sigma_LOS_mass_weighted,required_deflection_magnitude,92,0.14139296888244993,0.1788139124498306
compound_sigma_LOS_mass_weighted,required_positive_convergence,92,-0.1010280042538107,0.33794582605899715
compound_sigma_LOS_mass_weighted,required_deflection_to_scalar_ratio,92,0.20700337530632057,0.04771927825175356
compound_sigma_LOS_mass_weighted,required_angular_residual_magnitude,92,0.47964798175176854,1.3140178918541328e-06
Newtonian_acceleration_LOS_mass_weighted,required_deflection_magnitude,92,0.6788372917405174,1.0339570412255382e-13
Newtonian_acceleration_LOS_mass_weighted,required_positive_convergence,92,-0.5671285236502627,3.769986557949571e-09
Newtonian_acceleration_LOS_mass_weighted,required_deflection_to_scalar_ratio,92,-0.08418229736602809,0.42497155719437274
Newtonian_acceleration_LOS_mass_weighted,required_angular_residual_magnitude,92,-0.1825285513925065,0.08160003661746369
tidal_trace_length_LOS_mass_weighted,required_deflection_magnitude,92,0.9298737727910238,7.376913290094235e-41
tidal_trace_length_LOS_mass_weighted,required_positive_convergence,92,-0.9582941602576946,9.661859586549339e-51
tidal_trace_length_LOS_mass_weighted,required_deflection_to_scalar_ratio,92,-0.025230029437603066,0.8113171432486211
tidal_trace_length_LOS_mass_weighted,required_angular_residual_magnitude,92,0.055484487462047066,0.5993628269093424
component_mismatch_LOS_mass_weighted,required_deflection_magnitude,92,-0.5903857713114375,5.8686989080299e-10
component_mismatch_LOS_mass_weighted,required_positive_convergence,92,0.6229212582648768,3.348498918963347e-11
component_mismatch_LOS_mass_weighted,required_deflection_to_scalar_ratio,92,0.09404620624816978,0.37255135786073423
component_mismatch_LOS_mass_weighted,required_angular_residual_magnitude,92,0.1783826271904813,0.08889300504545534
absolute_scalar_deflection_magnitude,required_deflection_magnitude,92,0.9111477582725829,2.048248871514697e-36
absolute_scalar_deflection_magnitude,required_positive_convergence,92,-0.9416642263767089,2.421165655186793e-44
absolute_scalar_deflection_magnitude,required_deflection_to_scalar_ratio,92,-0.17864463727016322,0.08841732830603466
absolute_scalar_deflection_magnitude,required_angular_residual_magnitude,92,-0.014148544302822004,0.8935138656878923
