p_infinity,transition_power_n,chi_t,galaxy_equal_RMSE_km_s,cluster_all5_log_RMS_dex,cluster_reliable3_log_RMS_dex,cluster_all6_stress_log_RMS_dex,solar_solar_limb_fractional_force_change,solar_Mercury_fractional_force_change,solar_Earth_fractional_force_change,solar_Saturn_fractional_force_change,is_primary_dimension_fixed_formula,galaxy_ratio_to_fixed_RAR,all5_gap_fraction_closed_from_fixed_RAR,galaxy_gate_pass,solar_gate_pass,all5_cluster_gate_pass,reliable3_cluster_gate_pass,gap_closed_gate_pass,selected_primary_row
2.0,1.0,3e-07,37.431611673954045,0.22343267870439437,0.18674587809141374,0.21064396537719332,0.0,0.0,0.0,0.0,False,3.4262263879275987,0.6167420982485954,False,True,False,True,False,False
2.0,1.0,5e-07,28.06310102086676,0.25698701061420776,0.21158928926223344,0.24293364244109858,0.0,0.0,0.0,0.0,False,2.5686988335497145,0.559185777852691,False,True,False,False,False,False
2.0,1.0,8e-07,21.571185882891232,0.29164622061004664,0.2380700032779686,0.27624400644230984,0.0,0.0,0.0,0.0,False,1.9744745947522295,0.4997342411464569,False,True,False,False,False,False
2.0,1.0,1e-06,19.208415668679784,0.3092829945058179,0.25193005862617335,0.2931978759123692,0.0,0.0,0.0,0.0,False,1.7582032322724355,0.46948158072027046,False,True,False,False,False,False
2.0,1.0,1.5e-06,15.985900708077898,0.3428914549308386,0.2792225950142073,0.3255611016273733,0.0,0.0,0.0,0.0,False,1.4632368843182455,0.41183241275487203,False,True,False,False,False,False
2.0,1.0,2e-06,14.41181655759581,0.3675299650949708,0.30009800335743064,0.3493772067366044,0.0,0.0,0.0,0.0,False,1.319156295425167,0.36956955415002524,False,True,False,False,False,False
2.0,1.0,3e-06,12.94906269353876,0.4023886358755529,0.33113283684701666,0.38329608508163693,0.0,0.0,0.0,0.0,False,1.1852660977032607,0.30977587894245084,False,True,False,False,False,False
2.0,1.0,5e-06,11.940283352942354,0.4444149569048437,0.3713035791017477,0.42474215279966765,0.0,0.0,0.0,0.0,False,1.0929295339866467,0.2376874104631973,False,True,False,False,False,False
2.0,1.0,8e-06,11.473237367087965,0.47896120822233723,0.4069167299043085,0.4595132207000296,0.0,0.0,0.0,0.0,False,1.0501794302762197,0.1784296337131983,False,True,False,False,False,False
2.0,1.0,1e-05,11.33829409951793,0.4934782431178047,0.4226374030060811,0.4743887278825971,0.0,0.0,0.0,0.0,False,1.0378276729367584,0.15352831504329256,True,True,False,False,False,False
2.0,1.0,2e-05,11.104587984756119,0.5297833202167003,0.4639775013315873,0.5125355370357724,0.0,0.0,0.0,0.0,False,1.0164358593971312,0.09125359429729796,True,True,False,False,False,False
2.0,2.0,3e-07,32.971991741151015,0.18996489097072217,0.16138730682571442,0.17782028206009814,0.0,0.0,0.0,0.0,False,3.0180241542917527,0.6741499679364431,False,True,True,True,False,False
2.0,2.0,5e-07,20.032946764564443,0.22367368005655092,0.1841410019015251,0.2101170748941819,0.0,0.0,0.0,0.0,False,1.8336750079200925,0.6163287045002754,False,True,False,True,False,False
2.0,2.0,8e-07,13.936935618362412,0.2615340270330436,0.2097060456098706,0.24619065232172932,0.0,0.0,0.0,0.0,False,1.2756890352041101,0.551386202687512,False,True,False,False,False,False
2.0,2.0,1e-06,12.578545681638646,0.2824367871342283,0.22386946092894558,0.2660072511632836,0.0,0.0,0.0,0.0,False,1.1513515771529317,0.5155313401685341,False,True,False,False,False,False
2.0,2.0,1.5e-06,11.465392492186336,0.32600764478496513,0.2540469449651102,0.30715022976272255,0.0,0.0,0.0,0.0,False,1.0494613656192107,0.44079350156067565,True,True,False,False,False,False
2.0,2.0,2e-06,11.177044578211868,0.36097697985206967,0.2796321734041435,0.340118747068377,0.0,0.0,0.0,0.0,False,1.0230680262041558,0.38081000200646864,True,True,False,False,False,False
2.0,2.0,3e-06,11.018185835763818,0.4130085180247772,0.3218245784068286,0.3894010337876233,0.0,0.0,0.0,0.0,False,1.0085272145482358,0.2915594131463092,True,True,False,False,False,False
2.0,2.0,5e-06,10.954790502481957,0.4743180951519126,0.3820796206282946,0.44874354124873905,0.0,0.0,0.0,0.0,False,1.0027244517483398,0.18639404511122748,True,True,False,False,False,False
2.0,2.0,8e-06,10.93612837410186,0.5192431755131582,0.4368016751901088,0.49460023407590353,0.0,0.0,0.0,0.0,False,1.0010162518111387,0.10933328508675566,True,True,False,False,False,False
2.0,2.0,1e-05,10.932053113295801,0.5357719196073434,0.4593978184685339,0.5125524991562611,0.0,0.0,0.0,0.0,False,1.0006432311078617,0.08098124716259714,True,True,False,False,False,False
2.0,2.0,2e-05,10.92675638218361,0.5675250951195164,0.5059075161994198,0.5504794780597829,0.0,0.0,0.0,0.0,False,1.0001584056062398,0.026514481193952943,True,True,False,False,False,False
2.0,4.0,3e-07,32.00094509319662,0.17268873877523438,0.14973219370530225,0.16097896923939875,0.0,0.0,0.0,0.0,False,2.9291413757966707,0.7037840477817667,False,True,True,True,False,False
2.0,4.0,5e-07,15.43060301042999,0.20482927524125646,0.17108655710360274,0.19176122167891202,0.0,0.0,0.0,0.0,False,1.412408839792432,0.6486528349325074,False,True,False,True,False,False
2.0,4.0,8e-07,11.338856083912523,0.24102835524895017,0.1949699821487848,0.22633750126042135,0.0,0.0,0.0,0.0,False,1.0378791130344793,0.5865599328130511,True,True,False,True,False,False
2.0,4.0,1e-06,11.041534847580241,0.26133255050004245,0.20797457756159105,0.2456250491811492,0.0,0.0,0.0,0.0,False,1.0106644188213054,0.5517317988363741,True,True,False,False,False,False
2.0,4.0,1.5e-06,10.939311450389605,0.3066327307290337,0.23580454733977813,0.2882873120554632,0.0,0.0,0.0,0.0,False,1.0013076082204446,0.47402762358234407,True,True,False,False,False,False
2.0,4.0,2e-06,10.928972453079462,0.34819558818667085,0.2611860349886731,0.3270472211565407,0.0,0.0,0.0,0.0,False,1.0003612491451987,0.4027341421078571,True,True,False,False,False,False
2.0,4.0,3e-06,10.925761230945414,0.4180060906627888,0.3091779416075964,0.3919024260577093,0.0,0.0,0.0,0.0,False,1.0000673164631382,0.28298699117920467,True,True,False,False,False,False
2.0,4.0,5e-06,10.925119862844713,0.49412344353527615,0.38429639548929123,0.4639037357207463,0.0,0.0,0.0,0.0,False,1.000008610139453,0.1524215917132805,True,True,False,False,False,False
2.0,4.0,8e-06,10.925040126107229,0.5426908771970931,0.4586050069826544,0.5135503386318903,0.0,0.0,0.0,0.0,False,1.00000131159948,0.0691130406695678,True,True,False,False,False,False
2.0,4.0,1e-05,10.925031665064513,0.5596858471236852,0.48832750119004326,0.5333522279797097,0.0,0.0,0.0,0.0,False,1.0000005371351561,0.03996127758744794,True,True,False,False,False,False
2.0,4.0,2e-05,10.925026163569907,0.5808363658919397,0.5258545943195849,0.5667146036675826,0.0,0.0,0.0,0.0,False,1.000000033567045,0.0036814303821094407,True,True,False,False,False,False
3.0,1.0,3e-07,79.34707827197379,0.27141824696760625,0.31712448061549825,0.2901079477221109,0.0,0.0,0.0,0.0,False,7.262873310089442,0.5344316308919433,False,True,False,False,False,False
3.0,1.0,5e-07,55.41461577288869,0.20192156743048495,0.24917203933654336,0.21627062325315152,0.0,0.0,0.0,0.0,False,5.072264066311954,0.65364047595675,False,True,False,False,False,False
3.0,1.0,8e-07,39.14509775908512,0.16158986436623893,0.19768985707001235,0.16836066610795308,0.0,0.0,0.0,0.0,False,3.5830668491762365,0.7228221372074488,False,True,True,True,False,False
3.0,1.0,1e-06,33.19529768745236,0.1555664111224255,0.17856863639349105,0.1568805615333611,0.0,0.0,0.0,0.0,False,3.0384640095793944,0.7331542697536277,False,True,True,True,False,False
3.0,1.0,1.5e-06,24.909766961125225,0.17056738293599535,0.1578627027110489,0.1610602746455315,0.0,0.0,0.0,0.0,False,2.2800648185480292,0.7074228457970315,False,True,True,True,False,False
3.0,1.0,2e-06,20.70901777688421,0.19769901626294337,0.15807409134379727,0.18207349063681982,0.0,0.0,0.0,0.0,False,1.8955577919877287,0.6608834903174694,False,True,True,True,False,False
3.0,1.0,3e-06,16.641323244319203,0.24865305582783484,0.18069418409054072,0.22736102055638216,0.0,0.0,0.0,0.0,False,1.5232296521550353,0.5734811532795872,False,True,False,True,False,False
3.0,1.0,5e-06,13.721589980334667,0.3197654030676026,0.23481802882485436,0.2948016683371641,0.0,0.0,0.0,0.0,False,1.255977810532233,0.4515009257239361,False,True,False,False,False,False
3.0,1.0,8e-06,12.362330659285409,0.3822758048587511,0.2944528010655046,0.3563718108413057,0.0,0.0,0.0,0.0,False,1.131560775156327,0.34427576256949355,False,True,False,False,False,False
3.0,1.0,1e-05,11.978680280733755,0.4092769070522063,0.3226901896279496,0.38359903338121176,0.0,0.0,0.0,0.0,False,1.096444118620623,0.2979603093795419,False,True,False,False,False,False
3.0,1.0,2e-05,11.345209364265612,0.4783447860472442,0.4003613953686132,0.4553314210014617,0.0,0.0,0.0,0.0,False,1.0384606476204132,0.17948699323101425,True,True,False,False,False,False
3.0,2.0,3e-07,69.63916627009777,0.3707360411230733,0.4163064678946704,0.3969982760595181,0.0,0.0,0.0,0.0,False,6.374279344052684,0.36407011701078884,False,True,False,False,False,False
3.0,2.0,5e-07,36.16212611374671,0.2756256218332825,0.328099021938757,0.29742798772063095,0.0,0.0,0.0,0.0,False,3.3100266110288135,0.5272146487018222,False,True,False,False,False,False
3.0,2.0,8e-07,19.86060703428526,0.2076145004158597,0.26118312550398637,0.2235829338571563,0.0,0.0,0.0,0.0,False,1.8179002414816563,0.6438752904725231,False,True,False,False,False,False
3.0,2.0,1e-06,15.89041627441544,0.18700284770666795,0.23447840086670288,0.19839837031192922,0.0,0.0,0.0,0.0,False,1.454496911027748,0.679230811494606,False,True,True,False,False,False
3.0,2.0,1.5e-06,12.468274999725653,0.18458818677110944,0.19741898572319155,0.18288514460417224,0.0,0.0,0.0,0.0,False,1.1412581747240973,0.6833727207666493,False,True,True,True,False,False
3.0,2.0,2e-06,11.592437735314533,0.21491783558156752,0.1852813207313523,0.20262262484696092,0.0,0.0,0.0,0.0,False,1.0610901933666783,0.6313477545380879,False,True,False,True,False,False
3.0,2.0,3e-06,11.145902353408854,0.28667786212294527,0.1987149172503267,0.26262410678280484,0.0,0.0,0.0,0.0,False,1.0202174860423197,0.5082565515799924,True,True,False,True,False,False
3.0,2.0,5e-06,10.989171783228109,0.38558890693356307,0.2654698723550915,0.35281356181945583,0.0,0.0,0.0,0.0,False,1.0058714723032995,0.33859274181870813,True,True,False,False,False,False
3.0,2.0,8e-06,10.947942145457565,0.4625550025891196,0.35259267454040294,0.4280848565605257,0.0,0.0,0.0,0.0,False,1.0020976013269551,0.20657147931586395,True,True,False,False,False,False
3.0,2.0,1e-05,10.939372358403073,0.4923090559447454,0.393248574607706,0.4593026878663635,0.0,0.0,0.0,0.0,False,1.0013131833114879,0.1555338418323895,True,True,False,False,False,False
3.0,2.0,2e-05,10.928505264433472,0.5524061005984117,0.4824250515290175,0.5294991562356638,0.0,0.0,0.0,0.0,False,1.0003184859833831,0.05244835152281291,True,True,False,False,False,False
3.0,4.0,3e-07,69.19504438347134,0.4533195828660091,0.4979017967864105,0.4859086444123371,0.0,0.0,0.0,0.0,False,6.33362755110639,0.2224131529931318,False,True,False,False,False,False
3.0,4.0,5e-07,24.962818692818484,0.3379315618924545,0.3892552778670643,0.3656642746660678,0.0,0.0,0.0,0.0,False,2.284920800829422,0.4203402022591882,False,True,False,False,False,False
3.0,4.0,8e-07,12.298664485534303,0.25047654477979586,0.30717409950437974,0.2726870060015827,0.0,0.0,0.0,0.0,False,1.1257332215253353,0.5703532914392873,False,True,False,False,False,False
3.0,4.0,1e-06,11.277514470246668,0.21805244674006624,0.2744690590355767,0.23658063237517604,0.0,0.0,0.0,0.0,False,1.0322643332795842,0.6259709023140576,True,True,False,False,False,False
3.0,4.0,1.5e-06,10.959115180119905,0.19090817961107803,0.22726189825879375,0.19761574447272498,0.0,0.0,0.0,0.0,False,1.0031203023136717,0.6725319287707083,True,True,True,False,False,False
3.0,4.0,2e-06,10.933488731737178,0.21745792521132878,0.20863650594443248,0.21068465116789672,0.0,0.0,0.0,0.0,False,1.000774637519899,0.626990695277966,True,True,False,False,False,False
3.0,4.0,3e-06,10.92651914997175,0.31795367602213076,0.2218128188341901,0.29309335869066944,0.0,0.0,0.0,0.0,False,1.000136691038579,0.45460861216452364,True,True,False,False,False,False
3.0,4.0,5e-06,10.925214307445893,0.4371389851509884,0.29147985752621713,0.39911818569000335,0.0,0.0,0.0,0.0,False,1.0000172549337936,0.25016800946847706,True,True,False,False,False,False
3.0,4.0,8e-06,10.925054464183265,0.5085198801018463,0.39471249853326706,0.46753171577531827,0.0,0.0,0.0,0.0,False,1.0000026240060869,0.12772713742308817,True,True,False,False,False,False
3.0,4.0,1e-05,10.925037534759394,0.5380700553111147,0.4485581494034319,0.49980024554013586,0.0,0.0,0.0,0.0,False,1.0000010744057302,0.07703921561701155,True,True,False,False,False,False
3.0,4.0,2e-05,10.925026530296517,0.5786976927383061,0.5220511296736126,0.561309740684858,0.0,0.0,0.0,0.0,False,1.0000000671346188,0.007349933083444782,True,True,False,False,False,False
4.0,1.0,3e-07,133.646684821072,0.7261848798266168,0.7905836587157128,0.7745349880279185,0.0,0.0,0.0,0.0,False,12.233077276542222,-0.24563736575956518,False,True,False,False,False,False
4.0,1.0,5e-07,89.08060308683054,0.5613513709820418,0.6320644331220191,0.6018252488903074,0.0,0.0,0.0,0.0,False,8.153811692831205,0.03710437597855132,False,True,False,False,False,False
4.0,1.0,8e-07,60.18462834822658,0.4300039239075072,0.5073160161691271,0.46477284818580006,0.0,0.0,0.0,0.0,False,5.508877458722765,0.26240690226115704,False,True,False,False,False,False
4.0,1.0,1e-06,49.87053321360003,0.3738901171287512,0.4531238996880711,0.4063158247690504,0.0,0.0,0.0,0.0,False,4.564797753428039,0.3586598764009098,False,True,False,False,False,False
4.0,1.0,1.5e-06,35.648688984396024,0.28451583071636616,0.36090366127466483,0.3120473627801745,0.0,0.0,0.0,0.0,False,3.263030188420936,0.5119651210927916,False,True,False,False,False,False
4.0,1.0,2e-06,28.431265908298982,0.2360293501079996,0.3005612787476407,0.2578014403685176,0.0,0.0,0.0,0.0,False,2.6023980571742853,0.5951348119769891,False,True,False,False,False,False
4.0,1.0,3e-06,21.335371505034903,0.20384495346826895,0.22786628351793972,0.21078301530792232,0.0,0.0,0.0,0.0,False,1.9528898056413113,0.650341258933647,False,True,False,False,False,False
4.0,1.0,5e-06,16.072780453043432,0.23467346135112033,0.18301962311066347,0.21921865835243512,0.0,0.0,0.0,0.0,False,1.471189244942473,0.5974605911914853,False,True,False,True,False,False
4.0,1.0,8e-06,13.542405380549182,0.30098756751008066,0.21109691485235407,0.2748515054244592,0.0,0.0,0.0,0.0,False,1.2395765128952825,0.4837108687678102,False,True,False,False,False,False
4.0,1.0,1e-05,12.82154913411707,0.33499430611795583,0.2399206184998568,0.3068480960220591,0.0,0.0,0.0,0.0,False,1.1735944035770587,0.4253785274118437,False,True,False,False,False,False
4.0,1.0,2e-05,11.644422894918021,0.4294465124325082,0.3402311931450553,0.4018233213180814,0.0,0.0,0.0,0.0,False,1.0658485491426877,0.26336303971409836,False,True,False,False,False,False
4.0,2.0,3e-07,117.86426086557668,0.9393452193825126,1.0142105760627353,1.007992120073853,0.0,0.0,0.0,0.0,True,10.788465222624035,-0.611274948178268,False,True,False,False,False,False
4.0,2.0,5e-07,56.02428765512247,0.7200517007670176,0.7977462108177699,0.7764516385277092,0.0,0.0,0.0,0.0,True,5.128069141153024,-0.23511701864168666,False,True,False,False,False,False
4.0,2.0,8e-07,27.38440788268646,0.5526275251629299,0.6394891140956634,0.5984641660874458,0.0,0.0,0.0,0.0,True,2.5065760385283933,0.05206853817372903,False,True,False,False,False,False
4.0,2.0,1e-06,20.28125529632376,0.48265567901066914,0.5752652106061672,0.5243134019286356,0.0,0.0,0.0,0.0,True,1.8564034239784721,0.17209244467429652,False,True,False,False,False,False
