model,routing_fraction,system_label,variant_id,source_family,source_redshift,observed_images,global_roots,surplus_roots,missing_roots,unassigned_roots,potentially_observable_surplus_roots,faintest_assigned_abs_magnification,observable_surplus_abs_magnification_threshold,all_observed_images_assigned,assignment_RMS_arcsec,assignment_max_arcsec,multiplicity_classification,parity_diverse,critical_sign_change_cells,critical_curve_present
linear_route_00_f0,0.0,RXJ2129,linear_route_00_f0,1,0.6786,3,1,0,2,0,0,23.069788528405773,5.767447132101443,False,,2.368727732948356,missing_multiplicity,False,48,True
linear_route_00_f0,0.0,RXJ2129,linear_route_00_f0,2,0.916,3,1,0,2,0,0,3.9407150726708613,0.9851787681677153,False,,3.441617731907963,missing_multiplicity,False,82,True
linear_route_00_f0,0.0,RXJ2129,linear_route_00_f0,3,1.5194,4,3,0,1,0,0,3.4214411876476185,0.8553602969119046,False,,10.592113534300807,missing_multiplicity,True,168,True
linear_route_00_f0,0.0,RXJ2129,linear_route_00_f0,4,1.5202,3,3,0,0,0,0,3.837816632270539,0.9594541580676348,True,6.403924002844102,10.911984921853126,exact_multiplicity,True,168,True
linear_route_00_f0,0.0,RXJ2129,linear_route_00_f0,5,1.521,3,1,0,2,0,0,11.199124444617736,2.799781111154434,False,,5.5226873674899135,missing_multiplicity,False,168,True
linear_route_00_f0,0.0,RXJ2129,linear_route_00_f0,6,3.0815,3,3,0,0,0,0,2.783472376718269,0.6958680941795673,True,3.5671380510837,3.9515191239680703,exact_multiplicity,True,234,True
linear_route_00_f0,0.0,RXJ2129,linear_route_00_f0,7,3.427,3,3,0,0,0,0,3.9838073956293387,0.9959518489073347,True,6.72702324525208,11.57618037908805,exact_multiplicity,True,248,True
linear_route_01_f0p025,0.025,RXJ2129,linear_route_01_f0p025,1,0.6786,3,1,0,2,0,0,22.76198392372539,5.690495980931347,False,,2.282865206340519,missing_multiplicity,False,60,True
linear_route_01_f0p025,0.025,RXJ2129,linear_route_01_f0p025,2,0.916,3,1,0,2,0,0,3.9378403682127723,0.9844600920531931,False,,3.161994913067291,missing_multiplicity,False,90,True
linear_route_01_f0p025,0.025,RXJ2129,linear_route_01_f0p025,3,1.5194,4,3,0,1,0,0,3.1792010838934686,0.7948002709733671,False,,8.469569287749975,missing_multiplicity,True,182,True
linear_route_01_f0p025,0.025,RXJ2129,linear_route_01_f0p025,4,1.5202,3,3,0,0,0,0,3.7040465131537195,0.9260116282884299,True,5.235826469996659,8.828457717092537,exact_multiplicity,True,182,True
linear_route_01_f0p025,0.025,RXJ2129,linear_route_01_f0p025,5,1.521,3,1,0,2,0,0,8.63848297933497,2.1596207448337426,False,,4.157750301459518,missing_multiplicity,False,180,True
linear_route_01_f0p025,0.025,RXJ2129,linear_route_01_f0p025,6,3.0815,3,3,0,0,0,0,2.6264546063288448,0.6566136515822112,True,2.8086187416833757,3.244494639492626,exact_multiplicity,True,252,True
linear_route_01_f0p025,0.025,RXJ2129,linear_route_01_f0p025,7,3.427,3,3,0,0,0,0,3.5077888319585124,0.8769472079896281,True,5.66966263381717,9.746390417901713,exact_multiplicity,True,262,True
linear_route_02_f0p05,0.05,RXJ2129,linear_route_02_f0p05,1,0.6786,3,3,0,0,0,0,16.162034541934666,4.040508635483667,True,4.439442223766428,6.9280903908091505,exact_multiplicity,True,68,True
linear_route_02_f0p05,0.05,RXJ2129,linear_route_02_f0p05,2,0.916,3,1,0,2,0,0,3.795186922563904,0.948796730640976,False,,2.68790086599027,missing_multiplicity,False,104,True
linear_route_02_f0p05,0.05,RXJ2129,linear_route_02_f0p05,3,1.5194,4,3,0,1,0,0,2.979272641839047,0.7448181604597618,False,,6.543359190820675,missing_multiplicity,True,192,True
linear_route_02_f0p05,0.05,RXJ2129,linear_route_02_f0p05,4,1.5202,3,3,0,0,0,0,3.418998314031383,0.8547495785078457,True,4.115546222386217,6.818904465081053,exact_multiplicity,True,192,True
linear_route_02_f0p05,0.05,RXJ2129,linear_route_02_f0p05,5,1.521,3,1,0,2,0,0,7.219288389496397,1.8048220973740992,False,,3.028862462578148,missing_multiplicity,False,192,True
linear_route_02_f0p05,0.05,RXJ2129,linear_route_02_f0p05,6,3.0815,3,3,0,0,0,0,2.49455142931603,0.6236378573290075,True,2.0982094814716956,2.5109515127761237,exact_multiplicity,True,270,True
linear_route_02_f0p05,0.05,RXJ2129,linear_route_02_f0p05,7,3.427,3,3,0,0,0,0,3.223172934607008,0.805793233651752,True,4.6141677137024395,7.912524030361639,exact_multiplicity,True,276,True
linear_route_03_f0p075,0.075,RXJ2129,linear_route_03_f0p075,1,0.6786,3,3,0,0,0,0,7.90354317167419,1.9758857929185476,True,3.526586442535653,5.305595955867154,exact_multiplicity,True,78,True
linear_route_03_f0p075,0.075,RXJ2129,linear_route_03_f0p075,2,0.916,3,1,0,2,0,0,3.5665913676640617,0.8916478419160154,False,,2.0782618779626056,missing_multiplicity,False,150,True
