cluster,family_id,partition,model,curve_points,mean_observed_image_to_curve_arcsec,symmetric_p95_distance_to_glafic_arcsec,independently_observable_gate,reason
AS295,1,fit,P0707_Weyl_frozen_axis_contract,3,203.68131416790484,224.69986097838503,False,catalog has no arc orientation or parity
AS295,1,fit,P0707_Weyl_axis_repaired_exploratory,3,61.008333151809694,192.92413227969476,False,catalog has no arc orientation or parity
AS295,1,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
AS295,1,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,1,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,1,fit,glafic_v2_compact_halo,435,3.7065370515247102,0.0,False,catalog has no arc orientation or parity
AS295,2,holdout,P0707_Weyl_frozen_axis_contract,3,204.29502208722496,224.69986097838503,False,catalog has no arc orientation or parity
AS295,2,holdout,P0707_Weyl_axis_repaired_exploratory,3,60.38443452121234,192.92413227969476,False,catalog has no arc orientation or parity
AS295,2,holdout,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
AS295,2,holdout,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,2,holdout,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,2,holdout,glafic_v2_compact_halo,435,3.7313324330222866,0.0,False,catalog has no arc orientation or parity
AS295,3,fit,P0707_Weyl_frozen_axis_contract,3,202.89224773988894,224.69986097838503,False,catalog has no arc orientation or parity
AS295,3,fit,P0707_Weyl_axis_repaired_exploratory,3,61.72835264214638,192.92413227969476,False,catalog has no arc orientation or parity
AS295,3,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
AS295,3,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,3,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,3,fit,glafic_v2_compact_halo,435,3.6557286585092377,0.0,False,catalog has no arc orientation or parity
AS295,4,fit,P0707_Weyl_frozen_axis_contract,3,205.26283643597546,224.69986097838503,False,catalog has no arc orientation or parity
AS295,4,fit,P0707_Weyl_axis_repaired_exploratory,3,59.40806027110065,192.92413227969476,False,catalog has no arc orientation or parity
AS295,4,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
AS295,4,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,4,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,4,fit,glafic_v2_compact_halo,435,2.5501757221941834,0.0,False,catalog has no arc orientation or parity
AS295,5,fit,P0707_Weyl_frozen_axis_contract,48,14.807425830146279,144.11605399000845,False,catalog has no arc orientation or parity
AS295,5,fit,P0707_Weyl_axis_repaired_exploratory,48,114.8327122382296,126.45291887405126,False,catalog has no arc orientation or parity
AS295,5,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
AS295,5,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,5,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,5,fit,glafic_v2_compact_halo,659,2.3697415926620717,0.0,False,catalog has no arc orientation or parity
AS295,6,holdout,P0707_Weyl_frozen_axis_contract,99,29.25186640160906,86.85229299150757,False,catalog has no arc orientation or parity
AS295,6,holdout,P0707_Weyl_axis_repaired_exploratory,99,12.591008450122585,86.85229299150757,False,catalog has no arc orientation or parity
AS295,6,holdout,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
AS295,6,holdout,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,6,holdout,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
AS295,6,holdout,glafic_v2_compact_halo,784,1.8545884612365027,0.0,False,catalog has no arc orientation or parity
PLCKG287,1,fit,P0707_Weyl_frozen_axis_contract,122,35.39560646590199,60.02929332940785,False,catalog has no arc orientation or parity
PLCKG287,1,fit,P0707_Weyl_axis_repaired_exploratory,122,30.697902084347497,62.04483499600724,False,catalog has no arc orientation or parity
PLCKG287,1,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
PLCKG287,1,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,1,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,1,fit,glafic_v2_compact_halo,2830,2.412523947467016,0.0,False,catalog has no arc orientation or parity
PLCKG287,2,fit,P0707_Weyl_frozen_axis_contract,48,32.53445605231714,106.64848780031623,False,catalog has no arc orientation or parity
PLCKG287,2,fit,P0707_Weyl_axis_repaired_exploratory,48,40.491052382388204,114.33353692831629,False,catalog has no arc orientation or parity
PLCKG287,2,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
PLCKG287,2,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,2,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,2,fit,glafic_v2_compact_halo,2122,1.484987920398226,0.0,False,catalog has no arc orientation or parity
PLCKG287,36,holdout,P0707_Weyl_frozen_axis_contract,149,24.337661465379007,57.00562827228096,False,catalog has no arc orientation or parity
PLCKG287,36,holdout,P0707_Weyl_axis_repaired_exploratory,149,39.51166646808155,60.35855918113659,False,catalog has no arc orientation or parity
PLCKG287,36,holdout,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
PLCKG287,36,holdout,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,36,holdout,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,36,holdout,glafic_v2_compact_halo,2977,1.6037087943407347,0.0,False,catalog has no arc orientation or parity
PLCKG287,37,fit,P0707_Weyl_frozen_axis_contract,146,39.060974751968274,57.262021198009045,False,catalog has no arc orientation or parity
PLCKG287,37,fit,P0707_Weyl_axis_repaired_exploratory,146,11.444042747729629,60.428614957076256,False,catalog has no arc orientation or parity
PLCKG287,37,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
PLCKG287,37,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,37,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,37,fit,glafic_v2_compact_halo,2982,0.6466186247784054,0.0,False,catalog has no arc orientation or parity
PLCKG287,39,fit,P0707_Weyl_frozen_axis_contract,85,58.418033869078194,81.188229378499,False,catalog has no arc orientation or parity
PLCKG287,39,fit,P0707_Weyl_axis_repaired_exploratory,85,53.754126183399606,85.45375241569492,False,catalog has no arc orientation or parity
PLCKG287,39,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
PLCKG287,39,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,39,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,39,fit,glafic_v2_compact_halo,2683,4.168166845108176,0.0,False,catalog has no arc orientation or parity
PLCKG287,40,holdout,P0707_Weyl_frozen_axis_contract,137,44.11827888855943,57.77821572295414,False,catalog has no arc orientation or parity
PLCKG287,40,holdout,P0707_Weyl_axis_repaired_exploratory,137,38.51299354480409,60.68561960399482,False,catalog has no arc orientation or parity
PLCKG287,40,holdout,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
PLCKG287,40,holdout,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,40,holdout,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,40,holdout,glafic_v2_compact_halo,2918,5.582360357241462,0.0,False,catalog has no arc orientation or parity
PLCKG287,41,fit,P0707_Weyl_frozen_axis_contract,138,22.92178824980947,57.72251617185566,False,catalog has no arc orientation or parity
PLCKG287,41,fit,P0707_Weyl_axis_repaired_exploratory,138,22.13933360940405,60.68561960399482,False,catalog has no arc orientation or parity
PLCKG287,41,fit,baryon_only_GR,0,,,False,catalog has no arc orientation or parity
PLCKG287,41,fit,AQUAL_simple_mu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,41,fit,QUMOND_simple_nu_diagnostic,0,,,False,catalog has no arc orientation or parity
PLCKG287,41,fit,glafic_v2_compact_halo,2931,5.608420311148318,0.0,False,catalog has no arc orientation or parity
PLCKG287,49,fit,P0707_Weyl_frozen_axis_contract,138,26.177720785701883,57.72251617185566,False,catalog has no arc orientation or parity
