cluster,partition,family_id,source_redshift,model,observed_images,global_roots,magnification_threshold_from_glafic,retained_roots,matched_images,image_RMS_arcsec,topology_retained_matched_images,topology_correct,source_east_arcsec,source_north_arcsec
AS295,fit,1,0.93,P0707_Weyl_frozen_axis_contract,3,1,1.7866968533848153,0,1,inf,0,False,-42.072826044192176,31.62965203832537
AS295,fit,1,0.93,P0707_Weyl_axis_repaired_exploratory,3,1,1.7866968533848153,1,1,inf,1,False,-39.88535640863538,30.45542166459094
AS295,fit,1,0.93,baryon_only_GR,3,1,1.7866968533848153,0,1,inf,0,False,-59.00609339744312,39.771186622970255
AS295,fit,1,0.93,AQUAL_simple_mu_diagnostic,3,1,1.7866968533848153,0,1,inf,0,False,-56.367052382175494,37.93404284439347
AS295,fit,1,0.93,QUMOND_simple_nu_diagnostic,3,1,1.7866968533848153,0,1,inf,0,False,-56.365480665400526,37.94086037447074
AS295,fit,1,0.93,glafic_v2_compact_halo,3,4,1.7866968533848153,3,3,0.2215277563015494,3,True,-44.59889926169935,38.59073754607051
AS295,holdout,2,0.93,P0707_Weyl_frozen_axis_contract,3,1,1.9982748276900253,0,1,inf,0,False,-42.432687321477985,32.122176966162044
AS295,holdout,2,0.93,P0707_Weyl_axis_repaired_exploratory,3,1,1.9982748276900253,1,1,inf,1,False,-40.15449079564178,30.79917110227647
AS295,holdout,2,0.93,baryon_only_GR,3,1,1.9982748276900253,0,1,inf,0,False,-59.361607449981086,40.30555162308719
AS295,holdout,2,0.93,AQUAL_simple_mu_diagnostic,3,1,1.9982748276900253,0,1,inf,0,False,-56.72849830053568,38.46011812289114
AS295,holdout,2,0.93,QUMOND_simple_nu_diagnostic,3,1,1.9982748276900253,0,1,inf,0,False,-56.72691206435379,38.466848521980175
AS295,holdout,2,0.93,glafic_v2_compact_halo,3,4,1.9982748276900253,3,3,0.154398853533672,3,True,-44.73410362462092,39.149656505788755
AS295,fit,3,0.93,P0707_Weyl_frozen_axis_contract,3,1,1.4211178216491374,1,1,inf,1,False,-41.47452316486985,31.186759404031722
AS295,fit,3,0.93,P0707_Weyl_axis_repaired_exploratory,3,1,1.4211178216491374,1,1,inf,1,False,-39.4747021659497,30.130254086076473
AS295,fit,3,0.93,baryon_only_GR,3,1,1.4211178216491374,0,1,inf,0,False,-58.29172962324072,39.37218611176992
AS295,fit,3,0.93,AQUAL_simple_mu_diagnostic,3,1,1.4211178216491374,0,1,inf,0,False,-55.65626070138052,37.53314853911629
AS295,fit,3,0.93,QUMOND_simple_nu_diagnostic,3,1,1.4211178216491374,0,1,inf,0,False,-55.65476834759241,37.54004589798648
AS295,fit,3,0.93,glafic_v2_compact_halo,3,4,1.4211178216491374,3,3,0.1695102395075172,3,True,-44.03910944508517,38.38808810035018
AS295,fit,4,0.93,P0707_Weyl_frozen_axis_contract,3,1,2.947418282767252,0,1,inf,0,False,-42.98963679391812,32.91063514781285
AS295,fit,4,0.93,P0707_Weyl_axis_repaired_exploratory,3,1,2.947418282767252,1,1,inf,1,False,-40.5595634692372,31.365308025822372
AS295,fit,4,0.93,baryon_only_GR,3,1,2.947418282767252,0,1,inf,0,False,-59.91758576794248,41.15215565299136
AS295,fit,4,0.93,AQUAL_simple_mu_diagnostic,3,1,2.947418282767252,0,1,inf,0,False,-57.29317374140458,39.29418635536745
AS295,fit,4,0.93,QUMOND_simple_nu_diagnostic,3,1,2.947418282767252,0,1,inf,0,False,-57.291547951995646,39.30079099418575
AS295,fit,4,0.93,glafic_v2_compact_halo,3,3,2.947418282767252,3,3,0.3231658866698194,3,True,-44.93464691865925,40.10170736417685
AS295,fit,5,1.52,P0707_Weyl_frozen_axis_contract,3,1,0.0,1,1,inf,1,False,24.51495314081974,-24.796150125596096
AS295,fit,5,1.52,P0707_Weyl_axis_repaired_exploratory,3,1,0.0,1,1,inf,1,False,24.591683832270164,-21.547687775167947
AS295,fit,5,1.52,baryon_only_GR,3,1,0.0,1,1,inf,1,False,38.359562962471124,-33.41864818291199
AS295,fit,5,1.52,AQUAL_simple_mu_diagnostic,3,1,0.0,1,1,inf,1,False,35.79475126482124,-31.744091751293695
AS295,fit,5,1.52,QUMOND_simple_nu_diagnostic,3,1,0.0,1,1,inf,1,False,35.79764223985848,-31.75794656261839
AS295,fit,5,1.52,glafic_v2_compact_halo,3,1,0.0,1,1,inf,1,False,30.390501724465935,-25.125015793821728
AS295,holdout,6,2.17,P0707_Weyl_frozen_axis_contract,3,1,6.752501998895501,0,1,inf,0,False,16.02568025103518,-16.04111521046159
AS295,holdout,6,2.17,P0707_Weyl_axis_repaired_exploratory,3,1,6.752501998895501,0,1,inf,0,False,13.185804408450219,-10.298287790303094
AS295,holdout,6,2.17,baryon_only_GR,3,1,6.752501998895501,0,1,inf,0,False,24.821218332598438,-17.767250714223746
AS295,holdout,6,2.17,AQUAL_simple_mu_diagnostic,3,1,6.752501998895501,0,1,inf,0,False,22.747311935257418,-17.261772254926072
AS295,holdout,6,2.17,QUMOND_simple_nu_diagnostic,3,1,6.752501998895501,0,1,inf,0,False,22.76594915734317,-17.296397019853554
AS295,holdout,6,2.17,glafic_v2_compact_halo,3,3,6.752501998895501,3,3,1.0035674996028727,3,True,18.872443781419733,-13.037855412881996
PLCKG287,fit,1,3.76825,P0707_Weyl_frozen_axis_contract,2,1,159.0738187405325,0,1,inf,0,False,-12.438612790127362,-5.085747633661729
