variant,cluster,softening_kpc,stellar_mass_scale,fitted_q,same_cluster_source_plane_RMS_arcsec
softening_half,AS295,1.7578125,1.0,2.987595484975611,1.2220914796669409
softening_half,PLCKG287,1.7578125,1.0,2.810959398381429,2.1294042043388064
nominal,AS295,3.515625,1.0,2.9891737382637276,1.220805632573693
nominal,PLCKG287,3.515625,1.0,2.8110519239094396,2.1278561645580414
softening_double,AS295,7.03125,1.0,2.9950098250787778,1.2163458103665463
softening_double,PLCKG287,7.03125,1.0,2.811369491468464,2.1225098873034693
stellar_mass_low,AS295,3.515625,0.625,3.54728361996585,1.1942147800088039
stellar_mass_low,PLCKG287,3.515625,0.625,3.323205887856112,2.149816325199655
stellar_mass_high,AS295,3.515625,1.375,2.6480039403362494,1.2370922769143387
stellar_mass_high,PLCKG287,3.515625,1.375,2.4948096795942325,2.1164228255861053
