galaxy,component,mass_relative_error,normalized_l2,pixel_correlation,radial_profile_log10_rmse,concentration_absolute_error,lopsidedness_absolute_error,clumpiness_absolute_error
CVnIdwA,gas,1.9925888381566114e-16,0.10936055592665118,0.9930925735678108,0.2712319647981403,0.0,3.988066083998598e-05,0.006640850838890662
CVnIdwA,stars,0.0,0.21051674016753105,0.976818403924066,0.07839372229579052,0.03273824522536839,0.052891343996850304,0.01689009662377078
CVnIdwA,total,0.0,0.10567059927726016,0.9935704501733766,0.2699538587529854,0.0,0.0012873412902174586,0.005673623973903655
DDO101,gas,0.0,0.11477052549308149,0.9908958021423008,0.14826165600531827,0.052125347432799174,0.00047535925980840554,0.006398282048524266
DDO101,stars,0.0,0.1091897538546137,0.9922556236568342,0.39292276307797264,0.0771835342787619,0.014904217470586678,0.0073529425988660135
DDO101,total,0.0,0.08285862448749617,0.9953410925178706,0.3708892219861341,0.003763387493292747,0.0040361455055728385,0.00211872324814414
DDO126,gas,0.0,0.11401880180802523,0.9918051488050088,0.5259371001817744,0.03649877142572122,0.0004489172105231476,0.008602423242379531
DDO126,stars,0.0,0.16139870368266387,0.9857324310326652,0.070727020887175,0.048988890158452314,0.007665894419555286,0.007780770039780366
DDO126,total,1.423560667434613e-16,0.09969330645495561,0.9939056906602609,0.07353102774679736,0.08740433998674613,0.0025771033725599524,0.0074262407375783185
DDO133,gas,0.0,0.10081882451746386,0.9931093781215937,0.6441991544024495,0.0,0.0006345316698724845,0.000974297093349924
DDO133,stars,1.465042111745063e-16,0.23379926803048404,0.9680190938285225,0.029636082923548752,4.440892098500626e-16,0.0022359349828610098,0.00784904774974289
DDO133,total,1.2470047102806604e-16,0.09776978406251662,0.9936817063606909,0.5832478746448976,0.02671541963537738,0.001959022120924442,0.0019066515911585688
DDO210,gas,0.0,0.10620211075141195,0.9935946356833897,0.37533778622967945,0.0,0.007196846031066517,0.002838128231740511
DDO210,stars,2.466437611224396e-16,0.49968897813169827,0.8598289661718105,0.7459293276361858,0.10871807412450041,0.03542011057225025,0.05626220891114442
DDO210,total,0.0,0.20868447733188125,0.974487430186413,0.5646741147868203,0.0816142947413705,0.008443681344189158,0.016805924180355356
DDO216,gas,0.0,0.18153844366605956,0.9817460704633869,0.3595900825454854,0.09082186532589098,0.0096987366229076,0.016472577359288684
DDO216,stars,2.147633261121267e-16,0.395439819602221,0.9007094559602015,0.10570240273835911,0.08764411304282715,0.02094754783766617,0.03216884653810728
DDO216,total,2.7465262903023624e-16,0.25655198445386695,0.9604437083394207,0.10534446205419377,0.06582234680587229,0.007320855196400161,0.02496973720713061
DDO47,gas,1.2565901760127903e-16,0.15456799780961678,0.9862505407129715,0.2653513736964602,0.02596059153238528,0.014243350529757087,0.025125756363208074
DDO47,stars,0.0,0.5012494817403215,0.8612871166852758,0.5441611104211213,0.19589127800441064,0.002184231265825398,0.0675494976180619
DDO47,total,0.0,0.17069080567330133,0.9833764449470153,0.23889288612503073,0.023259678395084915,0.02091991367252305,0.025286176164464352
DDO50,gas,0.0,0.19283512730052646,0.9778494734877139,0.8406523202869534,0.005691945957610356,0.03330518993282222,0.05060859166350043
DDO50,stars,0.0,0.3261940094089438,0.9435646485107176,0.04853088562941584,0.05127733007171331,0.007493443495566909,0.03977920479778091
DDO50,total,0.0,0.18530731319798152,0.9799465507890717,0.7342055074186757,0.004339575375352567,0.0259492040082292,0.04205559833876421
DDO52,gas,1.3095245240139132e-16,0.14952546942108697,0.9840998290091618,0.5517063463757681,0.0034632763169164527,0.02709913366548289,0.025660272424839356
DDO52,stars,1.733764543271189e-16,0.35982270040476616,0.9321876426178493,0.10611921150846862,0.09952638537087566,0.08070965746683256,0.030035361176172726
DDO52,total,2.2030535896773786e-16,0.17363883174399952,0.9798592981992794,0.4967593015077474,0.007462133873655574,0.01839061124931385,0.01818950516664547
DDO53,gas,0.0,0.11137846628948028,0.9933583701582702,0.47635331225233624,8.881784197001252e-16,0.016513123389516715,0.013931828314483849
DDO53,stars,0.0,0.4102008138079847,0.9106867665408124,0.4283124920312942,0.019132410571314207,0.05458171216498192,0.0207001616543461
DDO53,total,0.0,0.1410217072832546,0.9893366497867582,0.45961258810819916,0.0064055419115014445,0.015799152182414872,0.016182623410817984
DDO87,gas,0.0,0.17160283098050685,0.9813760696207307,0.04508841188168044,0.016266015164000613,0.010250997128786465,0.013854577519088487
DDO87,stars,0.0,0.29458969355627795,0.955558590671931,0.537628254372949,0.13159867508776069,0.046535351233645716,0.012109126796567948
DDO87,total,2.436840122080476e-16,0.1735760677296126,0.9816615234594896,0.04266624752932445,0.01260056159880829,0.01265187985586469,0.012760561561642195
NGC1569,gas,1.692223548137921e-16,0.2096080544709449,0.9785739259120183,0.3948526564410387,0.12480816590679877,0.05740148235686138,0.10257439196300597
NGC1569,stars,1.328954462246707e-16,0.18416268712406403,0.9828664712268851,0.03622948053169882,0.07332650506160965,0.01760573852675379,0.011395266408195187
NGC1569,total,3.8170107214404646e-16,0.16752895831014997,0.9858547156054134,0.23137548299597413,0.09941781717871923,0.01150905265086738,0.030216689768219535
UGC8508,gas,0.0,0.15571905471045636,0.9866238918612763,0.09526207996991767,0.03607428855660322,0.015642735808130304,0.0255225357682157
UGC8508,stars,0.0,0.132402114682172,0.9907825904251707,0.5851420257900326,0.0632646631619238,0.008703440697179876,0.002402918221425132
UGC8508,total,3.9782108738343523e-16,0.10509564518114789,0.9940680632451981,0.13386500536907409,0.06957273466189173,0.012491935885193983,0.01418032076555506
