variant,system,iteration,maximum_relative_update,aqual
newton_lgmres_armijo_i20,DDO53,1,0.97551708464548692,0.33322486960398601
newton_lgmres_armijo_i20,DDO53,2,1.2946057649102751,0.23969566396362285
newton_lgmres_armijo_i20,DDO53,3,0.04700569136407784,0.22548162265266905
newton_lgmres_armijo_i20,DDO53,4,0.017783051302678512,0.22277276078799838
newton_lgmres_armijo_i20,DDO53,5,0.019590302642937318,0.21973652014474182
newton_lgmres_armijo_i20,DDO53,6,0.020735856137645666,0.21646374450278197
newton_lgmres_armijo_i20,DDO53,7,0.021150037588635619,0.21306351717565272
newton_lgmres_armijo_i20,DDO53,8,0.02092592707164475,0.20963842014068509
newton_lgmres_armijo_i20,DDO53,9,0.020437565928014382,0.20623633548650669
newton_lgmres_armijo_i20,DDO53,10,0.019759355406074038,0.20289753282950784
newton_lgmres_armijo_i20,DDO53,11,0.019228747385199738,0.19960519250005135
newton_lgmres_armijo_i20,DDO53,12,0.048631311604575969,0.18863287124319308
newton_lgmres_armijo_i20,DDO53,13,0.17239918354548528,0.1397646556945335
newton_lgmres_armijo_i20,DDO53,14,0.094035445304307297,0.13243438523892062
newton_lgmres_armijo_i20,DDO53,15,0.043299471658415557,0.13136439964058741
newton_lgmres_armijo_i20,DDO53,16,0.00483910914351932,0.13131280893450656
newton_lgmres_armijo_i20,DDO53,17,0.028192577711302565,0.13897931981606906
newton_lgmres_armijo_i20,DDO53,18,0.03086610142035855,0.13851167295057443
newton_lgmres_armijo_i20,DDO53,19,0.012853265636043078,0.13838899844911492
newton_lgmres_armijo_i20,DDO53,20,0.033185345811971544,0.12746324201967554
newton_lgmres_armijo_i20,DDO53,21,0.024082046702555079,0.081326725169634281
newton_lgmres_armijo_i20,DDO53,22,0.073286411792356509,0.03670395261126453
newton_lgmres_armijo_i20,DDO53,23,0.10794682533776752,0.025077315809492708
newton_lgmres_armijo_i20,DDO53,24,0.074646139031223246,0.017601945758259602
newton_lgmres_armijo_i20,DDO53,25,0.01867521814444012,0.012819833709200231
newton_lgmres_armijo_i20,DDO53,26,1.5358230499345794e-05,0.012817003043516273
newton_lgmres_armijo_i20,DDO53,27,0.015821995185131513,0.010756577997373618
newton_lgmres_armijo_i20,DDO53,28,1.3083671945198118e-05,0.010754891112251202
newton_lgmres_armijo_i20,DDO53,29,0.0080758778259122348,0.0095051465522373452
newton_lgmres_armijo_i20,DDO53,30,0.0039114866137034635,0.0083339121161565641
newton_lgmres_armijo_i20,DDO53,31,0.0043045142578249165,0.0075404903263715925
newton_lgmres_armijo_i20,DDO53,32,0.00065825401124142678,0.0074813079346179832
newton_lgmres_armijo_i20,DDO53,33,0.0024738488062152906,0.0071899348465706185
