galaxy,model,field_job_id,field_job_sha256,field_result_sha256,field_input_bundle_sha256,observation_bundle_sha256,field_artifact_hashes_valid,universal_gravity_parameters,per_object_gravity_parameters,adapter_valid_pixels,independent_valid_pixels,valid_pixel_support_exact,adapter_declared_weighted_rmse_km_s,independent_declared_weighted_rmse_km_s,weighted_rmse_parity_difference_m_s,prediction_parity_rmse_m_s,prediction_parity_max_abs_m_s,p0712_original_weighted_rmse_km_s,p0712_to_p0731_score_change_km_s
CVnIdwA,newtonian_poisson,job_8b488fa92b4d02973081c274,ef2e69c0e7f233873ea643437b9039fb757303e74077e42f2982c99cc094abf7,d3a619852fbc69ed7c44eff30d903a1225526bbbdd129adf6cedc0537c2a3586,fd36c5defea928ea8fbdbb740fd3e52cb56306f60dd01e523c355aca79f13c57,a17498a6d6596daa4c329e091ca76f4671ea2ab0babe562ed5fc3640c9e0d9b9,True,1,0,20786,20786,True,9.499487253904421,9.499487253904425,3.637978807091713e-12,5.7806625425822345e-11,1.1377778719179332e-09,16.79255370224344,-7.293066448339017
CVnIdwA,aqual_simple_mu,job_e1b84d1b4d281878bf6eea5e,25740b92d42b55135846965b8b17da604ed4ee9184cf04d1757ea53c250b8a93,c3bada14f4a682f05c9741579f09531232e3403e0b3029e9f372ce51ed6854dd,fd36c5defea928ea8fbdbb740fd3e52cb56306f60dd01e523c355aca79f13c57,a17498a6d6596daa4c329e091ca76f4671ea2ab0babe562ed5fc3640c9e0d9b9,True,2,0,20786,20786,True,10.737020842697365,10.737020842697374,9.094947017729282e-12,1.324669654334502e-10,2.470187610015273e-09,25.21121560317028,-14.474194760472916
CVnIdwA,qumond_simple_nu,job_94458c44f3ed869bd33d7bcb,6011839665ff7063057f0677db7c5f629a05a7b0b724d3d3f24e483c783811da,ba0473e6903eac66d1e7fec6356e930ac9d1cbeeeb42bc0d5ce93d18b120b0ac,fd36c5defea928ea8fbdbb740fd3e52cb56306f60dd01e523c355aca79f13c57,a17498a6d6596daa4c329e091ca76f4671ea2ab0babe562ed5fc3640c9e0d9b9,True,2,0,20786,20786,True,10.258697619243177,10.258697619243176,1.8189894035458565e-12,1.194071357967909e-10,2.346496330574155e-09,25.21490625554021,-14.956208636297033
CVnIdwA,refracted_gravity_published_fixture,job_5d30f172d7925febd0bdde1f,35209b7f501e6c6f83d423f9c9d19f26594fa818efea1117f0c4d4d3e98cf3f4,495f0662f675f684a5c5d5e203ab7ca6c094145a088a13b7102b4219b2d776e2,fd36c5defea928ea8fbdbb740fd3e52cb56306f60dd01e523c355aca79f13c57,a17498a6d6596daa4c329e091ca76f4671ea2ab0babe562ed5fc3640c9e0d9b9,True,4,0,20786,20786,True,10.758906384303932,10.758906384303938,5.4569682106375694e-12,1.3580269392330193e-10,4.2527972254902124e-09,,
DDO47,newtonian_poisson,job_0680246f055f0383eedbf7d4,0a5a3f23ed0290b5ceb881db7f83f303b9cab539b2075fa172f26c8c78af6c92,1abef28416316e7878ab97abecd85081a252adf72ea59591110fce7f41ad14ff,445d75ea935ee566536917e8d8c6e05fa39e96776080fbdbb1faede4a012bbf2,a6e98b54dc417f7e618b5dac4988b46c8537d54c4df7b935f0a6d445425e7ea4,True,1,0,93093,93093,True,16.835097101630982,16.835097101630982,0.0,2.2818482296351272e-11,6.330083124339581e-10,31.27017415630498,-14.435077054673997
DDO47,aqual_simple_mu,job_af2513f86218e6cbceb36c64,59c3ce2a700fab744abcd69651f826aa5b239f4718d172ebf0aa33f3bebee5a0,2d393c53ea140fbf22236ad204bd3c4839c8a1c7cf7dbb1c7cd3f5052e48fd61,445d75ea935ee566536917e8d8c6e05fa39e96776080fbdbb1faede4a012bbf2,a6e98b54dc417f7e618b5dac4988b46c8537d54c4df7b935f0a6d445425e7ea4,True,2,0,93093,93093,True,7.71368037287813,7.713680372878131,9.094947017729282e-13,7.946273998117902e-11,1.7971615307033062e-09,47.855739973602034,-40.142059600723904
DDO47,qumond_simple_nu,job_c0220b7f623a2df8decfec2d,98cc3d85a23c35c3eafab0571dbcf50923341ca99958f11f01555aadee4b65b4,1fed83e19b1e13652c34d688f94e02362a7f07e97ad5b9d4c00ce5d75a5c484e,445d75ea935ee566536917e8d8c6e05fa39e96776080fbdbb1faede4a012bbf2,a6e98b54dc417f7e618b5dac4988b46c8537d54c4df7b935f0a6d445425e7ea4,True,2,0,93093,93093,True,7.70729823681991,7.7072982368199074,2.7284841053187847e-12,7.249394600005726e-11,1.6880221664905548e-09,47.5540386941947,-39.84674045737479
DDO47,refracted_gravity_published_fixture,job_219185e068f9be98459fc3be,182af872a6592e5bec174dadc26aab4ad4b2298942d727e9638c5c6e124902c2,e4450b3fb8accd11423f941e20857d2b339fbc4c5d02067780cb07096c10db73,445d75ea935ee566536917e8d8c6e05fa39e96776080fbdbb1faede4a012bbf2,a6e98b54dc417f7e618b5dac4988b46c8537d54c4df7b935f0a6d445425e7ea4,True,4,0,93093,93093,True,7.773416750481912,7.773416750481913,9.094947017729282e-13,7.8261124472656e-11,1.775333657860756e-09,,
DDO50,newtonian_poisson,job_5e817200ef13e2ac39d15939,b5eee850061bfa4d625a2387f0ac06d23af30bb3f3764bc332929a2c436eddbd,7f4f4856c7d708a338b5979fa401b0ba8c164862b9b9a6bec2db524faebae527,6953b983766d79f1d28b7f9a3b85e4ba770564133a6bd74330653d2071400d23,a20af75cece5511fa2c4bdb637c87ae7192c72ef13d70c2257b28bb0c3ee1798,True,1,0,257836,257836,True,7.913240410515831,7.913240410515824,7.275957614183426e-12,4.6675091830477196e-11,4.13092493545264e-09,7.667667163134212,0.24557324738161945
DDO50,aqual_simple_mu,job_2e30c6d0920d30abf172b67a,acc620d74232be712c7706277c58c9c26067773eb9f05b6828b644f12f68a721,dc8660a453c4569fb57ba1ecde7bdbc385d840a62a5b3fea82899d435cd84eb6,6953b983766d79f1d28b7f9a3b85e4ba770564133a6bd74330653d2071400d23,a20af75cece5511fa2c4bdb637c87ae7192c72ef13d70c2257b28bb0c3ee1798,True,2,0,257836,257836,True,16.175770346566654,16.175770346566683,3.092281986027956e-11,1.14949178473741e-10,1.314765540882945e-08,19.370762325795024,-3.1949919792283694
DDO50,qumond_simple_nu,job_ddcd4782fa85bb48a9de02c8,08266cc4380d1ad072e36175f31bcccaf2e504f47efba02a630419cb2b0c2138,0418e8190abe95ed03dade926fbf2749997aeab7e91168f9c4bf95aad24d3c2c,6953b983766d79f1d28b7f9a3b85e4ba770564133a6bd74330653d2071400d23,a20af75cece5511fa2c4bdb637c87ae7192c72ef13d70c2257b28bb0c3ee1798,True,2,0,257836,257836,True,14.334764267107714,14.33476426710775,3.637978807091713e-11,1.1159687733339245e-10,1.183070708066225e-08,19.29891927908509,-4.964155011977377
DDO50,refracted_gravity_published_fixture,job_f188c1509066583cc2567f43,76440448bc2724850c8957a09617bb64bb6cd83754018690857eeaf997c1913b,ccda6f4c8f337a32fed0fe76aee517ca700c62649e268d23d3bba6de0d169e45,6953b983766d79f1d28b7f9a3b85e4ba770564133a6bd74330653d2071400d23,a20af75cece5511fa2c4bdb637c87ae7192c72ef13d70c2257b28bb0c3ee1798,True,4,0,257836,257836,True,19.37216751452594,19.372167514525998,5.820766091346741e-11,1.4172508126244275e-10,1.790613168850541e-08,,
DDO52,newtonian_poisson,job_159aafb613eb80ad61fe613c,4ea58b9bbb77ccc21b893bd241af6983690c36df981a0772451f1a7abbf4ecd2,93b252261f964e21deb525d47f4282320cbded8b4ab8711e2dd85cd1f89e12e9,72ac10518649eadf3b87bcdf8af5fdf53859a86201b180475798d92fcd97a3dd,64451edf28e955723fb67c48bb9213a0e3f91b9167f63f31e6d9b4c1711ddf7b,True,1,0,17782,17782,True,21.98205552768052,21.982055527680522,3.637978807091713e-12,1.3086268651165266e-11,3.0377123039215803e-10,35.16020148763529,-13.178145959954772
DDO52,aqual_simple_mu,job_5d95ac88cdd70a6bec314984,07622343f9fa09a68167d9b5e2a9f74dec50350072ff93fe645b2d5a19a4b499,9f1efb48bf4ef83a259bcf6c7bf3a85bba05d11fb211da483fd9d83fb7ff3a3f,72ac10518649eadf3b87bcdf8af5fdf53859a86201b180475798d92fcd97a3dd,64451edf28e955723fb67c48bb9213a0e3f91b9167f63f31e6d9b4c1711ddf7b,True,2,0,17782,17782,True,11.26168992019821,11.261689920198219,7.275957614183426e-12,4.050945036882686e-11,1.495209289714694e-09,48.01732172823547,-36.755631808037265
DDO52,qumond_simple_nu,job_dc4a81b56fc345dc2106bc94,2efc144f1e4bb8c7294bdc2060b1dd83f438570088616c64b0c19d5dc822143f,8d4347706e2cc6a7aea26d70a7ea2ff279131bb655f2ba945430cdd87a6b8266,72ac10518649eadf3b87bcdf8af5fdf53859a86201b180475798d92fcd97a3dd,64451edf28e955723fb67c48bb9213a0e3f91b9167f63f31e6d9b4c1711ddf7b,True,2,0,17782,17782,True,12.193077907327735,12.193077907327744,9.094947017729282e-12,4.1149139783172855e-11,1.1605152394622564e-09,47.991149681592944,-35.79807177426521
DDO52,refracted_gravity_published_fixture,job_bc2d7f5efed9cf17c3ef4cd3,8fa1f4a6bc8079f98d035a875560f236dadee5a89b9bc09d6c1c7a81d357715f,f3e51903fe46eae0645c61489571c5c109b58ed9ce1c092a1106ae3e065d1ec6,72ac10518649eadf3b87bcdf8af5fdf53859a86201b180475798d92fcd97a3dd,64451edf28e955723fb67c48bb9213a0e3f91b9167f63f31e6d9b4c1711ddf7b,True,4,0,17782,17782,True,13.33443670094507,13.334436700945073,3.637978807091713e-12,3.47768561847695e-11,1.0804797057062387e-09,,
