galaxy,model,map_kind,scored_pixels,gas_weighted_rmse_km_s,inverse_variance_weighted_rmse_km_s,gas_weighted_bias_km_s,gas_weighted_uncertainty_rms_km_s,field_error_ratio,standardized_mean_square,error_band,twin_source_transport_rmse_km_s,gravity_parameters_fitted,dark_matter_parameters
NGC2403,newtonian_thin_sheet,registered_baryons,34727,44.44360079739086,47.43760372152067,-4.397735856544606,10.85212089827732,4.095383862194706,26.0598785196176,miss,4.033033736752231,0,0
NGC2403,newtonian_thin_sheet,fake_twin,34727,44.69599808529102,47.52805145619069,-4.421366847633266,10.85212089827732,4.118641738720965,26.159348301170148,miss,4.033033736752231,0,0
NGC2403,fixed_simple_mond,registered_baryons,34727,25.930130645416465,26.603967711617038,-3.1151958815877077,10.85212089827732,2.3894067241300867,8.196335468910958,miss,5.75183600832045,0,0
NGC2403,fixed_simple_mond,fake_twin,34727,25.368308225780016,25.845642681992754,-3.156573145963384,10.85212089827732,2.3376359758217413,7.735734806185963,miss,5.75183600832045,0,0
NGC3198,newtonian_thin_sheet,registered_baryons,13134,49.69538921094442,53.02090422327337,-1.6411685452166287,15.587173431646741,3.188223280434382,15.764557243024667,miss,2.54434227861886,0,0
NGC3198,newtonian_thin_sheet,fake_twin,13134,49.42965706634537,52.591471428438844,-1.7371352968752134,15.587173431646741,3.171175151357976,15.510227274698117,miss,2.54434227861886,0,0
NGC3198,fixed_simple_mond,registered_baryons,13134,10.740433239530761,10.967771167159567,-0.19708940246507403,15.587173431646741,0.6890558629266541,0.6745657383968823,consistent,3.4115347748209968,0,0
NGC3198,fixed_simple_mond,fake_twin,13134,10.51798253737925,10.454782102689029,-0.2936836522210346,15.587173431646741,0.6747844683645157,0.612939330153934,consistent,3.4115347748209968,0,0
NGC5055,newtonian_thin_sheet,registered_baryons,23153,37.57137363839685,39.072430777560584,-11.9943323129022,16.551135300582683,2.2700179145459676,10.072243178487081,miss,4.63214860784083,0,0
NGC5055,newtonian_thin_sheet,fake_twin,23153,37.605398061342186,39.01344205536122,-11.93637067731699,16.551135300582683,2.272073629898868,10.041853451428075,miss,4.63214860784083,0,0
NGC5055,fixed_simple_mond,registered_baryons,23153,26.391640187289827,28.67432661570467,-10.35533279624395,16.551135300582683,1.5945516550976844,5.4246509324731065,close,5.095804458840478,0,0
NGC5055,fixed_simple_mond,fake_twin,23153,26.070323434805108,28.41003413153676,-10.266082098949935,16.551135300582683,1.5751380773189196,5.325113302282063,close,5.095804458840478,0,0
NGC7793,newtonian_thin_sheet,registered_baryons,5168,37.68985908155206,36.994315670699244,0.5605026082711095,12.226140947209323,3.0827273498883514,10.785465835390108,miss,1.1535411049399948,0,0
NGC7793,newtonian_thin_sheet,fake_twin,5168,37.67401176895863,36.966996399912496,0.5962320278189768,12.226140947209323,3.081431167171184,10.76954218546817,miss,1.1535411049399948,0,0
NGC7793,fixed_simple_mond,registered_baryons,5168,33.995433691235654,33.455393926596706,0.6633811760603715,12.226140947209323,2.7805530656012336,8.82066254020957,miss,1.2464832858755963,0,0
NGC7793,fixed_simple_mond,fake_twin,5168,34.03417819224954,33.49260914548378,0.7007410523036938,12.226140947209323,2.783722054179165,8.840297368898037,miss,1.2464832858755963,0,0
