candidate_id,catalog_name,subcluster,cC,e_cC,wC,e_wC,cX,e_cX,wX,e_wX
PSZ2G055.59+31.85,PSZ2 G055.59+31.85,,0.315,0.00437,0.00948,0.000528,0.2858,0.001949,0.001828,0.0002095
PSZ2G059.47+33.06,PSZ2 G059.47+33.06,,0.405,0.00819,0.013,0.00117,0.3261,0.002847,0.01423,0.0002994
PSZ2G066.41+27.03,PSZ2 G066.41+27.03,,0.0947,0.0109,0.0501,0.00572,0.08184,0.001633,0.004942,0.0007527
PSZ2G071.21+28.86,PSZ2 G071.21+28.86,,,,,,0.06382,0.004455,0.01291,0.002083
PSZ2G073.97-27.82,PSZ2 G073.97-27.82,,0.283,0.00139,0.0107,0.000274,0.2718,0.002759,0.01145,0.0005565
PSZ2G091.79-27.00,PSZ2 G091.79-27.00,,,,,,0.07292,0.00616,0.04544,0.002516
PSZ2G092.71+73.46,PSZ2 G092.71+73.46,,0.159,0.00419,0.0163,0.00146,0.15,0.002723,0.01248,0.0007716
PSZ2G099.86+58.45,PSZ2 G099.86+58.45,,0.141,0.00967,0.0266,0.00323,0.1253,0.004032,0.01635,0.00118
PSZ2G114.31+64.89,PSZ2 G114.31+64.89,,0.193,0.00424,0.0144,0.00119,0.1397,0.00416,0.01122,0.0009699
PSZ2G116.50-44.47,PSZ2 G116.50-44.47,,,,,,0.1295,0.006747,0.05604,0.002372
PSZ2G125.71+53.86,PSZ2 G125.71+53.86,,0.212,0.00623,0.00697,0.00104,0.1804,0.005458,0.01373,0.001203
PSZ2G160.83+81.66,PSZ2 G160.83+81.66,,0.307,0.0143,0.0209,0.0024,0.2481,0.0037,0.0136,0.0004485
PSZ2G182.59+55.83,PSZ2 G182.59+55.83,,0.298,0.00301,0.00513,0.000441,0.2735,0.002475,0.006768,0.0004211
