asset_group,role,obsid,relative_path,download_path,url,bytes,last_modified,etag,content_type
caldb,caldb_general_20240822,,goodfiles_gen_20240822.tar.Z,caldb/goodfiles_gen_20240822.tar.Z,https://heasarc.gsfc.nasa.gov/FTP/caldb/data/gen/goodfiles_gen_20240822.tar.Z,43904803,"Sat, 24 Aug 2024 17:30:37 GMT","""29def23-620713ff9e940""",application/x-tar
caldb,xrism_gen_caldb_20241115,,goodfiles_xrism_gen_20241115.tar.gz,caldb/goodfiles_xrism_gen_20241115.tar.gz,https://heasarc.gsfc.nasa.gov/FTP/caldb/data/xrism/gen/goodfiles_xrism_gen_20241115.tar.gz,33497756,"Fri, 15 Nov 2024 19:53:36 GMT","""1ff229c-626f8ec2a9807""",application/x-gzip
caldb,xrism_resolve_caldb_20260315,,goodfiles_xrism_resolve_20260315.tar.gz,caldb/goodfiles_xrism_resolve_20260315.tar.gz,https://heasarc.gsfc.nasa.gov/FTP/caldb/data/xrism/resolve/goodfiles_xrism_resolve_20260315.tar.gz,1703596426,"Mon, 06 Apr 2026 19:27:21 GMT","""658ad18a-64ecfa7d81b05""",application/x-gzip
chandra_ssm,evt2,15187,primary/acisf15187N003_evt2.fits.gz,chandra/15187/primary/acisf15187N003_evt2.fits.gz,https://cxc.cfa.harvard.edu/cdaftp/byobsid/7/15187/primary/acisf15187N003_evt2.fits.gz,29871145,"Thu, 26 Nov 2020 08:44:10 GMT","""1c7cc29-5b4fe8c369f5a""",image/x-fits
chandra_ssm,bpix1,15187,primary/acisf15187_000N003_bpix1.fits.gz,chandra/15187/primary/acisf15187_000N003_bpix1.fits.gz,https://cxc.cfa.harvard.edu/cdaftp/byobsid/7/15187/primary/acisf15187_000N003_bpix1.fits.gz,72696,"Thu, 26 Nov 2020 08:43:18 GMT","""11bf8-5b4fe8916f66e""",image/x-fits
chandra_ssm,fov1,15187,primary/acisf15187_000N003_fov1.fits.gz,chandra/15187/primary/acisf15187_000N003_fov1.fits.gz,https://cxc.cfa.harvard.edu/cdaftp/byobsid/7/15187/primary/acisf15187_000N003_fov1.fits.gz,7992,"Thu, 26 Nov 2020 08:43:19 GMT","""1f38-5b4fe89274630""",image/x-fits
chandra_ssm,eph1,15187,primary/orbitf508334703N001_eph1.fits.gz,chandra/15187/primary/orbitf508334703N001_eph1.fits.gz,https://cxc.cfa.harvard.edu/cdaftp/byobsid/7/15187/primary/orbitf508334703N001_eph1.fits.gz,318078,"Tue, 11 Mar 2014 04:40:52 GMT","""4da7e-4f44d532d9d00""",image/x-fits
chandra_ssm,asol1,15187,primary/pcadf15187_000N001_asol1.fits.gz,chandra/15187/primary/pcadf15187_000N001_asol1.fits.gz,https://cxc.cfa.harvard.edu/cdaftp/byobsid/7/15187/primary/pcadf15187_000N001_asol1.fits.gz,17209438,"Thu, 26 Nov 2020 08:40:41 GMT","""106985e-5b4fe7fbecd97""",image/x-fits
chandra_ssm,metadata,15187,root/00README,chandra/15187/root/00README,https://cxc.cfa.harvard.edu/cdaftp/byobsid/7/15187/00README,10425,"Fri, 11 Dec 2020 16:34:56 GMT","""28b9-5b632df7257a8""",text/plain
chandra_ssm,metadata,15187,root/oif.fits,chandra/15187/root/oif.fits,https://cxc.cfa.harvard.edu/cdaftp/byobsid/7/15187/oif.fits,23040,"Fri, 11 Dec 2020 16:34:59 GMT","""5a00-5b632df97a28a""",image/x-fits
