group_id,label,root_bin_id,member_bins,cells,expected_full_pha_source_counts,combined_full_pha_source_counts,full_pha_count_conservation_exact,links_exact,source_path,source_sha256,background_path,background_sha256,arf_path,arf_sha256,rmf_path,rmf_sha256
1,BULLET_primary8000_region001,0,7,55,11790,11790,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region001/BULLET_primary8000_region001_src.pi,b019ade52f3d10a189da309b6da07191bbf2bab4d508cd1e5a2a716ed563ebbb,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region001/BULLET_primary8000_region001_bkg.pi,4023e6afe2b6562f75fcf454ad4f9cc11ec19ae2bc4d5f0ac53e85b7c298454d,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region001/BULLET_primary8000_region001_src.arf,6a1ab2dcad8ca7914c8e94db1a9976a2849bacb6851efe6e606b7b3c3c90104c,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region001/BULLET_primary8000_region001_src.rmf,04ec374f4543d0629516474b00aabb4e2cab964cf7db284e4d337ad0c76a2a72
2,BULLET_primary8000_region002,4,17,153,31234,31234,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region002/BULLET_primary8000_region002_src.pi,7e23565c5adb51070abf9fecb10c697980f328d7d112a0566b598990002b2230,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region002/BULLET_primary8000_region002_bkg.pi,00c4f98149a3dc144c4103df462f280c42084a99aff98aa18ddf52d5bbe71842,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region002/BULLET_primary8000_region002_src.arf,b68c31e98779714fb7f630306806fb7024094c25b155f0dfb49931ee2d5b7bfd,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region002/BULLET_primary8000_region002_src.rmf,f0c9e36dbb929a6d3cb21ca312071ead5dbc53cb5e2511c8cc335cb6477c5661
3,BULLET_primary8000_region003,5,12,108,20762,20762,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region003/BULLET_primary8000_region003_src.pi,166dcce751c230e6057ece9a5514ca6187a818867278d6a02d6321270cee7fdf,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region003/BULLET_primary8000_region003_bkg.pi,919d8bdb03ea7ec8655f88237e5dd9ef853c8c557827a0d9cca472f4034b3414,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region003/BULLET_primary8000_region003_src.arf,c7fd51d350f78a4a7409e727d7422adc206c62bcc0866454dfd1ad3632f3c4be,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region003/BULLET_primary8000_region003_src.rmf,476474e6128f45e1dac2cc0ffc342c6e5275997a9f49ebc904e466170b0123f0
4,BULLET_primary8000_region004,9,15,135,26413,26413,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region004/BULLET_primary8000_region004_src.pi,221840e7b94a2e149219cff38031b18c2aeac6ab23a4caa99ee8f1f08e36dca4,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region004/BULLET_primary8000_region004_bkg.pi,ee766727bac7258651ade323730b28e91fbf62f74e2069b2d4c24008afc36316,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region004/BULLET_primary8000_region004_src.arf,e71f4a39fc2ccc47bbfcb786b0296bac59aa90d46dd061c5045b4abb16fa32bc,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region004/BULLET_primary8000_region004_src.rmf,d9e4e5dcb1dd105a8d5cbd6e0e6f89b80dbf3e11c02906b278272eb774f0ce44
5,BULLET_primary8000_region005,10,7,63,11461,11461,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region005/BULLET_primary8000_region005_src.pi,ef84e665907633a000ceda70a401540aebbc53e702e5a639fa691809d27ee827,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region005/BULLET_primary8000_region005_bkg.pi,0eca7df560a3c4ac769f2b7694dc729ffbe7c39af6c9e972f9e66d9298c55980,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region005/BULLET_primary8000_region005_src.arf,bccb716cd6b5a66d4d5e4aa980f7bf8b4cee00e49c6504bfefa8e4eb40b74573,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region005/BULLET_primary8000_region005_src.rmf,25f465ba15c3ce90e1b492137c94d23eb1fcbf18762c2d1d49cca288614fca54
6,BULLET_primary8000_region006,17,9,96,14768,14768,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region006/BULLET_primary8000_region006_src.pi,d637985fa7f2f7f83a190ea17bea03d588e2ca67888831b16a768c26df288f2b,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region006/BULLET_primary8000_region006_bkg.pi,863e2da72a212041037b30ad3ae1de7f645d29ac8fcabf2429a59323c5ccada3,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region006/BULLET_primary8000_region006_src.arf,624c7112890e63c835fd947a775f0067e6bbf9d76cdbdf55d065d1301a14cc06,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region006/BULLET_primary8000_region006_src.rmf,aa697044091be80eb90b76096ac2e59b5a94ac06570b8f13c68af89e9e96d250
7,BULLET_primary8000_region007,18,8,72,13528,13528,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region007/BULLET_primary8000_region007_src.pi,6d7269bcd00d6446601b40a3766789ef11b7a6e2de67e3f6cb5110f44551a93c,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region007/BULLET_primary8000_region007_bkg.pi,74126a3b6ae34dc7cbffea55f961d6649e18fd45b5bd5820d692e82ef8b59f7c,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region007/BULLET_primary8000_region007_src.arf,c1c14c6e20aa90319aab8e0768be47fb2519dc92b7a208785334e4e16b8bf90a,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region007/BULLET_primary8000_region007_src.rmf,1f3e6c2ef9434dc5a8f6fad4e8b5fa05361603853db94255f05c7c40afcbebc0
8,BULLET_primary8000_region008,19,14,146,24805,24805,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region008/BULLET_primary8000_region008_src.pi,25928f8d3c4236934395c18da7bf746e247eccf3c95604408f3f1ebe180b131e,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region008/BULLET_primary8000_region008_bkg.pi,148bafd7772c2cf9efd8fe18697d420771d0622eef589e7e873d7aca21ec36cd,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region008/BULLET_primary8000_region008_src.arf,262183a89dc93363c2218404018e51c015007c551481f1529507af9666e4a68d,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region008/BULLET_primary8000_region008_src.rmf,e327d65b4c18c4a30f243343c574fae5d704ac36f52c0f5b1bafdadcc875af56
9,BULLET_primary8000_region009,29,6,54,10585,10585,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region009/BULLET_primary8000_region009_src.pi,271ff6f8a7ce8b616e8fe7397dced77e87d89f76abb05fcaefbf85a7dea0700a,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region009/BULLET_primary8000_region009_bkg.pi,ef5e97067018f1dbde8e2883914e11ce6d0e5d55887ec9bf1e7a789814c514c3,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region009/BULLET_primary8000_region009_src.arf,ffbae72d59a91f5685f965396f46d43da0b38945ab7b0bff655b1c0b26acdf46,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region009/BULLET_primary8000_region009_src.rmf,a69fc9e5a99215cbbd790fccbc96705ac25930c93611070d322e9b8a5300c443
10,BULLET_primary8000_region010,39,8,72,13312,13312,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region010/BULLET_primary8000_region010_src.pi,90a5b8890808421b1e5805eead802cc73238f9d5cb022b718328daf363b2f214,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region010/BULLET_primary8000_region010_bkg.pi,7ce321bb548a5e4e3d82bf319e339882ee0552e0dda2b4e294f8024fff6c722b,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region010/BULLET_primary8000_region010_src.arf,f0b388fd1939c76409b4e4d07ee66a85dc89730aaffe2a15a01e7feb4ad535ba,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region010/BULLET_primary8000_region010_src.rmf,c85ed3be4cf7b323d1f4595a552fa797c20951c043bf1f97f2004815f0cafd41
