radius_over_response_length,rational_point_force_ratio,entire_point_force_ratio
1e-12,1.0,1.0
1.012983195592568e-12,1.0,1.0
1.026134954552931e-12,1.0,1.0
1.0394574653722625e-12,1.0,1.0
1.0529529449553457e-12,1.0,1.0
1.0666236389894716e-12,1.0,1.0
1.0804718223181286e-12,1.0,1.0
1.0944997993195433e-12,1.0,1.0
1.1087099042901353e-12,1.0,1.0
1.1231045018329516e-12,1.0,1.0
1.1376859872511425e-12,1.0,1.0
1.152456786946548e-12,1.0,1.0
1.1674193588234576e-12,1.0,1.0
1.1825761926976128e-12,1.0,1.0
1.1979298107105204e-12,1.0,1.0
1.2134827677491431e-12,1.0,1.0
1.2292376518710411e-12,1.0,1.0
1.2451970847350318e-12,1.0,1.0
1.2613637220374423e-12,1.0,1.0
1.277740253954024e-12,1.0,1.0
1.2943294055876067e-12,1.0,1.0
1.311133937421563e-12,1.0,1.0
1.328156645779161e-12,1.0,1.0
1.345400363288881e-12,1.0,1.0
1.3628679593557727e-12,1.0,1.0
1.3805623406389328e-12,1.0,1.0
1.3984864515351816e-12,1.0,1.0
1.4166432746690193e-12,1.0,1.0
1.4350358313889432e-12,1.0,1.0
1.4536671822702093e-12,1.0,1.0
1.4725404276241208e-12,1.0,1.0
1.4916587080139285e-12,1.0,1.0
1.5110252047774308e-12,1.0,1.0
1.5306431405563565e-12,1.0,1.0
1.5505157798326221e-12,1.0,1.0
1.5706464294715523e-12,1.0,1.0
1.59103843927215e-12,1.0,1.0
1.6116952025245146e-12,1.0,1.0
1.632620156574494e-12,1.0,1.0
1.6538167833956696e-12,1.0,1.0
1.6752886101687674e-12,1.0,1.0
1.69703920986859e-12,1.0,1.0
1.7190722018585712e-12,1.0,1.0
1.7413912524930475e-12,1.0,1.0
1.7640000757273519e-12,1.0,1.0
1.786902433735825e-12,1.0,1.0
1.8101021375378604e-12,1.0,1.0
1.83360304763204e-12,1.0,1.0
1.8574090746385755e-12,1.0,1.0
1.881524179950019e-12,1.0,1.0
1.9059523763904564e-12,1.0,1.0
1.9306977288832537e-12,1.0,1.0
1.955764355127472e-12,1.0,1.0
1.9811564262830645e-12,1.0,1.0
2.0068781676649704e-12,1.0,1.0
2.0329338594462193e-12,1.0,1.0
2.059327837370164e-12,1.0,1.0
2.086064493471961e-12,1.0,1.0
2.1131482768094188e-12,1.0,1.0
2.140583694203334e-12,1.0,1.0
2.1683753109874375e-12,1.0,1.0
2.196527751768083e-12,1.0,1.0
2.2250457011937917e-12,1.0,1.0
2.2539339047347936e-12,1.0,1.0
2.283197169472686e-12,1.0,1.0
2.3128403649003476e-12,1.0,1.0
2.3428684237322354e-12,1.0,1.0
2.3732863427252024e-12,1.0,1.0
2.404099183509974e-12,1.0,1.0
2.4353120734334173e-12,1.0,1.0
2.466930206411746e-12,1.0,1.0
2.498958843794804e-12,1.0,1.0
2.5314033152415696e-12,1.0,1.0
2.564269019607026e-12,1.0,1.0
2.597561425840547e-12,1.0,1.0
2.6312860738959445e-12,1.0,1.0
2.6654485756533363e-12,1.0,1.0
2.7000546158529752e-12,1.0,1.0
2.7351099530412107e-12,1.0,1.0
2.7706204205287245e-12,1.0,1.0
2.806591927361212e-12,1.0,1.0
2.843030459302665e-12,1.0,1.0
2.87994207983142e-12,1.0,1.0
2.917332931149139e-12,1.0,1.0
2.9552092352028878e-12,1.0,1.0
2.9935772947204906e-12,1.0,1.0
3.0324434942593172e-12,1.0,1.0
3.0718143012686964e-12,1.0,1.0
3.1116962671661158e-12,1.0,1.0
3.1520960284273974e-12,1.0,1.0
3.193020307691027e-12,1.0,1.0
