galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,2.8271,-0.06733468887218408,constant,mass_log,False,4.602081116280756
D564-8,ok,6,2.8271,0.8579,2.8271,0.17195865129849552,constant,mass_log,False,9.788781682642979
D631-7,ok,16,2.8271,0.8579,2.8271,0.5388852872885759,constant,mass_log,False,24.56509462622878
DDO064,ok,14,2.8271,0.8579,2.8271,0.36998953241708366,constant,mass_log,False,11.208608105399794
DDO154,ok,12,2.8271,0.8579,2.8271,0.4582668922753988,constant,mass_log,False,22.619884724652273
DDO161,ok,31,2.8271,0.8579,2.8271,0.6656899164153196,constant,mass_log,False,21.28067987311186
DDO168,ok,10,2.8271,0.8579,2.8271,0.4275674103047665,constant,mass_log,False,17.965381254056904
DDO170,ok,8,2.8271,0.8579,2.8271,0.6156240909957021,constant,mass_log,False,24.28132212116342
ESO079-G014,ok,15,2.8271,0.8579,2.8271,0.9209517429501375,constant,mass_log,False,8.082223360052579
ESO116-G012,ok,15,2.8271,0.8579,2.8271,0.7537744204625662,constant,mass_log,False,31.078146612028192
ESO444-G084,ok,7,2.8271,0.8579,2.8271,0.4621487476241471,constant,mass_log,False,30.78255750690851
ESO563-G021,ok,30,2.8271,0.8579,2.8271,1.2195039978154432,constant,mass_log,False,57.40044822793029
F561-1,ok,6,2.8271,0.8579,2.8271,0.5350386309976971,constant,mass_log,False,4.151914409328485
F563-1,ok,17,2.8271,0.8579,2.8271,0.8411096835290299,constant,mass_log,False,56.62513170734894
F563-V1,ok,6,2.8271,0.8579,2.8271,0.3709750101106585,constant,mass_log,False,1.5528864771231206
F563-V2,ok,10,2.8271,0.8579,2.8271,0.7477867324305862,constant,mass_log,False,42.348673520812326
F565-V2,ok,7,2.8271,0.8579,2.8271,0.6191126476099797,constant,mass_log,False,37.10782828110741
F568-1,ok,12,2.8271,0.8579,2.8271,0.8194136844722564,constant,mass_log,False,48.38995419819341
F568-3,ok,18,2.8271,0.8579,2.8271,0.8011014406835198,constant,mass_log,False,24.433154193221743
F568-V1,ok,15,2.8271,0.8579,2.8271,0.8377600103613794,constant,mass_log,False,48.712568723302155
F571-8,ok,13,2.8271,0.8579,2.8271,0.8260155318802143,constant,mass_log,False,46.979451571735304
F571-V1,ok,7,2.8271,0.8579,2.8271,0.7062137751927112,constant,mass_log,False,32.934959945951405
F574-1,ok,14,2.8271,0.8579,2.8271,0.7524666895549905,constant,mass_log,False,29.047754044031613
F579-V1,ok,14,2.8271,0.8579,2.8271,0.8157570507302787,constant,mass_log,False,17.898186620106994
F583-1,ok,25,2.8271,0.8579,2.8271,0.7235935680064173,constant,mass_log,False,30.09183617706723
F583-4,ok,12,2.8271,0.8579,2.8271,0.5635139091285071,constant,mass_log,False,16.04878870522784
IC2574,ok,34,2.8271,0.8579,2.8271,0.6144269469925763,constant,mass_log,False,17.851532598155895
IC4202,ok,32,2.8271,0.8579,2.8271,1.090777328097087,constant,mass_log,False,32.72918384382038
KK98-251,ok,15,2.8271,0.8579,2.8271,0.2586522969889469,constant,mass_log,False,6.65853279557336
NGC0024,ok,29,2.8271,0.8579,2.8271,0.7663404425481597,constant,mass_log,False,20.78307150018553
