galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,48.41583457044982,-0.06733468887218408,mass_power,mass_log,False,4.45210905671748
D564-8,ok,6,2.8271,0.8579,23.223604966256193,0.17195865129849552,mass_power,mass_log,False,7.947673463340827
D631-7,ok,16,2.8271,0.8579,7.528251526501036,0.5388852872885759,mass_power,mass_log,False,24.491614555804244
DDO064,ok,14,2.8271,0.8579,12.644115685742943,0.36998953241708366,mass_power,mass_log,False,5.330027413474197
DDO154,ok,12,2.8271,0.8579,9.642403789454606,0.4582668922753988,mass_power,mass_log,False,22.494485404310982
DDO161,ok,31,2.8271,0.8579,5.100600181839945,0.6656899164153196,mass_power,mass_log,False,21.23917728923088
DDO168,ok,10,2.8271,0.8579,10.595414636039942,0.4275674103047665,mass_power,mass_log,False,13.609890939067357
DDO170,ok,8,2.8271,0.8579,5.948065138658682,0.6156240909957021,mass_power,mass_log,False,23.782793049815798
ESO079-G014,ok,15,2.8271,0.8579,2.3295507707459833,0.9209517429501375,mass_power,mass_log,False,10.452055686013837
ESO116-G012,ok,15,2.8271,0.8579,3.892021911783817,0.7537744204625662,mass_power,mass_log,False,30.425043907292117
ESO444-G084,ok,7,2.8271,0.8579,9.528170218215692,0.4621487476241471,mass_power,mass_log,False,29.268165402123056
ESO563-G021,ok,30,2.8271,0.8579,0.9315421422904726,1.2195039978154432,mass_power,mass_log,False,59.76159178939202
F561-1,ok,6,2.8271,0.8579,7.617684751141492,0.5350386309976971,mass_power,mass_log,False,4.151914409328485
F563-1,ok,17,2.8271,0.8579,2.9766533360012692,0.8411096835290299,mass_power,mass_log,False,56.56362325179389
F563-V1,ok,6,2.8271,0.8579,12.605918368212112,0.3709750101106585,mass_power,mass_log,False,1.5528864771231206
F563-V2,ok,10,2.8271,0.8579,3.9642301541434297,0.7477867324305862,mass_power,mass_log,False,40.30514503368927
F565-V2,ok,7,2.8271,0.8579,5.884699723019658,0.6191126476099797,mass_power,mass_log,False,35.62105813270104
F568-1,ok,12,2.8271,0.8579,3.1816782415527367,0.8194136844722564,mass_power,mass_log,False,46.16246128968526
F568-3,ok,18,2.8271,0.8579,3.3656781477598097,0.8011014406835198,mass_power,mass_log,False,22.98445276332211
F568-V1,ok,15,2.8271,0.8579,3.00742281538621,0.8377600103613794,mass_power,mass_log,False,48.078987527571336
F571-8,ok,13,2.8271,0.8579,3.1178397865954817,0.8260155318802143,mass_power,mass_log,False,46.79894981446881
F571-V1,ok,7,2.8271,0.8579,4.503907581153141,0.7062137751927112,mass_power,mass_log,False,32.169822736983164
F574-1,ok,14,2.8271,0.8579,3.907679331821597,0.7524666895549905,mass_power,mass_log,False,24.49729208953868
F579-V1,ok,14,2.8271,0.8579,3.2175978986538993,0.8157570507302787,mass_power,mass_log,False,16.779623244762877
F583-1,ok,25,2.8271,0.8579,4.269887308933544,0.7235935680064173,mass_power,mass_log,False,28.029992064879316
F583-4,ok,12,2.8271,0.8579,6.980008611459325,0.5635139091285071,mass_power,mass_log,False,11.39799091091674
IC2574,ok,34,2.8271,0.8579,5.969966689896697,0.6144269469925763,mass_power,mass_log,False,16.312250386580782
