alpha,lam_coh_kpc,lam_cut_kpc,A_global,burr_ell0_kpc,phase_sign,corr_K_emp_theory,rms_theory,rms_empirical,rms_gr,delta_rms_vs_emp,delta_rms_vs_gr
2.0,10.0,500.0,5.0,5.0,1.0,-0.9956833334845517,44.13756233999824,39.57075032402997,111.37021851783247,4.566812015968267,-67.23265617783423
2.0,10.0,500.0,5.0,10.0,1.0,-0.995358077278539,52.67603480392742,39.57075032402997,111.37021851783247,13.105284479897449,-58.69418371390505
2.0,10.0,500.0,5.0,40.0,1.0,-0.9948002804605254,76.72395683809393,39.57075032402997,111.37021851783247,37.15320651406395,-34.646261679738544
2.0,10.0,500.0,10.0,5.0,1.0,-0.9956833334845517,60.53760637833106,39.57075032402997,111.37021851783247,20.96685605430109,-50.83261213950141
2.0,10.0,500.0,10.0,10.0,1.0,-0.995358077278539,44.711995646299236,39.57075032402997,111.37021851783247,5.141245322269263,-66.65822287153324
2.0,10.0,500.0,10.0,40.0,1.0,-0.9948002804605254,52.997222587003776,39.57075032402997,111.37021851783247,13.426472262973803,-58.372995930828694
2.0,10.0,500.0,15.0,5.0,1.0,-0.9956833334845511,102.57286031339865,39.57075032402997,111.37021851783247,63.00210998936868,-8.79735820443382
2.0,10.0,500.0,15.0,10.0,1.0,-0.995358077278539,72.7793307569005,39.57075032402997,111.37021851783247,33.208580432870534,-38.59088776093196
2.0,10.0,500.0,15.0,40.0,1.0,-0.9948002804605254,41.372135665260686,39.57075032402997,111.37021851783247,1.8013853412307128,-69.99808285257178
2.0,10.0,500.0,20.0,5.0,1.0,-0.9956833334845517,142.89554136409762,39.57075032402997,111.37021851783247,103.32479104006765,31.525322846265155
2.0,10.0,500.0,20.0,10.0,1.0,-0.995358077278539,105.2522147951028,39.57075032402997,111.37021851783247,65.68146447107283,-6.118003722729668
2.0,10.0,500.0,20.0,40.0,1.0,-0.9948002804605254,44.112521356983656,39.57075032402997,111.37021851783247,4.541771032953683,-67.2576971608488
2.0,10.0,900.0,5.0,5.0,1.0,-0.9956811355627081,44.136556249749816,39.57075032402997,111.37021851783247,4.565805925719843,-67.23366226808265
2.0,10.0,900.0,5.0,10.0,1.0,-0.9953557196941958,52.674872498114524,39.57075032402997,111.37021851783247,13.104122174084551,-58.695346019717945
2.0,10.0,900.0,5.0,40.0,1.0,-0.9947976313509233,76.72313324868325,39.57075032402997,111.37021851783247,37.15238292465328,-34.647085269149215
2.0,10.0,900.0,10.0,5.0,1.0,-0.9956811355627081,60.53920608312788,39.57075032402997,111.37021851783247,20.968455759097907,-50.83101243470459
2.0,10.0,900.0,10.0,10.0,1.0,-0.9953557196941958,44.71247121330433,39.57075032402997,111.37021851783247,5.14172088927436,-66.65774730452813
2.0,10.0,900.0,10.0,40.0,1.0,-0.9947976313509233,52.996061762874255,39.57075032402997,111.37021851783247,13.425311438844282,-58.374156754958214
2.0,10.0,900.0,15.0,5.0,1.0,-0.9956811355627081,102.57575187906662,39.57075032402997,111.37021851783247,63.00500155503664,-8.794466638765854
2.0,10.0,900.0,15.0,10.0,1.0,-0.9953557196941952,72.7814469854517,39.57075032402997,111.37021851783247,33.21069666142172,-38.588771532380775
2.0,10.0,900.0,15.0,40.0,1.0,-0.9947976313509236,41.37142097036911,39.57075032402997,111.37021851783247,1.8006706463391353,-69.99879754746337
2.0,10.0,900.0,20.0,5.0,1.0,-0.9956811355627081,142.89922825681924,39.57075032402997,111.37021851783247,103.32847793278927,31.529009738986773
2.0,10.0,900.0,20.0,10.0,1.0,-0.9953557196941958,105.25519416853217,39.57075032402997,111.37021851783247,65.6844438445022,-6.115024349300299
2.0,10.0,900.0,20.0,40.0,1.0,-0.9947976313509233,44.112979591551785,39.57075032402997,111.37021851783247,4.542229267521812,-67.25723892628068
2.0,10.0,1300.0,5.0,5.0,1.0,-0.9956802864225868,44.13616758478597,39.57075032402997,111.37021851783247,4.565417260756,-67.23405093304649
2.0,10.0,1300.0,5.0,10.0,1.0,-0.9953548088677622,52.67442347122576,39.57075032402997,111.37021851783247,13.103673147195785,-58.69579504660671
2.0,10.0,1300.0,5.0,40.0,1.0,-0.9947966078905925,76.72281507117756,39.57075032402997,111.37021851783247,37.15206474714759,-34.647403446654906
2.0,10.0,1300.0,10.0,5.0,1.0,-0.9956802864225868,60.53982412842694,39.57075032402997,111.37021851783247,20.96907380439697,-50.83039438940553
2.0,10.0,1300.0,10.0,10.0,1.0,-0.9953548088677622,44.7126549807526,39.57075032402997,111.37021851783247,5.14190465672263,-66.65756353707987
2.0,10.0,1300.0,10.0,40.0,1.0,-0.9947966078905925,52.995613308586144,39.57075032402997,111.37021851783247,13.42486298455617,-58.374605209246326
2.0,10.0,1300.0,15.0,5.0,1.0,-0.9956802864225865,102.57686899501267,39.57075032402997,111.37021851783247,63.0061186709827,-8.793349522819796
2.0,10.0,1300.0,15.0,10.0,1.0,-0.9953548088677621,72.78226457407881,39.57075032402997,111.37021851783247,33.211514250048836,-38.58795394375366
2.0,10.0,1300.0,15.0,40.0,1.0,-0.9947966078905924,41.37114489159191,39.57075032402997,111.37021851783247,1.8003945675619377,-69.99907362624056
2.0,10.0,1300.0,20.0,5.0,1.0,-0.9956802864225868,142.90065262634343,39.57075032402997,111.37021851783247,103.32990230231346,31.53043410851096
2.0,10.0,1300.0,20.0,10.0,1.0,-0.9953548088677622,105.25634520736716,39.57075032402997,111.37021851783247,65.68559488333719,-6.1138733104653085
2.0,10.0,1300.0,20.0,40.0,1.0,-0.9947966078905925,44.11315666480302,39.57075032402997,111.37021851783247,4.542406340773049,-67.25706185302946
2.0,40.0,500.0,5.0,5.0,1.0,-0.9953387817912235,43.859805057193405,39.57075032402997,111.37021851783247,4.289054733163432,-67.51041346063906
2.0,40.0,500.0,5.0,10.0,1.0,-0.9949974101623489,52.355544660121275,39.57075032402997,111.37021851783247,12.784794336091302,-59.014673857711195
2.0,40.0,500.0,5.0,40.0,1.0,-0.9944196580640613,76.49723390939407,39.57075032402997,111.37021851783247,36.926483585364096,-34.8729846084384
2.0,40.0,500.0,10.0,5.0,1.0,-0.9953387817912235,60.974337355734164,39.57075032402997,111.37021851783247,21.40358703170419,-50.395881162098306
2.0,40.0,500.0,10.0,10.0,1.0,-0.9949974101623489,44.84182637740883,39.57075032402997,111.37021851783247,5.271076053378856,-66.52839214042365
2.0,40.0,500.0,10.0,40.0,1.0,-0.9944196580640613,52.677262844390775,39.57075032402997,111.37021851783247,13.106512520360802,-58.692955673441695
2.0,40.0,500.0,15.0,5.0,1.0,-0.9953387817912227,103.36286507237045,39.57075032402997,111.37021851783247,63.79211474834048,-8.007353445462016
2.0,40.0,500.0,15.0,10.0,1.0,-0.9949974101623482,73.35764065037496,39.57075032402997,111.37021851783247,33.78689032634499,-38.01257786745751
2.0,40.0,500.0,15.0,40.0,1.0,-0.9944196580640617,41.17534276979175,39.57075032402997,111.37021851783247,1.6045924457617744,-70.19487574804072
2.0,40.0,500.0,20.0,5.0,1.0,-0.9953387817912235,143.90337279449065,39.57075032402997,111.37021851783247,104.33262247046068,32.53315427665818
2.0,40.0,500.0,20.0,10.0,1.0,-0.9949974101623489,106.06669979253383,39.57075032402997,111.37021851783247,66.49594946850385,-5.303518725298645
2.0,40.0,500.0,20.0,40.0,1.0,-0.9944196580640613,44.238335743798,39.57075032402997,111.37021851783247,4.667585419768024,-67.13188277403447
2.0,40.0,900.0,5.0,5.0,1.0,-0.99533459008131,43.85587850024945,39.57075032402997,111.37021851783247,4.28512817621948,-67.51434001758301
2.0,40.0,900.0,5.0,10.0,1.0,-0.9949930730096853,52.35098322347097,39.57075032402997,111.37021851783247,12.780232899440996,-59.0192352943615
2.0,40.0,900.0,5.0,40.0,1.0,-0.9944152320082397,76.49399575732218,39.57075032402997,111.37021851783247,36.92324543329221,-34.87622276051029
2.0,40.0,900.0,10.0,5.0,1.0,-0.99533459008131,60.98064532746588,39.57075032402997,111.37021851783247,21.409895003435906,-50.38957319036659
2.0,40.0,900.0,10.0,10.0,1.0,-0.9949930730096853,44.84377215712784,39.57075032402997,111.37021851783247,5.273021833097864,-66.52644636070463
2.0,40.0,900.0,10.0,40.0,1.0,-0.9944152320082397,52.67270940229593,39.57075032402997,111.37021851783247,13.101959078265956,-58.69750911553654
2.0,40.0,900.0,15.0,5.0,1.0,-0.9953345900813101,103.37418995536679,39.57075032402997,111.37021851783247,63.803439631336815,-7.996028562465682
2.0,40.0,900.0,15.0,10.0,1.0,-0.9949930730096848,73.36595989974303,39.57075032402997,111.37021851783247,33.79520957571306,-38.00425861808944
2.0,40.0,900.0,15.0,40.0,1.0,-0.9944152320082397,41.172597329815126,39.57075032402997,111.37021851783247,1.601847005785153,-70.19762118801734
2.0,40.0,900.0,20.0,5.0,1.0,-0.99533459008131,143.91779820280294,39.57075032402997,111.37021851783247,104.34704787877297,32.54757968497047
2.0,40.0,900.0,20.0,10.0,1.0,-0.9949930730096853,106.07837456813407,39.57075032402997,111.37021851783247,66.5076242441041,-5.2918439496984035
2.0,40.0,900.0,20.0,40.0,1.0,-0.9944152320082397,44.24022809530147,39.57075032402997,111.37021851783247,4.669477771271495,-67.129990422531
2.0,40.0,1300.0,5.0,5.0,1.0,-0.9953329747243325,43.85435728843024,39.57075032402997,111.37021851783247,4.2836069644002706,-67.51586122940222
2.0,40.0,1300.0,5.0,10.0,1.0,-0.9949914023210377,52.34921583700567,39.57075032402997,111.37021851783247,12.7784655129757,-59.0210026808268
2.0,40.0,1300.0,5.0,40.0,1.0,-0.9944135292131889,76.49274101911666,39.57075032402997,111.37021851783247,36.92199069508669,-34.877477498715805
2.0,40.0,1300.0,10.0,5.0,1.0,-0.9953329747243325,60.983090023227426,39.57075032402997,111.37021851783247,21.412339699197453,-50.387128494605044
2.0,40.0,1300.0,10.0,10.0,1.0,-0.9949914023210377,44.84452673812018,39.57075032402997,111.37021851783247,5.273776414090207,-66.52569177971229
2.0,40.0,1300.0,10.0,40.0,1.0,-0.9944135292131889,52.670945118015204,39.57075032402997,111.37021851783247,13.100194793985231,-58.699273399817265
2.0,40.0,1300.0,15.0,5.0,1.0,-0.9953329747243328,103.3785784137162,39.57075032402997,111.37021851783247,63.807828089686225,-7.9916401041162715
2.0,40.0,1300.0,15.0,10.0,1.0,-0.9949914023210374,73.3691838575968,39.57075032402997,111.37021851783247,33.79843353356682,-38.001034660235675
2.0,40.0,1300.0,15.0,40.0,1.0,-0.9944135292131893,41.17153396391498,39.57075032402997,111.37021851783247,1.6007836398850088,-70.19868455391749
2.0,40.0,1300.0,20.0,5.0,1.0,-0.9953329747243325,143.9233879877221,39.57075032402997,111.37021851783247,104.35263766369212,32.553169469889625
2.0,40.0,1300.0,20.0,10.0,1.0,-0.9949914023210377,106.08289861041007,39.57075032402997,111.37021851783247,66.5121482863801,-5.2873199074224
2.0,40.0,1300.0,20.0,40.0,1.0,-0.9944135292131889,44.24096200940104,39.57075032402997,111.37021851783247,4.670211685371065,-67.12925650843144
2.0,80.0,500.0,5.0,5.0,1.0,-0.9953314457258073,43.82075412404223,39.57075032402997,111.37021851783247,4.250003800012259,-67.54946439379023
2.0,80.0,500.0,5.0,10.0,1.0,-0.9949923400140392,52.310423998732816,39.57075032402997,111.37021851783247,12.739673674702843,-59.059794519099654
2.0,80.0,500.0,5.0,40.0,1.0,-0.9944217540584898,76.46531616432301,39.57075032402997,111.37021851783247,36.89456584029304,-34.904902353509456
2.0,80.0,500.0,10.0,5.0,1.0,-0.9953314457258073,61.03565843936355,39.57075032402997,111.37021851783247,21.46490811533358,-50.33456007846892
2.0,80.0,500.0,10.0,10.0,1.0,-0.9949923400140392,44.86030018880456,39.57075032402997,111.37021851783247,5.289549864774585,-66.50991832902791
2.0,80.0,500.0,10.0,40.0,1.0,-0.9944217540584898,52.63223277118573,39.57075032402997,111.37021851783247,13.061482447155754,-58.73798574664674
2.0,80.0,500.0,15.0,5.0,1.0,-0.9953314457258075,103.4735596311923,39.57075032402997,111.37021851783247,63.90280930716233,-7.896658886640168
2.0,80.0,500.0,15.0,10.0,1.0,-0.9949923400140388,73.4387907290072,39.57075032402997,111.37021851783247,33.86804040497722,-37.931427788825275
2.0,80.0,500.0,15.0,40.0,1.0,-0.9944217540584893,41.14786289620028,39.57075032402997,111.37021851783247,1.5771125721703072,-70.22235562163219
2.0,80.0,500.0,20.0,5.0,1.0,-0.9953314457258073,144.0445716225102,39.57075032402997,111.37021851783247,104.47382129848023,32.674353104677735
2.0,80.0,500.0,20.0,10.0,1.0,-0.9949923400140392,106.18087819054526,39.57075032402997,111.37021851783247,66.61012786651528,-5.189340327287212
2.0,80.0,500.0,20.0,40.0,1.0,-0.9944217540584898,44.25634595768526,39.57075032402997,111.37021851783247,4.685595633655289,-67.1138725601472
2.0,80.0,900.0,5.0,5.0,1.0,-0.9953276778371175,43.81625574894933,39.57075032402997,111.37021851783247,4.245505424919358,-67.55396276888314
2.0,80.0,900.0,5.0,10.0,1.0,-0.9949885229458609,52.30519401532796,39.57075032402997,111.37021851783247,12.73444369129799,-59.06502450250451
2.0,80.0,900.0,5.0,40.0,1.0,-0.9944180970496418,76.46160233630769,39.57075032402997,111.37021851783247,36.89085201227772,-34.90861618152478
2.0,80.0,900.0,10.0,5.0,1.0,-0.9953276778371175,61.04289640035383,39.57075032402997,111.37021851783247,21.47214607632386,-50.32732211747864
2.0,80.0,900.0,10.0,10.0,1.0,-0.9949885229458609,44.86254453343208,39.57075032402997,111.37021851783247,5.291794209402106,-66.50767398440038
2.0,80.0,900.0,10.0,40.0,1.0,-0.9944180970496418,52.62701234467881,39.57075032402997,111.37021851783247,13.056262020648838,-58.74320617315366
2.0,80.0,900.0,15.0,5.0,1.0,-0.995327677837117,103.48654146905145,39.57075032402997,111.37021851783247,63.91579114502147,-7.883677048781024
2.0,80.0,900.0,15.0,10.0,1.0,-0.9949885229458605,73.44833237893884,39.57075032402997,111.37021851783247,33.87758205490887,-37.921886138893626
2.0,80.0,900.0,15.0,40.0,1.0,-0.9944180970496426,41.14472514786893,39.57075032402997,111.37021851783247,1.5739748238389595,-70.22549336996354
2.0,80.0,900.0,20.0,5.0,1.0,-0.9953276778371175,144.06110517084397,39.57075032402997,111.37021851783247,104.490354846814,32.6908866530115
2.0,80.0,900.0,20.0,10.0,1.0,-0.9949885229458609,106.19426216132061,39.57075032402997,111.37021851783247,66.62351183729064,-5.175956356511861
2.0,80.0,900.0,20.0,40.0,1.0,-0.9944180970496418,44.258531570328216,39.57075032402997,111.37021851783247,4.687781246298243,-67.11168694750425
2.0,80.0,1300.0,5.0,5.0,1.0,-0.9953262306126635,43.81451169382966,39.57075032402997,111.37021851783247,4.243761369799685,-67.55570682400281
2.0,80.0,1300.0,5.0,10.0,1.0,-0.994987058283386,52.30316603353481,39.57075032402997,111.37021851783247,12.732415709504835,-59.06705248429766
2.0,80.0,1300.0,5.0,40.0,1.0,-0.9944166981929361,76.46016216214026,39.57075032402997,111.37021851783247,36.88941183811029,-34.910056355692205
2.0,80.0,1300.0,10.0,5.0,1.0,-0.9953262306126635,61.04570376190343,39.57075032402997,111.37021851783247,21.47495343787346,-50.32451475592904
2.0,80.0,1300.0,10.0,10.0,1.0,-0.994987058283386,44.863415665960986,39.57075032402997,111.37021851783247,5.292665341931013,-66.50680285187148
2.0,80.0,1300.0,10.0,40.0,1.0,-0.9944166981929361,52.624988075155635,39.57075032402997,111.37021851783247,13.054237751125662,-58.745230442676835
2.0,80.0,1300.0,15.0,5.0,1.0,-0.995326230612663,103.49157594205482,39.57075032402997,111.37021851783247,63.92082561802485,-7.878642575777647
2.0,80.0,1300.0,15.0,10.0,1.0,-0.9949870582833855,73.45203297734417,39.57075032402997,111.37021851783247,33.8812826533142,-37.918185540488295
2.0,80.0,1300.0,15.0,40.0,1.0,-0.9944166981929365,41.143508963093176,39.57075032402997,111.37021851783247,1.5727586390632027,-70.2267095547393
2.0,80.0,1300.0,20.0,5.0,1.0,-0.9953262306126635,144.0675168409207,39.57075032402997,111.37021851783247,104.49676651689072,32.69729832308822
2.0,80.0,1300.0,20.0,10.0,1.0,-0.994987058283386,106.19945258455252,39.57075032402997,111.37021851783247,66.62870226052254,-5.170765933279952
2.0,80.0,1300.0,20.0,40.0,1.0,-0.9944166981929361,44.25937997641009,39.57075032402997,111.37021851783247,4.688629652380115,-67.11083854142238
3.0,10.0,500.0,5.0,5.0,1.0,-0.996112268725706,44.333290466762854,39.57075032402997,111.37021851783247,4.762540142732881,-67.03692805106962
3.0,10.0,500.0,5.0,10.0,1.0,-0.9958181808018546,52.90126375609147,39.57075032402997,111.37021851783247,13.330513432061494,-58.468954761741
3.0,10.0,500.0,5.0,40.0,1.0,-0.995317329017584,76.88324204154331,39.57075032402997,111.37021851783247,37.31249171751334,-34.48697647628916
3.0,10.0,500.0,10.0,5.0,1.0,-0.996112268725706,60.23011015082746,39.57075032402997,111.37021851783247,20.659359826797484,-51.14010836700501
3.0,10.0,500.0,10.0,10.0,1.0,-0.9958181808018546,44.622687085666136,39.57075032402997,111.37021851783247,5.0519367616361635,-66.74753143216634
3.0,10.0,500.0,10.0,40.0,1.0,-0.995317329017584,53.22218028371765,39.57075032402997,111.37021851783247,13.651429959687675,-58.14803823411482
3.0,10.0,500.0,15.0,5.0,1.0,-0.9961122687257057,102.01449337324699,39.57075032402997,111.37021851783247,62.44374304921702,-9.355725144585477
3.0,10.0,500.0,15.0,10.0,1.0,-0.9958181808018544,72.371558166375,39.57075032402997,111.37021851783247,32.80080784234502,-38.998660351457474
3.0,10.0,500.0,15.0,40.0,1.0,-0.9953173290175832,41.51226694091718,39.57075032402997,111.37021851783247,1.9415166168872062,-69.8579515769153
3.0,10.0,500.0,20.0,5.0,1.0,-0.996112268725706,142.1829665747826,39.57075032402997,111.37021851783247,102.61221625075262,30.812748056950127
3.0,10.0,500.0,20.0,10.0,1.0,-0.9958181808018546,104.67688052557037,39.57075032402997,111.37021851783247,65.1061302015404,-6.6933379922621015
3.0,10.0,500.0,20.0,40.0,1.0,-0.995317329017584,44.0267085419416,39.57075032402997,111.37021851783247,4.455958217911629,-67.34350997589087
