galaxy,sigma_v,Q,K_mean,G_emp
CamB,1.635,122.32415902140673,-1.2534286839226276,0.9918912887147568
D564-8,3.1275,63.948840927258196,-1.1794428383019704,0.9846032664213362
D631-7,8.355,23.937761819269898,-1.1319551331213913,0.9599001703822803
DDO064,6.7875,29.46593001841621,-1.1385613506289163,0.9671764492534607
DDO154,6.757499999999999,29.59674435812061,-1.1387161252553042,0.967316784155351
DDO161,9.967499999999998,20.06521193880111,-1.1271945192703243,0.9525283674854442
DDO168,7.199999999999999,27.777777777777782,-1.1365589936626392,0.9652509652509652
DDO170,8.565,23.35084646818447,-1.1312430587586322,0.9589336657636708
ESO079-G014,23.775,8.412197686645637,-1.1103170976302716,0.8937548877220423
ESO116-G012,16.275,12.28878648233487,-1.1167453602237039,0.9247485839787308
ESO444-G084,7.919999999999999,25.252525252525256,-1.1335410746829364,0.9619084263178146
ESO563-G021,46.875,4.266666666666667,-1.0997498444808431,0.810126582278481
F561-1,7.1025,28.159098908834917,-1.1370121735607788,0.9657053874289301
F563-1,15.9375,12.549019607843137,-1.1171315892451965,0.9261939218523878
F563-V1,4.1925,47.70423375074538,-1.160017140555277,0.9794679040611188
F563-V2,15.435,12.957563977972141,-1.1177301816283447,0.9283542599856105
F565-V2,10.275,19.464720194647203,-1.1264400833245638,0.9511354179051242
F568-1,18.075,11.065006915629322,-1.1148694394282572,0.9171156712140318
F568-3,14.4525,13.838436256702993,-1.1189919601590579,0.932607453865075
F568-V1,16.8,11.904761904761905,-1.1161678086623192,0.922509225092251
F571-8,17.099999999999998,11.69590643274854,-1.1158496449945172,0.921234454168586
F571-V1,11.55,17.316017316017316,-1.1236896194098254,0.9454029780193808
F574-1,14.325,13.961605584642234,-1.1191655464797097,0.9331622535868425
F579-V1,16.65,12.012012012012013,-1.1163300557367397,0.9231479344564967
F583-1,11.2875,17.718715393133998,-1.124211998464453,0.946577530615867
F583-4,9.12,21.92982456140351,-1.1295064640825347,0.9563886763580719
IC2574,9.36,21.36752136752137,-1.128813664217144,0.9552923194497517
IC4202,36.6,5.46448087431694,-1.10363546147678,0.8453085376162299
KK98-251,4.32,46.29629629629629,-1.1583545474918586,0.9788566953797964
NGC0024,15.975,12.519561815336463,-1.117088068219902,0.9260331056835281
NGC0055,12.8625,15.549076773566568,-1.1213502741912011,0.9395736684479418
NGC0100,12.802499999999998,15.621948838117557,-1.121448478390795,0.9398385827234172
NGC0247,15.75,12.698412698412698,-1.1173515434707948,0.9269988412514484
NGC0289,25.5,7.8431372549019605,-1.109210149375167,0.8869179600886917
NGC0300,13.9725,14.313830738951511,-1.1196584422199674,0.9346995525125892
NGC0801,33.15,6.033182503770739,-1.1051571451856586,0.8578168561012224
NGC0891,32.85,6.0882800608828,-1.10529659834916,0.8589220528237063
NGC1003,16.65,12.012012012012013,-1.1163300557367397,0.9231479344564967
NGC1090,24.6,8.130081300813007,-1.1097759545284844,0.8904719501335708
NGC1705,10.725,18.64801864801865,-1.1254047856441403,0.9491042828330762
NGC2366,7.619999999999999,26.24671916010499,-1.1347331059222696,0.963298333493883
NGC2403,20.175,9.913258983890954,-1.1129924563858056,0.9083683433632338
NGC2683,25.575,7.820136852394917,-1.1091640778308576,0.8866230743655104
NGC2841,42.675,4.6865846514352665,-1.1012448765764382,0.8241475224065108
NGC2903,27.525,7.266121707538602,-1.108018646758063,0.8790242830458191
NGC2915,12.315,16.240357287860334,-1.1222754976218485,0.9419965617125498
NGC2955,40.35,4.956629491945477,-1.1021233302337592,0.8321198252548367
NGC2976,11.745,17.028522775649215,-1.1233144480358574,0.9445323384259369
NGC2998,31.875,6.2745098039215685,-1.1057587697701228,0.862533692722372
NGC3109,9.5325,20.98085496984002,-1.128335165085084,0.9545058642454034
NGC3198,22.275,8.978675645342312,-1.1113635992325086,0.899786300753571
NGC3521,31.5,6.349206349206349,-1.1059403475654754,0.8639308855291576
NGC3726,24.15,8.281573498964804,-1.1100683165976168,0.8922596475574393
NGC3741,7.14,28.011204481792717,-1.1368364757909426,0.9655305590421936
NGC3769,17.925,11.15760111576011,-1.1150152081139446,0.9177469312836986
NGC3877,25.2,7.936507936507937,-1.1093960582399134,0.8880994671403197
NGC3893,27.375,7.30593607305936,-1.1081034022718517,0.879604178119846
NGC3917,20.55,9.732360097323602,-1.1126854901865861,0.906823849467241
NGC3949,23.55,8.492569002123142,-1.1104687061144944,0.8946544397226571
NGC3953,32.925,6.074411541381929,-1.105261617147224,0.8586454867446603
NGC3972,16.95,11.799410029498526,-1.1160076898977955,0.9218713989398479
NGC3992,37.2,5.376344086021505,-1.1033845729047003,0.8431703204047217
NGC4010,17.775,11.251758087201127,-1.1151627394236332,0.9183790609574102
NGC4013,26.7,7.490636704119851,-1.108491448309191,0.882223202470225
NGC4051,22.95,8.714596949891067,-1.1108819980606977,0.8970621215519174
NGC4068,3.9675,50.40957781978576,-1.1632198906070508,0.9805483716768603
NGC4085,19.05,10.498687664041995,-1.1139621262248602,0.9130335539831089
