name,hubble_type,bar_class,bar_strength,g_bar
CamB,Im,S,0.2,0.7316
D512-2,Im,S,0.2,0.7316
D564-8,Im,S,0.2,0.7316
D631-7,Im,S,0.2,0.7316
DDO064,Im,S,0.2,0.7316
DDO154,Im,S,0.2,0.7316
DDO161,Im,S,0.2,0.7316
DDO168,Im,S,0.2,0.7316
DDO170,Im,S,0.2,0.7316
ESO079-G014,Sbc,SB,1.0,0.45
ESO116-G012,Sd,S,0.2,0.7316
ESO444-G084,Im,S,0.2,0.7316
ESO563-G021,Sbc,SB,1.0,0.45
F561-1,Sm,S,0.2,0.7316
F563-1,Sm,S,0.2,0.7316
F563-V1,Im,S,0.2,0.7316
F563-V2,Im,S,0.2,0.7316
F565-V2,Im,S,0.2,0.7316
F567-2,Sm,S,0.2,0.7316
F568-1,Sc,S,0.2,0.7316
F568-3,Sd,S,0.2,0.7316
F568-V1,Sd,S,0.2,0.7316
F571-8,Sc,S,0.2,0.7316
F571-V1,Sd,S,0.2,0.7316
F574-1,Sd,S,0.2,0.7316
F574-2,Sm,S,0.2,0.7316
F579-V1,Sc,S,0.2,0.7316
F583-1,Sm,S,0.2,0.7316
F583-4,Sc,S,0.2,0.7316
IC2574,Sm,S,0.2,0.7316
IC4202,Sbc,SB,1.0,0.45
KK98-251,Im,S,0.2,0.7316
NGC0024,Sc,S,0.2,0.7316
NGC0055,Sm,S,0.2,0.7316
NGC0100,Scd,S,0.2,0.7316
NGC0247,Sd,S,0.2,0.7316
NGC0289,Sbc,SB,1.0,0.45
NGC0300,Sd,S,0.2,0.7316
NGC0801,Sc,S,0.2,0.7316
NGC0891,Sb,SB,1.0,0.45
NGC1003,Scd,S,0.2,0.7316
NGC1090,Sbc,SB,1.0,0.45
NGC1705,BCD,unknown,0.5,0.51875
NGC2366,Im,S,0.2,0.7316
NGC2403,Scd,S,0.2,0.7316
NGC2683,Sb,SB,1.0,0.45
NGC2841,Sb,SB,1.0,0.45
NGC2903,Sbc,SB,1.0,0.45
NGC2915,BCD,unknown,0.5,0.51875
NGC2955,Sb,SB,1.0,0.45
NGC2976,Sc,S,0.2,0.7316
NGC2998,Sc,S,0.2,0.7316
NGC3109,Sm,S,0.2,0.7316
NGC3198,Sc,S,0.2,0.7316
NGC3521,Sbc,SB,1.0,0.45
NGC3726,Sc,S,0.2,0.7316
NGC3741,Im,S,0.2,0.7316
NGC3769,Sb,SB,1.0,0.45
NGC3877,Sc,S,0.2,0.7316
NGC3893,Sc,S,0.2,0.7316
NGC3917,Scd,S,0.2,0.7316
NGC3949,Sbc,SB,1.0,0.45
NGC3953,Sbc,SB,1.0,0.45
NGC3972,Sbc,SB,1.0,0.45
NGC3992,Sbc,SB,1.0,0.45
NGC4010,Sd,S,0.2,0.7316
NGC4013,Sb,SB,1.0,0.45
NGC4051,Sbc,SB,1.0,0.45
NGC4068,Im,S,0.2,0.7316
NGC4085,Sc,S,0.2,0.7316
NGC4088,Sbc,SB,1.0,0.45
NGC4100,Sbc,SB,1.0,0.45
NGC4138,S0,S,0.2,0.7316
NGC4157,Sb,SB,1.0,0.45
NGC4183,Scd,S,0.2,0.7316
NGC4214,Im,S,0.2,0.7316
NGC4217,Sb,SB,1.0,0.45
NGC4389,Sbc,SB,1.0,0.45
NGC4559,Scd,S,0.2,0.7316
NGC5005,Sbc,SB,1.0,0.45
NGC5033,Sc,S,0.2,0.7316
NGC5055,Sbc,SB,1.0,0.45
NGC5371,Sbc,SB,1.0,0.45
NGC5585,Sd,S,0.2,0.7316
NGC5907,Sc,S,0.2,0.7316
NGC5985,Sb,SB,1.0,0.45
NGC6015,Scd,S,0.2,0.7316
NGC6195,Sb,SB,1.0,0.45
NGC6503,Scd,S,0.2,0.7316
NGC6674,Sb,SB,1.0,0.45
NGC6789,BCD,unknown,0.5,0.51875
NGC6946,Scd,S,0.2,0.7316
NGC7331,Sb,SB,1.0,0.45
NGC7793,Sd,S,0.2,0.7316
NGC7814,Sab,SAB,0.6,0.4852
PGC51017,BCD,unknown,0.5,0.51875
UGC00128,Sdm,S,0.2,0.7316
UGC00191,Sm,S,0.2,0.7316
UGC00634,Sm,S,0.2,0.7316
UGC00731,Im,S,0.2,0.7316
UGC00891,Sm,S,0.2,0.7316
UGC01230,Sm,S,0.2,0.7316
UGC01281,Sdm,S,0.2,0.7316
UGC02023,Im,S,0.2,0.7316
UGC02259,Sdm,S,0.2,0.7316
UGC02455,Im,S,0.2,0.7316
UGC02487,S0,S,0.2,0.7316
UGC02885,Sc,S,0.2,0.7316
UGC02916,Sab,SAB,0.6,0.4852
UGC02953,Sab,SAB,0.6,0.4852
UGC03205,Sab,SAB,0.6,0.4852
UGC03546,Sa,SA,0.0,1.0
UGC03580,Sa,SA,0.0,1.0
UGC04278,Sd,S,0.2,0.7316
UGC04305,Im,S,0.2,0.7316
UGC04325,Sm,S,0.2,0.7316
UGC04483,Im,S,0.2,0.7316
UGC04499,Sdm,S,0.2,0.7316
UGC05005,Im,S,0.2,0.7316
UGC05253,Sab,SAB,0.6,0.4852
UGC05414,Im,S,0.2,0.7316
UGC05716,Sm,S,0.2,0.7316
UGC05721,Sd,S,0.2,0.7316
UGC05750,Sdm,S,0.2,0.7316
UGC05764,Im,S,0.2,0.7316
UGC05829,Im,S,0.2,0.7316
UGC05918,Im,S,0.2,0.7316
UGC05986,Sm,S,0.2,0.7316
UGC05999,Im,S,0.2,0.7316
UGC06399,Sm,S,0.2,0.7316
UGC06446,Sd,S,0.2,0.7316
UGC06614,Sa,SA,0.0,1.0
UGC06628,Sm,S,0.2,0.7316
UGC06667,Scd,S,0.2,0.7316
UGC06786,S0,S,0.2,0.7316
UGC06787,Sab,SAB,0.6,0.4852
UGC06818,Sm,S,0.2,0.7316
UGC06917,Sm,S,0.2,0.7316
UGC06923,Im,S,0.2,0.7316
UGC06930,Sd,S,0.2,0.7316
UGC06973,Sab,SAB,0.6,0.4852
UGC06983,Scd,S,0.2,0.7316
UGC07089,Sdm,S,0.2,0.7316
UGC07125,Sm,S,0.2,0.7316
UGC07151,Scd,S,0.2,0.7316
UGC07232,Im,S,0.2,0.7316
UGC07261,Sdm,S,0.2,0.7316
UGC07323,Sdm,S,0.2,0.7316
UGC07399,Sdm,S,0.2,0.7316
