R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.41,33.2,11.6,2.21,28.95,0.0,29.034231520741166
0.98,50.4,11.8,4.41,47.6,0.0,47.803850263341765
1.78,53.9,9.75,6.75,62.09,0.0,62.455829191517424
2.69,67.6,5.1,8.55,75.48,0.0,75.96270729772604
3.36,81.7,5.06,9.18,82.21,0.0,82.7209556279423
4.39,102.0,5.35,9.29,86.87,0.0,87.36533065238179
5.65,116.0,6.44,9.5,92.23,0.0,92.71797506416974
6.34,132.0,9.1,10.22,96.19,0.0,96.73140389759676
6.89,137.0,5.25,11.87,100.53,0.0,101.22834484471234
8.34,154.0,4.2,17.23,113.81,0.0,115.10685904845114
10.04,163.0,3.28,24.23,128.72,0.0,130.9806523880531
11.65,170.0,2.41,30.75,133.41,0.0,136.90796397580382
13.36,175.0,2.18,36.2,132.99,0.0,137.8288072211321
15.06,177.0,2.23,39.42,128.51,0.0,134.42007476563907
16.67,178.0,2.03,40.49,124.23,0.0,130.66190339957552
