R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.33,175.0,13.6,0.0,53.18,236.8,242.6980683895115
2.34,237.0,3.65,0.0,84.9,258.48,272.06602213433416
3.33,247.0,3.81,0.0,110.89,258.69,281.45533961891715
4.34,242.0,3.56,0.0,133.39,255.32,288.06456654715447
5.35,240.0,4.2,0.11,152.34,247.96,291.0182971910873
6.34,233.0,4.59,0.0,168.35,242.98,295.60277891115976
7.34,233.0,4.63,0.0,182.51,235.83,298.2041062762215
8.32,247.0,6.41,1.96,192.78,226.67,297.5689145391366
9.34,248.0,7.64,15.34,198.8,216.7,294.47520370992186
10.38,242.0,9.05,25.14,207.14,206.98,293.90426944840385
11.36,252.0,12.5,33.65,211.69,198.54,292.1696599580456
12.34,245.0,8.72,41.56,213.57,190.81,289.3921813041949
13.32,247.0,4.44,48.79,217.57,183.83,288.9820719352673
14.3,238.0,9.29,54.63,223.69,177.48,290.72461780867474
15.47,249.0,9.98,60.46,231.69,170.69,294.05908215867095
16.35,250.0,6.15,63.83,234.56,166.06,294.39528885496793
17.92,253.0,6.96,68.08,238.09,158.63,294.08368094812744
19.1,258.0,15.4,69.27,241.54,153.66,294.5357365414255
22.52,254.0,6.51,67.69,240.74,141.52,287.34229431115773
26.05,256.0,7.73,66.4,225.1,131.58,269.058109708665
29.48,255.0,8.5,63.14,208.87,123.68,250.81881687784113
33.0,244.0,5.75,61.55,195.11,116.89,235.625946576348
36.43,246.0,4.24,65.91,185.57,111.25,226.17894574871465
