name,cluster
D564-8,5
D631-7,0
DDO064,5
DDO154,0
DDO161,5
DDO168,5
DDO170,0
ESO079-G014,0
ESO116-G012,5
ESO444-G084,5
ESO563-G021,5
F561-1,5
F563-1,5
F563-V1,5
F563-V2,5
F565-V2,5
F567-2,5
F568-1,5
F568-3,5
F568-V1,5
F571-8,5
F571-V1,5
F574-1,5
F574-2,5
F579-V1,5
F583-1,5
F583-4,0
IC2574,0
IC4202,5
KK98-251,0
NGC0024,5
NGC0055,2
NGC0100,5
NGC0247,0
NGC0289,0
NGC0300,5
NGC0801,0
NGC0891,0
NGC1003,5
NGC1090,5
NGC1705,5
NGC2366,5
NGC2403,0
NGC2683,0
NGC2841,0
NGC2903,0
NGC2915,5
NGC2955,0
NGC2976,2
NGC2998,0
NGC3109,5
NGC3198,0
NGC3521,5
NGC3726,5
NGC3741,0
NGC3769,5
NGC3877,5
NGC3893,5
NGC3917,5
NGC3949,5
NGC3953,0
NGC3972,5
NGC3992,0
NGC4010,5
NGC4013,0
NGC4051,0
NGC4068,5
NGC4085,5
NGC4088,5
NGC4100,5
NGC4138,5
NGC4157,5
NGC4183,5
NGC4214,5
NGC4217,5
NGC4389,0
NGC4559,5
NGC5005,0
NGC5033,0
NGC5055,0
NGC5371,0
NGC5585,5
NGC5907,0
NGC5985,0
NGC6015,5
NGC6195,4
NGC6503,0
NGC6674,0
NGC6946,0
NGC7331,0
NGC7793,5
NGC7814,0
PGC51017,5
UGC00128,0
UGC00191,0
UGC00731,5
UGC00891,0
UGC01230,5
UGC01281,5
UGC02023,5
UGC02259,5
UGC02455,5
UGC02487,3
UGC02885,0
UGC02916,5
UGC02953,0
UGC03205,5
UGC03546,0
UGC03580,5
UGC04278,0
UGC04305,5
UGC04325,0
UGC04483,5
UGC04499,5
UGC05005,5
UGC05253,0
UGC05414,5
UGC05716,0
UGC05721,5
UGC05750,5
UGC05764,0
UGC05829,0
UGC05918,5
UGC05986,5
UGC05999,5
UGC06399,5
UGC06446,5
UGC06614,5
UGC06628,5
UGC06667,4
UGC06786,0
UGC06787,0
UGC06818,5
UGC06917,0
UGC06923,5
UGC06930,5
UGC06973,5
UGC06983,5
UGC07089,5
UGC07125,5
UGC07151,5
UGC07261,5
UGC07323,0
UGC07399,5
UGC07524,2
UGC07559,5
UGC07577,0
UGC07603,5
UGC07608,5
UGC07690,5
UGC07866,5
UGC08286,5
UGC08490,5
UGC08550,5
UGC08699,0
UGC08837,0
UGC09037,5
UGC09133,0
UGC09992,5
UGC10310,5
UGC11455,5
UGC11557,5
UGC11820,5
UGC11914,0
UGC12506,5
UGC12632,5
UGC12732,5
UGCA281,1
UGCA442,5
UGCA444,4
