r_Mpc,M_Msun,M_stat_err_Msun,M_syst_err_up_Msun,M_syst_err_down_Msun,M2hsub_Msun,M2hsub_stat_err_Msun,M2hsub_syst_err_up_Msun,M2hsub_syst_err_down_Msun,ρ_Msun_Mpc3,ρ_stat_err_Msun_Mpc3,ρ_syst_err_up_Msun_Mpc3,ρ_syst_err_down_Msun_Mpc3
0.2929224547698402,8.619992825907467e13,3.1467534911889207e13,4.0170273656681484e12,6.243127993281062e12,8.540013779307397e13,3.1467951677258746e13,4.02528777065469e12,6.243203675535463e12,1.7973193860045556e14,7.176834019561822e14,9.05120795110926e13,9.458187814138022e13
0.3905673288883069,1.2101977131061508e14,4.801139141305274e13,3.0678320897025366e12,6.112299977833518e12,1.1930201930465606e14,4.800891393941396e13,3.088373841447091e12,6.115333681733648e12,2.889094820697199e14,2.4992764793046544e14,2.82900803328775e13,3.475161012249247e13
0.5208365412053014,2.0456176234702138e14,6.6199309133251664e13,3.2001395367728677e12,8.351471171628632e12,2.0144034922506594e14,6.618608892136703e13,3.363103116702989e12,8.483042967417258e12,1.8007909382666778e14,1.404432611579848e14,1.0080347586380719e13,1.4223951084676094e13
0.6944984072775411,3.343616641820399e14,9.032828403081033e13,7.867883004638349e12,1.6383527736805078e13,3.2842281428764e14,9.027017627919633e13,8.003583485361062e12,1.6460288933638986e13,1.6693758036823138e14,7.973510761910698e13,1.874388842320603e13,2.256833867832378e13
0.9261083984108761,6.344277674570879e14,1.283001511766253e14,1.4291682581626893e13,3.047899374614087e13,6.230467456847662e14,1.2808316861523103e14,1.5178472156248396e13,3.1254416877957043e13,1.4371424378647944e14,4.794842981208512e13,6.499229462826984e12,9.885668356954594e12
1.2349673477837948,1.0752290596870422e15,1.8436446935949144e14,2.546818082200835e13,5.232399948203827e13,1.0539164672600482e15,1.835236100540279e14,2.7333634668644168e13,5.398410642748829e13,6.031137769285064e13,2.773325562759644e13,1.2652396831093656e13,1.3722433677888188e13
1.6468097000236457,1.2909512940887562e15,2.419482505329329e14,1.9660399530811168e13,3.646263790033968e13,1.2520976773923442e15,2.3873786481215647e14,1.8722887825573742e13,3.690704179291383e13,-1.0242860472908645e13,1.5795870887686916e13,4.653923673444765e12,4.576811352141182e12
2.1959936742712465,1.0731407649878852e15,3.3832768789693744e14,1.6686942672763475e14,1.980409647213674e14,1.0042533669754511e15,3.3184581273769506e14,1.59036730155822e14,1.895405946478116e14,-1.9056759000415928e12,9.153647003418486e12,1.0879456952043762e13,1.1029606224974127e13
2.9282846022979414,1.63664968419503e15,5.643227081803866e14,3.008500109965418e14,3.5897960061933494e14,1.5199556130335802e15,5.574120612801935e14,2.8330784394709444e14,3.4014970022382656e14,1.4405602338611352e13,5.957729306758774e12,6.071209729782625e12,6.681977068973012e12
3.9048245992062194,3.520981938675381e15,1.1118232316032504e15,5.302056893992849e14,7.039179563021936e14,3.3402325814968115e15,1.1041456526887868e15,4.969809899623484e14,6.668151086388055e14,4.793937567838483e12,1.542620589040645e12,3.4892036152232607e12,9.346364275234041e12
