galaxy,sigma_v,rms_gr,rms_pair,delta_rms,improvement_pct
CamB,1.635,4.616823441597752,4.802558381135671,0.18573493953791864,-4.023002869558318
D564-8,3.1275,10.049576841590154,9.202340427749984,-0.8472364138401698,8.430568044754716
D631-7,8.355,24.5852323730351,20.2121907751332,-4.373041597901899,17.787269737983923
DDO064,6.7875,14.591505838594633,13.206908055855143,-1.3845977827394904,9.489067119290867
DDO154,6.757499999999999,22.680803776816237,19.7343583639241,-2.946445412892139,12.99092149416646
DDO161,9.967499999999998,21.31489016029167,9.37431162956889,-11.940578530722782,56.01989238944024
DDO168,7.199999999999999,18.767038568918075,15.917283011932305,-2.8497555569857695,15.184897428119148
DDO170,8.565,24.535484730575124,13.46204036398068,-11.073444366594444,45.13236436203425
ESO079-G014,23.775,28.886704382352235,15.560046419635402,-13.326657962716833,46.13422765823883
ESO116-G012,16.275,34.256228959673145,25.093786560796598,-9.162442398876546,26.746792268532204
ESO444-G084,7.919999999999999,31.693305766747677,29.892525667015867,-1.80078009973181,5.681894192372863
ESO563-G021,46.875,62.93505741241875,53.246917582914286,-9.688139829504465,15.39386826330715
F561-1,7.1025,4.42316040510831,20.196486526177793,15.773326121069484,-356.60759901117
F563-1,15.9375,57.23862337544333,45.9347604876961,-11.30386288774723,19.748663089959713
F563-V1,4.1925,1.9045179143635556,9.208311379798847,7.303793465435291,-383.49828113200203
F563-V2,15.435,51.070448240065694,42.63403301343619,-8.436415226629506,16.519172079658752
F565-V2,10.275,37.81055917316258,30.793494726856796,-7.017064446305785,18.558478371529617
F568-1,18.075,59.47223904806734,51.19114177184994,-8.281097276217395,13.92430722092765
F568-3,14.4525,33.872109024328516,20.081454074286718,-13.790654950041798,40.7138951405025
F568-V1,16.8,55.10144891123267,46.6103744762954,-8.491074434937275,15.409893211004713
F571-8,17.099999999999998,47.869589054996254,39.978372085805006,-7.891216969191248,16.484822880190624
F571-V1,11.55,33.703220222549966,19.384156094788302,-14.319064127761663,42.48574478405818
F574-1,14.325,36.44732159054748,24.46662325448241,-11.980698336065071,32.871272327380666
F579-V1,16.65,38.60867712662157,28.404480667213072,-10.2041964594085,26.42980080861789
F583-1,11.2875,32.7530184892085,25.87925791810877,-6.87376057109973,20.98664760734802
F583-4,9.12,19.018287399996733,11.025463380377515,-7.992824019619219,42.0270440314231
IC2574,9.36,18.897457874966218,9.746273057000794,-9.151184817965424,48.42548071022904
IC4202,36.6,35.22311818624543,31.328252325882524,-3.8948658603629056,11.05769750357833
KK98-251,4.32,7.801556034620339,6.510408589894622,-1.2911474447257172,16.54987080777342
NGC0024,15.975,32.600734022504845,28.21819812382817,-4.382535898676675,13.443058968093588
NGC0055,12.8625,22.25378039182271,6.076528165496773,-16.177252226325933,72.69440041868287
NGC0100,12.802499999999998,26.631135883562084,16.540376944875636,-10.090758938686449,37.890831929985055
NGC0247,15.75,32.17495623382241,17.574881899851565,-14.600074333970841,45.37713813149869
NGC0289,25.5,55.649949442799354,34.29474364734498,-21.355205795454374,38.374169265696544
NGC0300,13.9725,36.12032545823501,24.981917548633476,-11.138407909601533,30.83695334495417
NGC0801,33.15,37.740963726026024,43.38798348018688,5.647019754160858,-14.96257434005771
NGC0891,32.85,69.84503892878418,76.84968246614926,7.004643537365084,-10.02883475304123
NGC1003,16.65,48.153251971836,26.62188846828175,-21.53136350355425,44.71424591665703
NGC1090,24.6,25.712295442140153,19.364144785567568,-6.348150656572585,24.689163481563508
NGC1705,10.725,38.06804446988434,34.59658546802041,-3.471459001863934,9.11908938377491
NGC2366,7.619999999999999,16.360956127974482,11.902985607097422,-4.45797052087706,27.247616129565195
NGC2403,20.175,37.895599436401874,25.339623717456266,-12.555975718945607,33.13307060894397
NGC2683,25.575,33.117970053884335,21.97690318436778,-11.141066869516553,33.64054877575397
NGC2841,42.675,87.87483219228517,77.35765972041013,-10.517172471875043,11.968355682161269
NGC2903,27.525,61.46052574802574,59.605386735982165,-1.8551390120435727,3.0184235970405187
NGC2915,12.315,48.7574283509878,43.14278110307659,-5.614647247911215,11.515470437639406
NGC2955,40.35,44.136667183471666,49.90960913862551,5.772941955153847,-13.079696142792818
NGC2976,11.745,3.6845505539647445,4.371554280045397,0.6870037260806527,-18.645523138267308
NGC2998,31.875,35.122227450196725,23.703028319565966,-11.419199130630759,32.51274181520284
NGC3109,9.5325,29.986977397240718,26.478841641607026,-3.508135755633692,11.69886417414146
NGC3198,22.275,37.60592238748666,18.679418971560686,-18.92650341592597,50.32851799487772
NGC3521,31.5,52.51577662137675,55.930961787032146,3.4151851656553944,-6.50316035555919
NGC3726,24.15,35.31058676501566,36.854506430577935,1.543919665562278,-4.372398781806518
NGC3741,7.14,25.07618692122832,22.76751152293686,-2.3086753982914594,9.206644557020125
