galaxy,sigma_v,Xi_mean,Xi_max,K_mean,K_max,disc_mean,disc_med
CamB,1.635,1.0886435427599332,1.3577592773924212,0.11705660864837736,0.11705661807168255,-0.4309577183686277,-0.5747869908654897
D512-2,25.0,0.025788237525741955,0.028137660464877565,0.6287563348208792,0.6287563352493315,1.5382038331830996,1.523968084434843
D564-8,3.1275,0.2916049396953968,0.3199426687306796,0.20707128514515707,0.20707129311331474,2.565799389255496,2.5357691167980594
D631-7,8.355,0.15597673562885941,0.18722689300783057,0.4026138108393523,0.40261381710501964,2.9039304588493096,2.33178395663887
DDO064,6.7875,0.1737974810374267,0.25260028614037905,0.35762570456836074,0.3576257085078456,2.1818499874633557,1.8461914734336273
DDO154,6.757499999999999,0.15924942658994803,0.1768820872989922,0.3566770973434732,0.3566771041424903,3.8252678490721106,4.1651668330917655
DDO161,9.967499999999998,0.16245302587142602,0.18864051114860694,0.44115558534400684,0.4411555953041083,1.3643033982269268,1.3725862366468493
DDO168,7.199999999999999,0.2108101698882543,0.23523219461270167,0.3703109784475504,0.3703109827071641,1.591922540278526,1.9503172333026482
DDO170,8.565,0.18299986913769914,0.20825737970103697,0.4080310617559967,0.4080310711295211,2.258287985333976,2.2304366110377227
ESO079-G014,23.775,0.1338054269703863,0.18922535363319634,0.6195503822339776,0.6195503853472424,0.44238141627370714,0.5486772204549455
ESO116-G012,16.275,0.14059207281906802,0.16961443636285195,0.5455661831838765,0.5455661864764494,1.2461158020653942,1.1249659293657164
ESO444-G084,7.919999999999999,0.13670079521207606,0.168130499030382,0.3909657089459098,0.39096571376462186,5.716330679057044,4.080471227993763
ESO563-G021,46.875,0.11024894937649314,0.1407094270368276,0.7305392642322222,0.7305392663618736,0.396143241030831,0.33643819092923477
F561-1,7.1025,0.38043912180306516,0.48304825263325335,0.36737158292310007,0.36737159233186156,-0.07959249937992983,-0.07111185931481073
F563-1,15.9375,0.08720115871812284,0.1042232749401243,0.5412664916667924,0.5412664988449589,5.403594570602116,5.856132164296836
F563-V1,4.1925,0.45941008530062577,0.571778151902836,0.25949036808278336,0.2594903830167429,0.011020965374731443,0.008422791948730801
F563-V2,15.435,0.10342022722432373,0.14784094118302585,0.5346566361494605,0.5346566400623793,3.6509559336699775,3.632711883673361
F565-V2,10.275,0.12276546215942438,0.1590892580058603,0.4477811503207958,0.4477811554524853,4.429167203725735,4.970311644987622
F567-2,25.0,0.04369743582474485,0.05217037190790664,0.6287563358241903,0.6287563369721134,0.6588582755355322,0.662645414371041
F568-1,18.075,0.09554062199019275,0.1426466909258216,0.5667881298481062,0.5667881338126359,3.6435232682465766,3.652378131083871
F568-3,14.4525,0.1316828505062858,0.18146587639372247,0.5209568322313771,0.5209568411133274,1.5297496040985448,1.697063969449894
F568-V1,16.8,0.09891948941615855,0.12304029355934984,0.5520433315892981,0.5520433384409827,3.7353082288330413,3.994153448390496
F571-8,17.099999999999998,0.18761882400708335,0.2578778057607102,0.5556342827404722,0.5556342886652589,0.9002048824711691,0.29092052679908287
F571-V1,11.55,0.1560855827566297,0.176378507222983,0.47317569426752754,0.4731757008558648,2.2434527036875793,2.4452526173809015
F574-1,14.325,0.13732588766929194,0.17167467077980725,0.5190984168393012,0.5190984216384088,1.8762647995283281,2.1495457002662017
F574-2,25.0,0.045006964613007384,0.05852320862566034,0.62875633604552,0.6287563373429901,-0.38084834255969635,-0.34033747785953095
F579-V1,16.65,0.14621256256817786,0.18264095588713972,0.5502182249809043,0.5502182303470627,1.8805083274460384,1.4378949532816232
F583-1,11.2875,0.10315050553530282,0.1811836028107449,0.4682026289689679,0.4682026425096383,3.6366235269063996,4.163097228618141
F583-4,9.12,0.1948017830273636,0.2410519308644038,0.4217467076245602,0.4217467129270107,1.3840400343483814,1.2733698773024207
IC2574,9.36,0.14970995585748356,0.20137270287198852,0.42742289294737656,0.42742290030293806,1.4828971679554888,1.506507452436918
IC4202,36.6,0.155458031885919,0.1762071079731426,0.6934858934105904,0.6934858953287084,0.04896583870668176,0.10349677728744267
KK98-251,4.32,0.2636286244444947,0.39395271455851755,0.265209806504037,0.2652098137604165,1.0184953139093103,0.905071445401209
NGC0024,15.975,0.13766637784185273,0.17935086783455928,0.5417496554280745,0.54174966120374,1.412063890067276,1.1512004785214907
NGC0055,12.8625,0.18201117864577168,0.20216635965577312,0.49629802808536877,0.49629803392406213,0.8422082893179912,1.138822125012254
NGC0100,12.802499999999998,0.16144511112744406,0.19583599450604466,0.4952998363164051,0.49529984080735234,1.1211245108696788,0.976337653202052
NGC0247,15.75,0.13816906795618317,0.16682584389856314,0.5388298705698055,0.5388298751392915,1.4680027779042617,1.4161855909615697
